1DE0000001	볼트 101 제어 단말기[CRLF][CRLF]
1DE0000552	시타델 시스템 연결 39L[CRLF][CRLF]어서오세요, 서기 로스차일드님.[CRLF]
1DE0000556	실험 하기 좋은 날이구나! 오늘은 무엇을 실험 해 볼까, 모이라?[CRLF]
1DE0000557	워싱턴 기념관 제어 단말기[CRLF]브라더후드와 갤럭시 뉴스 라디오만이 제어 가능.[CRLF]
1DE0000559	1776년에 얼마나 많은 북미의 식민지들이 영국에 대해 반란을 일으켰습니까?[CRLF]
1DE0000560	미국 독립선언에 처음 서명한 사람은 누구입니까?[CRLF]
1DE0000561	미국 독립선언에는 몇 명의 대의원이 서명했습니까?[CRLF]
1DE0000562	다음 중 미국 독립 선언에 쓰여지지 않은 단락은 무엇입니까?[CRLF]
1DE0000563	1776년에 영국의 왕은 누구였습니까?[CRLF]
1DE0000564	다음의 유명한 문장을 채우세요. : 인생, 자유, __ __의 추구[CRLF]
1DE0000565	미국 독립선언의 주요 저자는 누구입니까?[CRLF]
1DE0000566	축하합니다! 상품권을 발행하기 위해서 아래의 선택 버튼을 눌러주세요. 그리고 상품권교환 단말기에 제출하세요![CRLF]
1DE0000567	-=LOB 그룹=-[CRLF]환영합니다, EMP_ID_MISSING.[CRLF][CRLF][CRLF][CRLF]
1DE0000569	야오과이는 빠르고 강한 포식 동물 입니다. 그 지역 흑곰의 후손 입니다.
1DE0000570	거대 개미같은 곤충의 더듬이를 무력화 하면 놈들을 격분 시키고 근처의 아무것이나 공격하게 합니다.
1DE0000572	국립 기록 보관소 상품 교환 시스템[CRLF]축하합니다! 당신은 미국의 진정한 애국자 입니다![CRLF]
1DE0000573	**상품 : 새로운 과일맛 맨토스**[CRLF]메드-텍 연구소가 제공합니다[CRLF][CRLF]
1DE0000578	--개인 기록--[CRLF]
1DE1000001	(주)가상 전략 솔루션[CRLF][CRLF]시-뮬-텍 구역 003[CRLF]
1DE1000003	(주)VSS. 안전 창고[CRLF]적합한 권한 필요[CRLF]
1DE1000004	미공군 자동-전사기[CRLF]사용자 모드: 미국인/중서부[CRLF]원본 언어: 중국어/구안후어 형식[CRLF]경고: 해독 오류 발견: 13%[CRLF]
1DE1000005	당신은 작전명 앵커리지의 숨겨진 군사 정보를 모두 찾았습니다. 훌륭한 군인입니다!
1DE1000006	미공군 협안 : 포대 주둔지[CRLF]추가치 산맥 공군주둔기지 - 알래스카, 앵커리지[CRLF]공군주둔기지-12.1 구역[CRLF]통제권 설정: [CRLF]공군기지 엘렌도프 - 알래스카, 앵커리지[CRLF][CRLF]
1DE1000007	알래스카 시뮬레이션의 앵커리지 불러오는 중. 작전명: 중공군으로부터의 알래스카 앵커리지 탈환. 안전모드: 비 활성화.
1DE1000008	알래스카 시뮬레이션의 앵커리지 불러오는 중. 통증모션 일반, 잠시 비 활성화 됩니다.
1DE1000009	미군 역사 기록물 보관소: 알래스카의 앵커리지는 중국 공산군에 의해 2006년 겨울 침략 당하였다.
1DE1000010	VSS 시설은, 핵전쟁 이전 많은 민간위탁 업자들에 의해 운용되어져 왔다. 허나 마지막엔 미군들을 위해 알맞게 개량된 군사용 시설로 변모했다.
1DE1000011	브라더후드 아웃캐스트는 현재 VSS 시설을 장악하고 있다. 그리고 그 안에 감춰져 있는 진보된 기술을 얻고자 한다.
1DE1000012	앵커리지에 온 걸 환영하네, 제군! 너의 뜻대로 열심히만 싸워준다면, 크리스마스는 집에서 보내게 될걸세!
1DE1000013	미공군 자동-전사기[CRLF]사용자 모드: 미국인/중서부[CRLF]원본 언어: 중국어/만다린어 형식[CRLF]경고: 해독 오류 발견: 27%[CRLF]
1DE1000014	미공군 자동-전사기[CRLF]사용자 모드: 미국인/중서부[CRLF]원본 언어: 중국어/구안후어 형식[CRLF]경고: 해독 오류 발견: 16%[CRLF]
1DE1000015	미공군 자동-전사기[CRLF]사용자 모드: 미국인/중서부[CRLF]원본 언어: 중국어/만다린어 형식[CRLF]경고: 해독 오류 발견: 15%[CRLF]
1DE1000016	앵커리지 통신 회사.[CRLF]공개 방송 단말기 AF-12e[CRLF]미 국방부 인증 특수 계약[CRLF][CRLF]오류: 기록 변조 발견[CRLF]오류: 비허가 인증 코드[CRLF]
1DE1000017	H:> \.[CRLF]H:> 환영합니다. USER_ADMIN[CRLF]H:> ...|[CRLF][CRLF][CRLF]
1DE1000018	유한 책임 회사, VSS에 오신걸 환영합니다.[CRLF]
1DE1000019	환영합니다. 패터슨 중위님.[CRLF]당신의 타격대를 선택해 주세요.[CRLF]
1DE1000020	당신이 요청할 장비 패키지를 선택해주세요.[CRLF]
1DE1000021	타격대 1번째 유닛 보충 마커 비용[CRLF]
1DE1000022	타격대 유닛 설명[CRLF]
1DE1000023	타격대 2번째 유닛 보충 마커 비용[CRLF]
1DE1000024	타격대 3번째 유닛 보충 마커 비용[CRLF]
1DE1000025	경고: 당신의 타격대 선택 사항이 배치 완료됩니다.[CRLF]
1DE2000002	업타운 보조 전력 공급:[CRLF]
1DE2000003	핏에서의 의학 연구가 당신을 향상 시켰습니다. 다른 댓가를 치를 필요가 없습니다. 당신의 방사능 저항은 10% 증가합니다.
1DE2000004	생산할 탄약의 종류를 선택하세요.[CRLF]
1DE2000005	10mm 탄약이 선택되었습니다.[CRLF][CRLF]새로운 탄환 제작을 위한 재료를 준비 해 주세요.[CRLF]
1DE2000006	5mm 탄약이 선택되었습니다.[CRLF][CRLF]새로운 탄환 제작을 위한 재료를 준비 해 주세요.[CRLF]
1DE2000007	.32 구경 탄환이 선택 되었습니다.[CRLF][CRLF]새로운 탄환 제작을 위한 재료를 준비 해 주세요.[CRLF]
1DE2000008	.44 매그넘 탄약이 선택되었습니다.[CRLF][CRLF]새로운 탄환 제작을 위한 재료를 준비 해 주세요.[CRLF]
1DE2000009	5.56mm 탄환이 선택 되었습니다.[CRLF][CRLF]새로운 탄환 제작을 위한 재료를 준비 해 주세요.[CRLF]
1DE2000010	.32구경 탄환이 선택 되었습니다.[CRLF][CRLF]새로운 탄환 제작을 위한 재료를 준비 해 주세요.[CRLF]
1DE2000011	산탄총 탄환이 선택 되었습니다.[CRLF][CRLF]새로운 탄환 제작을 위한 재료를 준비 해 주세요.[CRLF]
1DE2000012	당신은 회전 도끼를 능숙하게 다루게 되었습니다. 회전 도끼를 사용 할 때 공격력이 +25% 상승합니다.
1DE2000013	홀에서의 미친듯한 전투가 당신을 강하게 만들었습니다. 당신의 피해 저항과 방사능 저항은 각각 +3% 증가합니다.
1DE2000014	-->공공 작업을 위한 피츠버그 행정소[CRLF]-->행정소 메일 단말기[CRLF][CRLF]-->다음 ID로 접속: 감독관 헤들리 제임스[CRLF]
1DE2000015	보먼 박사의 사무 기록 [CRLF]저널소프트 v2.3[CRLF][CRLF]-->다음 ID로 접속: 간호사 힉스[CRLF]
1DE2000016	***********************************************[CRLF]** 프레스디 생명 연구 시스템 **[CRLF]** 크랙-젠슨 프로토콜 로딩됨 **[CRLF]***********************************************[CRLF]
1DE2000017	***********************************[CRLF]** 핏 생명 연구 시스템 **[CRLF]** 크랙-젠슨 프로토콜 로딩됨 **[CRLF]*********************************[CRLF]
1DE2000018	 [CRLF][CRLF]
1DE2000022	-롭코 불법 침입 관리-[CRLF]======시스템 재구성 시작======[CRLF]사용자 : "에셔"[CRLF]
1DE2000023	----철 프레스 상태 화면----[CRLF]---------------------------------[CRLF][CRLF]-회전 프레스 01 상태: 활성화[CRLF][CRLF]-회전 프레스 02 상태: 활성화[CRLF][CRLF]
1DE2000024	----탄약 프레스 상태 화면----[CRLF]---------------------------------[CRLF]-탄약 프레스 01 상태: 가동[CRLF]-탄약 프레스 02 상태: 가동[CRLF]
1DE3000001	 올드 올니 파워웍스[CRLF] 포세이돈 에너지 지사[CRLF]>\ 환영합니다, 사용자님[CRLF][CRLF]
1DE3000004	거의 완벽 퍽을 선택 하십시오, 그러면 여러분의 모든 S.P.E.C.I.A.L. 능력치가 즉시 9로 변경 됩니다.
1DE3000005	핵 돌연변이 퍽이 있다면, 당신의 체력이 20미만으로 떨어질 때 마다 강력한 핵 폭풍을 일으키게 될 것입니다. 근처에 있는 아군들도 폭발에 휘말릴 수 있으니 주의 하십시오!
1DE3000006	악마의 질주 퍽을 선택한 즉시 당신의 카르마가 매우 악함으로 변경 됩니다.
1DE3000007	카르마 재조화 퍽을 선택한 즉시 당신의 카르마가 중립으로 변경 됩니다.
1DE3000008	천국으로 가는 에스컬레이터 퍽을 선택한 즉시 당신의 카르마가 매우 선함으로 변경 됩니다.
1DE3000009	당신은 드디어 누카-콜라 퀀텀의 제조 비법을 알아냈습니다. 이 퍽이 있으면 당신은 누카-콜라나 차가운 누카-콜라를 10개 얻을 때 마다, 소지품에 누카-콜라 퀀텀이 자동으로 변환되어 들어오게 됩니다.
1DE3000011	*************************[CRLF]* 이동 기지 제어 *[CRLF]*************************[CRLF]
1DE3000017	교신기 접속중...[CRLF]...[CRLF]교신기 활성화.[CRLF]
1DE3000018	위성 접속 단말기[CRLF]권한 없는 접근을 금함[CRLF]
1DE3000019	위성 발사 제어 시스템[CRLF]+경고: 안전장치 꺼짐/시스템 해제+[CRLF]
1DE3000020	위성 발사 제어 시스템[CRLF]+목표물 설정: 시타델+[CRLF]++경고: 모든 탄두가 목표로 발사되고, 이 발사지점은 폐쇄됩니다.++[CRLF]
1DE3000021	위성 발사 제어 시스템[CRLF]+목표물 설정: 아담스 AFB 이동 기지+[CRLF]++경고: 모든 탄두가 목표로 발사되고, 이 발사지점은 폐쇄됩니다.++[CRLF]
1DE3000022	위성 발사 제어 시스템[CRLF]+목표물 설정: 아담스 AFB 이동 기지+[CRLF]++최종 경고: 이대로 목표물을 설정하면 자폭 하게 됩니다! 마지막 승인을 요청합니다!++[CRLF]
1DE3000023	올드 올니 파워웍스[CRLF]-포세이돈 에너지 지사-[CRLF][CRLF]>\ 환영합니다, 사용자님[CRLF][CRLF]
1DE3000025	영원하라 엔클레이브![CRLF]로봇 제어 메인프레임 v2.7[CRLF]
1DE3000028	영원하라 엔클레이브![CRLF]보안 시스템 온라인[CRLF]
1DE3000029	병기고 보안 제어 단말기[CRLF]=입출고시 반드시 목록에 기재 바랍니다!=[CRLF]
1DE3000030	미합중국 군 경찰[CRLF]펜타곤 지국 3A[CRLF]
1DE3000031	공공 박물관 컴퓨터 7[CRLF]달라스 브라이스[CRLF]
1DE3000032	물 배급 임무와 개인 기록들.[CRLF]
1DE3000033	임무 기록[CRLF]
1DE3000034	서기 빅슬리의 기록[CRLF]
1DE3000038	대통령 전용 지하철 시스템[CRLF]유지 관리실 기록[CRLF]
1DE3000039	보안 네트워크에 접속 중...[CRLF]...[CRLF][CRLF]
1DE3000041	엔클레이브 교신기 0X9-B[CRLF]
1DE3000042	당신은 흠잡을 데가 없는 사람입니다. 무결점 퍽을 얻으면, 5 미만의 모든 S.P.E.C.I.A.L. 능력치가 5점으로 증가합니다.
1DE3000044	당신은 스스로의 힘으로 드디어 모든 무기의 제조법을 알아 내었습니다! 전쟁광 퍽이 있다면, 제조법이 없더라도 모든 제작 무기를 제작 할 수 있게 됩니다.
1DE3000045	당신은 상당한 술고래 입니다. 이 퍽이 있으면 당신은 더 이상 알코올 중독에 시달리지 않을 것 입니다.
1DE3000046	당신은 절대 술자리에 빠지지 않습니다. 이 퍽이 있으면 당신은 더 이상 알코올 중독에 시달리지 않을것 입니다.
1DE3000047	당신은 가벼운 방사능 중독에 걸렸을 때 여전히 신경 쓰이겠지만, 그로인해 더 이상 고통 받진 않을 것 입니다.
1DE3000053	데스클로 조사 단말기[CRLF]
1DE3000054	데스클로 보호구역 단말기[CRLF][CRLF]데스클로 신경 조작시 불안정한 상황이 벌어질 경우, 근처의 화염제어 장치를 이용하여 주십시오.[CRLF]
1DE3000055	강아지야! 퍽은 도그밋이 죽었을 때, 녀석의 새끼 강아지를 새로운 동료로 맞이할 수 있습니다. 조금 지나고 나면, 볼트 101에서 새로운 개가 당신을 기다리고 있을 것 입니다.
1DE3000056	당신은 아무리 상태가 나쁜 침대에서 자더라도, 7시간 동안 10%의 보너스 경험치를 얻는 "숙면" 효과를 얻을 수 있습니다.
1DE3000057	데스클로 우리 문 단말기
1DE4000001	USN 현장 임무 MD-PL-01a[CRLF]크룸폴츠, DIA 담당자/리아슨[CRLF]
1DE4000002	암호화 k.v1910-mkIV[CRLF]취급 인가 감마 단계[CRLF]... 안전하게 전송[CRLF]
1DE4000003	오류: 운영 시스템 없음![CRLF]
1DE4000005	첩보 잠수함 SSN-37-1A[CRLF]==================[CRLF]뜻이 있는 곳에,[CRLF]길이 있다.[CRLF]
1DE4000006	빼어난 수비수 퍽이 있으면, 가만히 서있을 때 환상의 수비를 펼쳐 +5 피해 보너스와 +10 방어 보너스가 추가 됩니다.
1DE4000007	펜싱 기법으로 베기 퍽을 배웠습니다. 화려한 손놀림으로 한손 혹은 양손 근접 무기를 사용할 때 +10의 추가 피해를 입히게 됩니다.
1DE4000008	머리 보호는 무척 중요한 요소 입니다. 회백질 두뇌 퍽이 있다면 머리 부위에 입는 피햐량이 25% 줄어 들게 됩니다.
1DE4000009	당신은 열심히 공부 한덕에 구울의 약점을 알게 되었고 구울을 공격 할 때 +5의 추가 피해를 입히게 됩니다.
1DE4000010	아우빈역 의료 시설[CRLF]기록 분류[CRLF]
1DE4000011	아우빈역 의료 시설[CRLF]보안 단말기 선택[CRLF]
1DE4000012	포인트 룩아웃 공용 은행[CRLF]이슬라 네그라 홀딩스의 자사[CRLF]
1DE4000014	공동의 자선[CRLF]봉사 유닛 #MD18-02[CRLF]비영리 헌장 REGMD982.90.2012[CRLF]세인트 메리 카운티 뭩, 포인트 룩아웃 지역[CRLF]
1DE4000015	구호 유닛 안내[CRLF]개인 .기록 파일[CRLF]
1DE4000016	새로운 전염병과 당신[CRLF]저작권 및 배포는[CRLF]피트니스 프로그램이 주재합니다 (2059)[CRLF]
1DE4000017	오류: 보안 데이터베이스 손상[CRLF](01XC91DDDF 부분 제외)[CRLF]...11XC91EEHH[CRLF]...00XC00DDDF[CRLF]\>_보안_보호_층 <손상>[CRLF]
1DE4000018	국방부 통신망 OS v78.2[CRLF]
1DE4000019	국방부 통신망 OS v78.2[CRLF]
1DE4000020	국방부 통신망 OS v78.2[CRLF]
1DE4000021	개인 현장 일지[CRLF]마르셀라, 길가의 성당[CRLF]포인트 룩아웃 원정대[CRLF]...[CRLF]"나는 세상의 빛이니 나를 따르는 자는 어두움에 다니지 아니하고 생명의 빛을 얻으리라" 요한복음 8:12[CRLF]
1DE4000022	당신은 열심히 공부 한덕에 마이얼럭의 약점을 알게 되었고 마이얼럭을 공격 할 때 +5의 추가 피해를 입히게 됩니다.
1DE4000023	미국 시민 항쟁이 있고난 후, 포인트 룩아웃 근처에서 남부 연방의 수많은 죄수들이 죽어 갔습니다.
1DE4000024	포인트 룩아웃은 상당한 양의 천연 가스가 있어, 가끔 표면에 생긴 메탄 가스 기포의 폭발 현상을 볼 수 있습니다.
1DE4000025	연인 구금 캠프는 포인트 룩아웃 근처 고립된 지역에 지어 졌습니다.
1DE4000026	방주와 비둘기 대성당은 1634년 두척의 영국 선단을 이끌고 포인트 룩아웃을 발견한 메리랜드 선장에 의해 명명 되었습니다.
1DE4000027	포인트 룩아웃은 메리랜드에서도 귀신이 나오기로 유명한 곳으로 알려져 있습니다.
1DE4000028	블랙홀의 저택은 대전쟁이 있기전부터 조상 대대로 이어져 내려온 유복한 가정의 집입니다.
1DE4000029	칼버트가는 포인트 룩아웃에서 역사를 가진 오래된 가문이지만, 칼버트의 저택은 여전히 그모습 그대로 남겨져 있습니다.
1DE4000030	포인트 룩아웃은 이슬라 네그라사가 토지를 매입하고 새로운 집을 짓고, 개발이 이루어지기 전까지 도시로부터 멀리 떨어져 고립 되어있던 지역이었습니다.
1DE4000031	밀수업자들은 포인트 룩아웃에서 누구도 손길도 닿지 않은 황량한 장소에서 그들에게 행운을 안겨다 줄만한 것들을 찾을 수 있을까하며 돌아다니고 있습니다.
1DE4000032	늡지인들은 사회적으로나 신념적으로 뭉쳐 있지는 않지만, 그들의 영역을 나무와 뼈를 이용해 만든 우상으로 표시 해두었습니다.
1DE4000033	포인트 룩아웃은 대도시로부터 멀리 떨어져 있던 탓에 대전쟁의 위험 속에 휘말리지 않았지만, 낙진이 시작 된 이후로 여러 해에 걸쳐 전 지역이 방사능에 오염 되었습니다.
1DE4000034	포인트 룩아웃의 늪지에서 오랜 세월을 지내온 원주민들은 심각한 방사능에 노출 되어 저출산의 고통을 겪고 있습니다.
1DE4000035	침식 작용으로 이루어진 틈과 작은 동굴들의 위험이 포인트 룩아웃 전체에 걸쳐 분포 되어 있습니다.
1DE4000036	습도가 높은 포인트 룩아웃의 해안가는 마이얼럭들이 단체로 서식하며, 그들의 둥지를 보호하고 있습니다.
1DE4000037	난파선과 부표를 발견 할 수 있는 해안 근처는 보물이 파묻혀 있을 가능성이 높습니다.
1DE4000038	산비둘기 수용소[CRLF]취급 인가 알파 단계[CRLF]C.O. 개인 임무 단말기[CRLF]
1DE4000039	정보부 기록들[CRLF]중요 인물[CRLF]양, 웬 (사망함)[CRLF]
1DE4000040	산비둘기 수용소[CRLF]일일 임무 기록[CRLF]
1DE4000041	심문 보고서[CRLF]* 전 대원은 반드시 모든 심문 내용을 지휘 계통을 경유해 부대장에게 보고해야한다.[CRLF]
1DE4000042	이것은 야생 구울 리버에게 시각적인 효과를 추가 합니다.
1DE4000043	펑가! 뻥가! 뿡가! 펑가 열매의 원기 회복 효과가 좀 더 크게 적용 됩니다.
1DE4000044	펑가 파워! 펑가 열매를 딸 때 한번에 좀 더 많은 양을 딸 수 있게 됩니다.
1DE4000045	바이쉬 에너지 협찬사[CRLF]천연 가스 측량 선박[CRLF]USS 오지만디어스[CRLF]
1DE5000001	리드 언더우드의 개인 단말기[CRLF]++우리는 혼자가 아니야!++[CRLF][CRLF]
1DE5000002	외계인 기술에 대한 지식으로 당신은 그들의 무기를 좀 더 잘 다룰 수 있게 되었습니다. 외계인 무기를 사용 할 때 피해가 20% 증가합니다.
