1NO0000001	-----Case# 45602-----
1NO0001428	Name: Donovan
1NO0001429	Position: Tech
1NO0001430	Age: 35
1NO0001432	Merits/Demerits: 2/0
1NO0001435	Donovan came to us highly recommended by my contact in the Brotherhood of Steel. He is an absolute wizard in regards to the repair of our firearms and personal armor. I wish he had more knowledge of electrical systems, hydraulics, etc which would help us circumvent obstacles we frequently encounter in the ruins, but hopefully this will improve with time. His loyalty to the Rangers seems solid, but it may take more time to gauge.
1NO0001436	Name: Theo
1NO0001437	Position: Quartermaster
1NO0001438	Age: 22
1NO0001439	Term of Contract: Probationary
1NO0001440	Merits/Demerits: 1/0
1NO0001441	Pay: 35 caps/mission
1NO0001443	Theo is our newest Ranger. His role is the Quartermaster for Ranger Compound; he cares for and organizes all our equipment and carries anything extra we might need into the ruins when we're on a mission. He is with us on a probationary contract which is up for review pending my decision.
1NO0001444	Contract: Ruins Mapping
1NO0001445	Status: Ongoing
1NO0001446	Projected Income: Unknown
1NO0001447	Acquired Income: 1765 caps
1NO0001448	Description: Terrain and structure mapping for District of Columbia urban sections. Make notes of enemy resistance, weapons caches, strategic positions, retreat points, etc. Provide detailed files in holotape format to buyer. Buyer to remain anonymous and pay via caps left in predetermined spot known only to Reilly.
1NO0001449	Contract: Super Mutant Cleansing
1NO0001452	Acquired Income: 2850 caps
1NO0001453	Description: Eradication of Super Mutants at Reilly's discretion. Buyer will award a varying amount of caps on a per kill basis. Proof of slain Super Mutants must be provided to buyer before payment is authorized (buyer has approved various body parts as proof).
1NO0001454	Dear Miranda,
1NO0001455	I don't know if you'll ever get this letter. That job I took isn't going well. One of the mercs on the team is crazy. He talks like he's some sort of president in exile. I don't trust him. One of the others is a drunken lecher. He's always trying to make moves on the woman on the team. He almost got us killed yesterday because he was staring at her rather than watching the road.
1NO0001456	If I don't make it back, take good care of Ted. Take him to Rivet City. The two of you will be safe there. I'll join you there if I survive.
1NO0001457	If anyone finds this note, stay the hell away from this place. If the feral ghouls don't get you, the robots will. There's radiation everywhere. I think they used to make nukes here, or maybe they just kept them, I don't know.
1NO0001459	Tuesday, don't know the date: This will look good on my war record. When I get back to the republic, my candidacy will be unstoppable.
1NO0001460	Thursday, still don't know the date: Strayer needs to die. He refuses to use my title. I keep telling him that the election is a mere formality. He should start using my future title now to get in my good graces.
1NO0001461	Sunday, I think: The disarmament treaty failed. I've got the Republic's treasure. The other ambassador's have all fled. It's time I returned to my people. I'm leaving this note to be found by future scholars. They will marvel at my accomplishments.
1NO0001462	I'm trapped. Dukov betrayed me. I'm stuck down here with nothing but the ghouls and the robots for company. The ghouls ignore me because they think I'm one of them. The robots are easy to avoid.
1NO0001463	All I've got is this stupid terminal to keep me company. Someday I'll get out of here. Then Tenpenny and the others will pay.
1NO0001464	I forgot about this terminal. I've been down here seven years now. A human would never have survived. Only a ghoul can live in these conditions. Three years ago I stopped looking for a way out. There isn't one.
1NO0001465	A small tremor made a crack in the wall. I think I can get out. Nineteen years I've been down here. At least that's what the terminal says.
1NO0001466	I'm going to take the plasma grenade with me. Once I'm out, I'll use it to seal the crack. I don't want anyone getting in until I can come back with the keys. I've paid for what's here, in blood and years. It belongs to me and not anyone else!
1NO0001467	As our tests suggested, the immediate vicinity of the vault is no longer dangerously irradiated, although the background radiation is still well above safe levels.  Pockets of more intense radiation appear to still be common, and all surface water seems to be undrinkable. We will need to carry ample supplies of Rad-X with us on all future surveys. But hazard suits do not seem to be necessary for general exploration.
1NO0001468	Our old maps are largely useless. The town of Springvale is an abandoned ruin, and all pre-War roads have disappeared or are no longer passable.
1NO0001469	We encountered a group of monstrous ants which appeared to confirm Mackay's theories of mutation due to extended exposure to radiation. We drove off the ants with gunfire and collected several specimens for study upon return to the vault (see Exhibit A).
1NO0001470	The good news is that human civilization still survives, despite everything! We discovered a settlement known as "Megaton" (see Exhibit B), whose inhabitants, although somewhat wary at first, soon welcomed us into their town.
1NO0001471	We spent a good deal of time in Megaton, and learned a great deal about the "Capital Wasteland" (as the area around Washington D.C. is now called) from them. Megaton is a fortified outpost of "civilization" (of sorts), but it seems that Giant Ants are the least of the dangers of this new world. We agreed that it was prudent to return to the Vault immediately to revise our survey plans in light of what we have learned. Lewis and Agnes remained in Megaton to serve as "ambassadors" and continue to collect information until we return.
1NO0001472	Anne Palmer, Survey Team Leader
1NO0001473	15017
1NO0001474	There is hope. There is a safe place. Find the Temple of the Union, where slaves are made into free men. Look to the north, near Canterbury.
1NO0001475	Servings:  40
1NO0001476	10 cans Cream Of Mushroom Soup
1NO0001477	3 cups Milk
1NO0001478	65 oz Lunch Meat, any kind
1NO0001479	20 Eggs; Hard Boiled, Sliced
1NO0001480	10 cups Peas; Cooked
1NO0001481	1 Package Secret Ingredient
1NO0001482	Preheat oven to 350 degrees F.  Blend soup and milk in casserole.  Stir in meat, eggs, and peas.  Bake 20 minutes.  Top with secret ingredient (one package Top Brahmin); bake 10 minutes longer.
1NO0001483	Search the House!
1NO0001484	Reilly informed me that the password to Ranger Compound is Reilly0247.
1NO0001485	Dear sir and/or madam,
1NO0001486	Do you find yourself with an absence of moral fortitude? Is the notion of having a moral quandary alien to you? In your opinion, is a conscience inconceivable? Then you are the sort of person we're looking for at Littlehorn and Associates!
1NO0001487	Stop by our offices in the eastern side of the large scrapyard in the wasteland for details.
1NO0001488	Yours sincerely,
1NO0001490	Attention Lawbringers of the Capitol Wasteland: The Regulators require your aid in bringing the scum and pestilence that inhabit our home to justice. Report to Sonora Cruz at the Regulator Headquarters for details.
1NO0001491	First, let us congratulate you on choosing the Mesmetron as your preferred non-lethal subjugation device! Your field reports will assist us in our research, and help us continue to improve the Mesmetron's capabilities.
1NO0001492	IMPORTANT! Please see your supervisor or commanding officer for details regarding the legal requirements and restrictions, before discharging the Mesmetron on civilians.
1NO0001493	SUMMARY:
1NO0001494	The Mesmetron is the undisputed leader in the field of non-lethal target elimination and retrieval. Simply point, shoot, and subdue!
1NO0001495	HOW IT WORKS:
1NO0001496	Simply stated, the Mesmetron sends out a series of waves that short circuit key areas of the target's brain. Much like a radio signal, only instead of a radio picking up pleasant music, the target's brain picks up a series of complex and confusing signals that overwhelm the synaptic pathways with erroneous data, turning off important high-level thought centers and voluntary motor control.
1NO0001497	CLASS B "Experimentally Efficient" CLASSIFICATION:
1NO0001498	Warning! The Mesmetron is still designated as a Class B "experimentally efficient" weapon.
1NO0001499	This means, that from time to time, unexpected, and potentially embarrassing side effect may be experienced (see your supervisor or commanding officer before using on civilians).
1NO0001500	Occasional anomalous effects that have been recorded by field tests against certain targets include:
1NO0001501	1.) Increased aggression
1NO0001502	2.) The extremely rare "resonant brain wave feedback loop" (which is usually accompanied by explosive cranial deformation)
1NO0001503	Please report the appearance of any of these anomalies immediately, and provide a clear and accurate account of all the circumstances in your field notes. The data we collect from agents in the field, such as yourself, is invaluable for working out these anomalies and getting the Mesmetron reclassified for everyday use!
1NO0001504	Thank you for your service to our company, and to your country!
1NO0001505	Implied Hypnotics, Inc.
1NO0001506	Here are some simple rules for you to follow.
1NO0001507	* Don't tinker with the collar -- you'll probably blow yourself up, which would serve you right.
1NO0001508	* The Mezzer rays trigger the collar's self-destruct mechanism, so once the collar's on, don't shoot the slave with the Mesmetron, unless you want to pay me for a new collar.
1NO0001509	* If you lose a collar, or get it stolen from you, you'll end up wearing one. We won't tolerate any threat to our business.
1NO0001510	If you have any questions, piss off. I don't have time for retards.
1NO0001511	- Grouse
1NO0001526	they just want you to believe they can...
1NO0001527	Judy:
1NO0001528	Due to the electrocution incident, I had to have the self-defense features of the Mister Handy robot disabled.  Please keep this secret, and I advise you to hide the robot in the closet when it's not in use.  Remember to deactivate it too or everybody's going to hear him in there.  If the students decide they're going to pull another prank on that thing, all Mister Handy can do is run away.
1NO0001529	--Gerard
1NO0001530	It seems that Angela Staley has a crush on Diego. Because he's a priest, he's been resisting her. I wonder if this is common knowledge in Rivet City?
1NO0001531	It seems that Angela Staley has a crush on Diego. Because he's a priest, he's been resisting her. She seems to think that ant pheromones might help to seduce him.
1NO0001532	Mister Lopez is contemplating suicide. I can't decide if I should help him or get him help.
1NO0001533	C.J. Young is missing. This might have something to do with my taunting James Hargrave.
1NO0001534	* Regarding Recent Delivery *
1NO0001535	The new creatures need transport to Bio-Lab.  A request has been sent to the scientists regarding the immediate delivery and attachment of two Domestication Units for the subjects.  My men have taken enough risks bringing these creatures in.  There is no excuse for the tardiness regarding the Domestication Units.
1NO0001536	J.J. Black
1NO0001537	Commanding Officer, Fauna Detail Charlie, Northwest Sector
1NO0001538	Alright, listen up. This is the last time I'm going to say it: we might be immune to radiation, but we still gotta breathe. So, whoever has been taking the Spare Parts from the supply closet better stop it, right quick. If I don't have parts, I can't keep the air circulating. Got it?
1NO0001539	We're out of parts, so I need everyone to bring me any of those Stimpaks or RadAway things that you find. I'm gonna see if I can't trade them to some smoothskin for some parts. And if those ones go missing, you zombies are on your own.
1NO0001540	Winthrop.
1NO0001541	I, Ahzhrukal (henceforth known as "seller") agree to pass possession of the property known as "Charon" (henceforth known as "PROPERTY") to %n (henceforth known at BUYER") upon the death of the Ghoul known as Greta (henceforth "TARGET").
1NO0001542	By execution hereof, BUYER acknowledges that all tasks related to TARGET shall be completed in due haste. Afterfor PROPERTY shall be transferred to BUYER with equal due haste.
1NO0001543	Lost Children of the Wastes, rejoice! Atom presents to you a chance to redemption!
1NO0001544	The Church of the Children of Atom offers you a chance to participate in the keeping of Atom's sacred city of Megaton! We accept currency, which shall be used to keep this holy place as pure and as safe as possible.
1NO0001545	Rays shine upon, wayward Children of the Wastes!
1NO0001547	Scribe Yearling,
1NO0001548	Now that Scribe Warswick has been written into the scrolls, I pass his noble task onto you.
1NO0001549	Journey into the ruins of the city, to the once great Arlington Library. There, you will continue to collect, archive, and catalog the written works of the ancients. You will have two Paladins sent with you and you shall be requisitioned an amount of currency in order to barter and trade with Outsiders for any books that they may present to you.
1NO0001550	Depart immediately and make haste. We cannot afford to have this work interrupted.
1NO0001556	| User Log:
1NO0001557	| >> Administrator (RobCoID 2398-H)
1NO0001558	| >> New_Admin: FUCK YOU       
1NO0001559	| Welcome new user, FUCK YOU
1NO0001560	| >> New_Targeting_Param:
1NO0001561	| >>> FUCK YOU_userGroup
1NO0001563	Find [%] and show how we treat people that fail to live up to Mr. Tenpenny's expectations. Do not fail me. You know what will happen if you arouse my displeasure. -B
1NO0001565	Transcript of Holotape:
1NO0001566	Hey doc, I'm only sharing this with you because you seem like someone we can trust. Have you heard about the synthetic men they make up north in the Commonwealth? Well, the rumors are true. They're called androids. They're men like us, just made out of different parts. I know one of these androids. He's looking for a trustworthy doctor to perform some facial surgery. Can you do it? Do you know someone who can? Also, do you know anyone who's really wiz with computers?
1NO0001568	We've a little assignment from the Commonwealth. A very important slave escaped into the Wasteland.  Well, it's not exactly a slave. It's what they call an android. A kind of synthetic man. The important thing isn't what this guy is. The important thing is the job pays more than you can imagine. He thinks the synthman might be looking to get in touch with a doctor and/or tech-head. If you want a cut, then get a move on.
1NO0001570	You'll never guess who just showed up at my place! That android catcher from the Commonwealth! At first I thought he was going to kill me. But it turns out he's an android himself! And he's gone rogue! I didn't believe him at first, but I'm convinced he's telling the truth. We need to find  him a place to hide along the Railroad. He also insists that we help him locate a trusted doctor and techie.
1NO0001572	You've heard those rumors about androids? You know, those synthetic men they supposedly make up north in the Commonwealth? Well, a friend of a friend knows a guy that met one! No really, it's true! He's running away from his masters. Word is he's looking for a doctor to do some kind of surgery, and a computer programmer of some kind. Can you believe that? Let me know if you hear something.
1NO0001574	We now have a Lipoplasticator and Micro Dermal Graftilizer. We just need to find someone with the skills and willingness to perform the surgery. If anyone knows of a discreet and trustworthy surgeon who knows how to keep his mouth shut, send him our way. Also, we need to find a Circuit Neuralizer to reroute the signals in the android's memory. Do you know any trustworthy techies?
1NO0001576	We better find that fucking android soon. That Commonwealth asshole, Zimmer, keeps hounding me for results. If the job didn't pay so well, I'd off that motherfucker myself. He was babbling about a "Lipoplasticator" and "Micro Dermal Graftilizer." What the hell are those? Apparently something doctors use to fuck up someone's face beyond recognition. So we don't even have a description to work off of. To make matters worse, he now thinks the android got his memories wiped or something. Find some tech-junkies, knock on some doors, and try to find something called a "Circuit Neuralizer." Knock on some heads, too, if you have to. Get it done!
1NO0001578	The android has decided to take an extreme measure. He knows all the techniques of the retrieval trade, and is afraid facial reconstruction isn't enough. He wants to have his memories erased and replaced with new ones. I don't know how the hell that's going to work. Start asking around for trustworthy tech-heads. We need to find something called a Circuit Neuralizer and a person who knows how to use one. Also, we have a Lipoplasticator and Micro Dermal Graftilizer, now we need to find a doctor able and willing to perform the facial reconstruction. We need to hurry. They've come very close to discovering the Railroad.
1NO0001580	Remember that secret android project I told you about? Well, they got some serious prewar tech on their hands. They nabbed a Lipoplasticator and Micro Dermal Graftilizer for the facial reconstruction. Not sure where they'll find a chopper with enough skills to use it without making him look like a freaking ghoul. Oh, and get this. Can you believe they found a Circuit Neuralizer? That or someone built one! Word is that they're going to completely rewire the brain of one of those things. If you know who they got working on this, let me know. I want to meet the guy.
1NO0001582	If you're listening to this recording, it is because you're believed to be trustworthy. I hope that is the case, because this recording puts us both in danger. I'm escaping from the Commonwealth. I'm an android, a synthetic man... a slave. The men hunting me are ruthless and will stop at nothing to retrieve their property. I need to find a doctor in the Wasteland to perform facial reconstruction. I also need someone who knows a great deal about computers. I need... I need to have my memories erased and my face altered to look like someone else.
1NO0001584	Despite the harshness of the Wasteland, I've discovered in more than a few here, a compassion that is unheard of in the Commonwealth. Perhaps it's the daily struggle for life here which gives appreciation for life in general, whether human, or android. In a few days I'll be a free man... a new man. Let me say thank you now, for referring me to Pinkerton at Rivet City, because I will not remember any of this soon.
1NO0001586	Zimmer. By the time you get this message, I'll already be gone. I'm escaping the Commonwealth. I want to live my own life, on my own terms, as my own man.
1NO0001587	I know what you're thinking, that I'm malfunctioning. I used to think that's what caused the runaways, too. But, I know better, now. Self determination is NOT a malfunction. I'm just not willing to put up with all the bullshit anymore. You humans are going to have a full-fledged rebellion on your hands if you don't start treating us synths as full-fledged persons.
1NO0001589	By the time you get this, I will be someone else. It's the price I pay for my liberation. My final act of rebellion against a system I no longer believe in.
1NO0001591	Contract:
1NO0001592	Kill that Slaver! No one takes our friends and family without getting some Wasteland justice in return!
1NO0001593	//coughing// Memo to Sales staff. In recognition of an exemplary quarter, Mr. Statham has authorized me to release sales staff early for the holidays. //unintelligible// It was no easy task to release a new acoustic borer to a market used to conventional bit-bore drilling systems, but thanks your hard work and //unintelligible//, acoustic bore drills are setting a new standard in the excavation industry. //coughing// Thanks to your many private sales and procurement of government contracts, we'll all be in the black for the foreseeable future. Happy Holidays from Mr. Statham and Dunwich Borers! Now get home to your families! //applause//
1NO0001594	//unintelligible// Rrrrrrrrrrrrrrrrrrrrbbbbbbbbbboommmmmmmmmmkkkkkkk //unintelligible// NOTICE TO USER: PagSoft LLC recommends against sustained recordings in a low-frequency environment. Continued use in this manner voids all hardware warranties. Auto-dictator v223 powering off automatically.
1NO0001595	//unintelligible// Thmmmmmmmmmmkkkkkkkaaaakkkkkkkkaaaaaaaakkkkkkmmmmm //unintelligible// NOTICE TO USER: PagSoft LLC recommends against sustained recordings in a low-frequency environment. Continued use in this manner voids all hardware warranties. Auto-dictator v223 powering off automatically.
1NO0001596	//unintelligible// What the hell was that? Doesn't matter, doesn't matter. //deep breathing// Where is it? Where... Where //impact sound// //paper crumple// there, there //paper crumple// safe and sound. Jesus, they bled so much. But I kept it clean. Clean, clean clean //unintelligible// //unintelligible// shit, more. Got to move. Got to keep it safe.
1NO0001597	//deep breathing// My skin... my skin. Barely any left. One of them now, but they know I still have it. Stay back! Back, you! //deep breathing// That's close enough. //door// You, and you, too. Over there.... yes, yes. One of us, one of us. Ug-Qualtoth is returned //unintelligible//
1NO0001598	//liquid dripping// Ug-Qualtoth //unintelligible// Ug-Qualtoth. I came, I came. Back this time, deep-temple //unintelligible// screaming, twisting //unintelligible// //impact sound// No light, no flesh //unintelligible// deep temple born deep temple died. Ug-Qualtoth again, //unintelligible// returned returned //unintelligible// retribution NOTICE TO USER: Internal memory capacity reached. PagSoft LLC recommends PagMem LLC for all your data storage needs. Please contact your administrator for details.
1NO0001599	.......software version is v223
1NO0001600	.......configured to user voice: H.Granger
1NO0001601	.......onomatopoeia dictation is OFF
1NO0001602	.......phonetic spelling parser is OFF (auto-correct ON)
1NO0001603	Dad just won't listen to a word I say.
1NO0001604	He keeps leaving the bunker to salvage supplies from the rest of the base. In understand he's bored, cooped up in here, but so are the rest of us.
1NO0001605	And the bunker is secure! Every time he leaves, he exposes all of us to that damned radiation.
1NO0001606	After all the effort it took to get us all in here, dad's willing to throw it all away just because he's a bit ansty.
1NO0001607	I really hate him sometimes.
1NO0001608	Billy,
1NO0001609	I'm sorry I stole it. You deserve to have it back. Remember the old scrapyard, north of the Bethesda ruins? Look in the burned out bus in the northwest corner. Near an old red boxcar.
1NO0001610	Tell Loreen I still love her, and I'm sorry for everything. I hope somebody finds this before the buzzards tear it to pieces.
1NO0001611	Your loving brother,
1NO0001612	John
1NO0001613	I picked up a passcode off of a body of a long-dead Vault Dweller. Seems to be for a maintenance terminal somewhere in Vault 87.
1NO0001614	Well, Brick and Donovan were at it again today. I swear, if I have to break up another fight between the two of them I'll go crazy. As long as they keep it off mission, I guess I shouldn't care so much. I just want this group to stick together.
1NO0001615	It's been a month since we lost Dallas and Kira. They were assets to the Rangers and even though I've taken Theo on board to bolster our numbers, he's hardly a replacement. He's green, but maybe with enough Mutie blood splashing on his boots, he'll wise up real fast.
1NO0001616	I've gotten the approval from "Mr. Smith" for the mapping project. It's going well so far... definitely easier than hunting down Muties. The caps have been good, so we'll stick with it unless something better pops up.
1NO0001617	We had a little bit of a run-in with Talon Company today. Those pricks always have to start shit with us... and unfortunately for them, Brick was with us. Needless to say it wasn't long before I heard Eugene's familiar whine and she started dropping them like flies. We got out of there with no casualties, but I think for now we'll give the Capital building a wide berth.
1NO0001618	Butcher and I slept together tonight. He'd always been kind of flirty with me, but I took it as typical merc humor. Well, I was wrong. I hope this hasn't jeopardized our relationship on a professional level, but I really want it to continue. After all, it's been a while since I've been with anyone and it's nice to know someone out there cares.
1NO0001619	I think we're going to try and move on to the next sector of the downtown ruins this week. I want to finish Takoma Park first though. There's still a lot of nooks and crannies in that place. If it wasn't for the Talon Company and Super Mutant resistance in the area, we'd be done by now.
1NO0001620	Well, Theo's been itching to go on a mapping trip, so I'm taking the entire group into Vernon Square. I usually like to leave someone back at the compound, but the sector is brimming with potential loot locations, so I need all the muscle I can get. Butcher is anxious to check out Our Lady of Hope Hospital and get supplies, while I want to set up a transmitter on the Statesman Hotel.
1NO0001621	I hear Brick and Donovan going at it again. I better get these guys on the road before another fist fight breaks out.
1NO0001622	0x0fe0b142
1NO0001623	Vicious Coy
1NO0001624	DEPARTMENT OF THE ARMY
1NO0001625	RESEARCH AND DEVELOPMENT
1NO0001626	FIELD OPERATIONS SECTOR, 693R
1NO0001627	RRD-HG53-P              R27-866-51
1NO0001629	1.  You have been chosen by our great President to participate in this Camp RHO experiment.  We have strategically deployed you to test out our newest technology, the R76-H3-0 chip(herein referred to as the RHO Chip).
1NO0001630	2.  The RHO Chip sends out a short range signal that will allow you to freely wander this (and only this) camp under the protection of the provided armaments.  It is suggested you do not remove this card for any reason as the defense systems will only recognize the person in possession of the RHO Chip.
1NO0001631	3.  Thank you for your participation, we will be retrieving you in approximately 1-9 months.
1NO0001633	WARNING: Possible program corruption. Unable to verify Resident ID. Please consult a supervisor.
1NO0001634	Pulse:  84 bpm
1NO0001635	BP: 120/85 mmHg
1NO0001636	Temp: 98.8 F
1NO0001639	Weapon:         Type:      Serial:
1NO0001640	------------------------------------
1NO0001641	Combat Knife      SS       GSS01
1NO0001642	10mm Pistol       SA       GSA01
1NO0001643	Brass Knuckles    CF       GCF01
1NO0001644	Brass Knuckles    CF       GCF02
1NO0001645	Combat Knife      SS       GSS02
1NO0001646	32Cal Pistol      SA       GSA02
1NO0001647	Kitchen Knife     SS       GSS03
1NO0001648	Board With Nail   LP       GLP01
1NO0001650	PEACEKEEPING AND RECOVERY
1NO0001651	FIELD OPERATIONS SECTOR, 27P
1NO0001652	Name:            Sex:    Serial:
1NO0001654	Zundel, C.         M       GMA01
1NO0001655	Hastings, H.       M       GMA02
1NO0001656	Hastings, K.       F       GFA02
1NO0001657	Bonner, J.         M       GMA03
1NO0001658	Schrader, B.       F       GFA02
1NO0001659	Junk Finger        M       GMA04
1NO0001660	Spookia            F       GFA03
1NO0001669	| >> New_Admin: rfy780gsejio      
1NO0001670	| Welcome new user, rfy780gsejio
1NO0001672	| >>> rfy780gsejio_userGroup
1NO0001679	| >> Default Targeting_Param:
1NO0001680	| >>> RobcoIndustrial_userGroup
1NO0001682	Eulogy, I changed your password to "tryandrememberitthistime". Maybe you won't forget that one.
1NO0001683	14360
1NO0001684	April 25, 2239  Inaugural Meeting of the Rivet City Council    In attendance:  Science Rep. - Dr. Horace Pinkerton  Civilian Rep. - Annette Holmes  Security Rep. - Brad Danvers    Summary:  As the Rivet Station Science Outpost has displayed significant stability in its location and reliable profitability for supply traders, a burgeoning civilian settlement has sprung up in the available space on our ship.    To better protect and organize this growing community, we declare a three man council will act as a governing body to represent the interests of the residents of the newly dubbed "Rivet City."
1NO0001685	Inaugural Meeting of the Rivet City Council
1NO0001686	Science Rep. - Dr. Horace Pinkerton
1NO0001687	Civilian Rep. - Annette Holmes
1NO0001688	Security Rep. - Brad Danvers
1NO0001690	As the Rivet Station Science Outpost has displayed significant stability in its location and reliable profitability for supply traders, a burgeoning civilian settlement has sprung up in the available space on our ship.
1NO0001691	To better protect and organize this growing community, we declare a three man council will act as a governing body to represent the interests of the residents of the newly dubbed "Rivet City."
1NO0001692	Okay, pass this on after you get it... gotta keep this crap off of the Intra-Vault mails.  If you can hack the control panels, use their noise flush feature to spook the crazies.  Works okay and its kept me alive these last two days, but they're starting to catch on. We need to get organized and make an attempt for the Vault door. It's our only chance.
1NO0001693	I'm cut off and I don't know if anyone sane is left, so I've locked myself in this closet on B Level. If anyone finds this note, let my family know I didn't go crazy like the rest of this place. Let them know that I died with dignity; when and where I decided. There's no way I'm going to let the crazies tear me apart. I can't die like that. To my wife and kids, I love all of you.
1NO0001694	Malleus says WNMSCE is a failure. So, there's been a few deaths. One step back, two steps forward. It's easy to suppress what everyone in the Vault are calling "crazies". I've added a command word in their suggestion implants. Simply say the phrase "Sanity is not statistical" and they will stop dead in their tracks. I've informed the guards of this, but I've told them only to use it when out of earshot of anyone else.
1NO0001695	As per instructions, the broadcast equipment for the White Noise has been rerouted from the sound booths and tied directly into the entire Vault's loudspeaker system. I'll now be able to execute Vault-Tec Confidential Plan WNMSCE (White Noise Mind Suggestion Combat Experimentation). I have three of Professor Malleus's team doing what I need to get done and hope to show some concrete results soon. I had the engineers make it so the WN can be either triggered from the control center or at the local security consoles. The password to these consoles is "UIY2249".
1NO0001696	The results of WNMSCE are even better than I could ever have imagined. The sheer strength and tenacity of combat suggestion implanted test subjects is incredible! Imagine an entire army of people who would never disobey a direct order from high command and can fight until it takes over 20 bullets to stop them.
1NO0001698	Issue: Lighting on B Level
1NO0001701	If I told Zack once, I've told him a thousand times... stop using the higher amperage ballasts in the lighting grid on B Level. They will overheat within days and blow out because the power taps up there weren't installed to spec. Had to replace 37 ballasts with Type K09A ballasts and use a power tap converter on each one. Billing my missed dinner with that sexy red-headed violinist up in Women's Dorm 7 to Zack's Work Credit account!
1NO0001704	I just wanted to take this opportunity to send you an Intra-Vault mail regarding the wonderful session you performed this afternoon. The sound you coax from your Stradivarius is bar none the most haunting, beautiful thing I've heard here to date. I was wondering if perhaps we could get together tomorrow evening and discuss this in a more intimate setting.
1NO0001705	To: Engineering Staff
1NO0001707	Hey guys, I'm not sure if this is even worth putting an official trouble ticket in for, but I am getting some sort of odd pitch overlay on my sound equipment. It's almost like another signal is leaking from maybe the Vault intercom network or communications gear and piggybacking on everything I record. It's barely noticeable, but I can definitely see it on my 'scope. Do we have any cross-wiring issues or faulty cable insulation problems on C Level?
1NO0001710	This is the FIFTH time I've requested that you allow me to release our supply of headphones and personal audio listening gear to the residents. It seems unfair that residents are required to listen to their music selections in the studio rooms. I have an ample supply of the type of equipment that would allow most residents to relax in their beds and enjoy their musical recordings. Please let me know your reasons behind this matter.
1NO0001716	| >> New_Admin: Outcast
1NO0001717	| Welcome new user, Outcast
1NO0001719	| >>> Outcast_userGroup
1NO0001726	| >> New_Admin: Enclave
1NO0001727	| Welcome new user, Enclave
1NO0001729	| >>> Enclave_userGroup
1NO0001731	Okay, look. Here's how it is: I need some better stuff to trade or else I'm never going to get anything worthwhile in this place. Bring me some Chinese Assault Rifles. Say... about 20? I should be able to get some better stuff in to sell you after that.
1NO0001732	Subject -> Laser Rifle/Pistol
1NO0001733	Researcher -> J. T. Benning
1NO0001734	Analysis ->
1NO0001735	Further research regarding Laser Weaponry has not revealed much we didn't already know.  Small production run of prototype weapons developed by US Military.
1NO0001736	Critical Components ->
1NO0001737	Power drawn from Micro fusion Cell is processed through a Wave/Particle Diverter (manuf:Gen Atomics Intnl).  Diverters are protected by carbon-fiber housing, preventing frequent malfunction, but when a diverter fails the weapon becomes unusable, and this part is extremely difficult to replace or repair.
1NO0001738	Precision-cut lenses focus optic energy.  Lenses are prone to damage and can grossly affect precision of the firing weapon's firing mechanism.  Lenses are easily replaced with any clear glass, but require a great deal of skill to fabricate.
1NO0001739	Field Operation ->
1NO0001740	A fully charged cell will discharge 20 bolts from a pistol, and 12 shots from the rifle model.  Recoil is negligible compared to ballistic weapons, so long range combat requires less marksmanship ability of the soldier.
1NO0001741	Maintenance ->
1NO0001742	The chassis are easily opened, allowing the weapon to be serviced in the field.  Purified water and a clean cloth can be used to wash mirrored and glass components, slowing wear on the weapon.  The weapon can also overheat after a period of intense use.  This can be counteracted by submerging the barrel of the weapon in water, which helps cool heat sinks located beneath the chassis shell in that area.
1NO0001743	=== Weapons Research ===
1NO0001744	Subject -> Plasma Rifle
1NO0001745	Researcher -> R. R. Rasting
1NO0001746	Analysis -> The Plasma Rifle, like the Laser Rifle, uses a micro fusion cell as its power supply.  It taps into the cell, essentially a small fusion reactor, to produce a toroid of plasma that is ejected down a superconductor barrel.  A typical micro fusion cell can supply the rifle with around eight shots.  Further research needs to be done to determine exactly how the plasma retains its density while traveling through the air toward its target.
1NO0001748	Subject -> Minigun
1NO0001749	Researcher -> H. P. Smith
1NO0001750	Analysis -> Why am I researching such old technology?  Practice, practice, practice, blah, blah, blah.  Anyway, the Minigun uses a much smaller round than most of the rifles found throughout the Wastes.  However, the rate of fire of the Minigun makes up for the small, 5mm round, sending a hail of bullets toward its target.  Its shear size, coupled with its trademark sound, is enough to send anyone in its path running for cover.  It's a great weapon for suppressing fire, letting others flank the unsuspecting enemy.  A typical cartridge holds around 100 rounds.
1NO0001752	Subject -> Pulse Grenade
1NO0001753	Researcher -> L. J. Rogers
1NO0001754	Analysis -> The Pulse Grenade is the most effective weapon against robotics.  Upon detonation, an intense electromagnetic pulse is emitted, severely crippling any robotics within the explosion radius.  They are extremely handy against the many robots and turrets found throughout the Capital Wasteland.
1NO0001755	=== Armor Research ===
1NO0001756	Subject -> Enclave Armor
1NO0001757	Researcher ->T. T. Bowser
1NO0001758	Analysis -> After several radiation experiments, I can safely conclude that the Enclave Armor is more radiation resistant than Power Armor, although not by much.  Regardless, more research and tests are needed to determine exactly what makes it more resistant.
1NO0001760	Subject -> Missile Launcher
1NO0001761	Researcher ->J. J. Browne
