1TE0000004	Vault Door Activated
1TE2000109	JournalSoft v2.3
1TE2000110	-->Logged in as: Nurse Hicks
1TE2000112	Patient Log 148
1TE2000113	Patient Log 147
1TE2000114	Personal Log 48
1TE2000115	***********************************************
1TE2000116	* PRESDY BIORESEARCH STATION *
1TE2000117	* KRAG-JENSEN PROTOCOLS LOADED *
1TE2000120	Trog Studies
1TE2000122	**********************************
1TE2000123	*    PITT BIORESEARCH STATION    *
1TE2000124	*  KRAG-JENSEN PROTOCOLS LOADED  *
1TE2000127	Baby Monitor
1TE2000135	Regarding New Protectrons
1TE2000136	Regarding Recent Employees
1TE2000137	Regarding New Shipment
1TE2000138	RobCo Service Terminal V 6.0.3.2.1.a ------------------------------------
1TE2000150	Activate Security Bot #1
1TE2000152	Activate Security Bot #2
1TE2000154	Activate Security Bot #3
1TE2000156	Activate Security Bot #4
1TE2000161	Regarding Recent Incident
1TE2000163	Private Entry #1
1TE2000164	Private Entry #2
1TE2000165	Private Entry #3
1TE2000166	Private Entry #4
1TE2000167	Private Entry #5
1TE2000168	Private Entry #6
1TE2000169	-RobCo Trespasser Manag---?#i!a(*bos&@!
1TE2000170	======SYSTEM REPROGRAM START======
1TE2000171	ROOT USER "I.ASHUR"
1TE2000178	----Steel Press Status Screen---- ---------------------------------
1TE2000180	-Rotary Press 01 Status: Active
1TE2000181	-Rotary Press 02 Status: Active
1TE2000183	Emergency Stop
1TE2000184	----Ammo Press Status Screen---- ---------------------------------
1TE2000186	-Ammo Press 01 Status: Active
1TE2000187	-Ammo Press 02 Status: Active
1TE2000189	Operating Instructions
1TE2000191	Ammo Production
1TE2000194	Uptown Power Terminated
1TE2000195	Cannot Resume: ERROR BHA-00
1TE2000196	Atomic Turbines at 10.8%
1TE2000197	Atomic Turbines Redirected to Mill
1TE2000198	Material will produce 3 or fewer rounds.
1TE2000199	Material will produce 4 to 10 rounds.
1TE2000200	Material will produce 11 to 25 rounds.
1TE2000201	Material will produce 26 to 50 rounds.
1TE2000202	Material will produce 51 to 100 rounds.
1TE2000203	Material will produce 100 to 200 rounds.
1TE2000204	Material will produce over 200 rounds
1TE2000205	Pressing...
1TE2000212	Material will produce 201 to 400 rounds.
1TE2000213	Material will produce over 400 rounds.
1TE2000248	Material will produce 3 or fewer shells.
1TE2000249	Material will produce 4 to 10 shells.
1TE2000250	Material will produce 11 to 25 shells.
1TE2000251	Material will produce 26 to 50 shells.
1TE2000252	Material will produce 51 to 100 shells.
1TE2000253	Material will produce 100 to 200 shells.
1TE2000254	Material will produce 201 to 400 shells.
1TE2000255	Material will produce over 400 shells.
1TE2000259	Baby Status: Healthy and Well
1TE2000261	Baby Not Found. Insert Baby and Try Again.
1TE2000266	Retrieving Data...
1TE2000272	<ERROR> Security Bot Activated
1TE2000293	Command Ignored - Override Enabled
1TE2000294	Authorized Users Only
1TE2000297	Error - No Usable Materials In Bin
1TE3000001	Old Olney Powerworks
1TE3000002	A Division Of PPE
1TE3000005	Disengage Security System
1TE3000006	Disengage Security Door
1TE3000011	Vent Radiation
1TE3000016	<!>ERROR: Turret(s) Not Responding<!>
1TE3000025	Officer's Report
1TE3000026	Official Orders
1TE3000028	*Mobile Platform Control*
1TE3000031	Open Mobile Platform Loading Ramp
1TE3000032	Close Mobile Platform Loading Ramp
1TE3000033	Contact Mobile Platform Control Center
1TE3000034	Contact Vertibird Flight Control
1TE3000039	Z Machine Failsafe [1/4]
1TE3000044	Z Machine Failsafe [2/4]
1TE3000051	Z Machine Failsafe [3/4]
1TE3000052	Z Machine Failsafe [4/4]
1TE3000062	Trigger Machine Failsafe
1TE3000063	Logging on to Comms Relay...
1TE3000065	Comms Active.
1TE3000067	Transfer Request
1TE3000068	Satellite Tracking Equipment
1TE3000069	Mentats Abuse
1TE3000070	Robots Gone Haywire
1TE3000072	No Unauthorized Personnel
1TE3000074	PAYLOAD COMMITTED
1TE3000075	Check Satellite Status
1TE3000076	Check Payload
1TE3000077	Load Payload
1TE3000078	Fire Payload
1TE3000079	Satellite Fire Control System
1TE3000080	+WARNING: Safety Off/System Unlocked+
1TE3000082	Preset Target 01: Citadel
1TE3000083	Preset Target 02: Project Purity
1TE3000084	Preset Target 03: Megaton
1TE3000085	Preset Target 04: Rivet City Carrier
1TE3000086	Preset Target 05: Adams AFB Platform
1TE3000088	+TARGET ACQUIRED: Citadel+
1TE3000089	++WARNING: This will commit all warheads to target and lock this station.++
1TE3000093	+TARGET ACQUIRED: Adams AFB Mobile Platform+
1TE3000099	++FINAL WARNING: This target is for self-destruct purposes only! Final Approval required!++
1TE3000103	-A Division Of PPE-
1TE3000106	Shutdown Automated Process
1TE3000107	Reactivate Automated Process
1TE3000108	Load Control Manifest
1TE3000109	Long Live the Enclave!
1TE3000110	Robot Control Mainframe v2.7
1TE3000112	Run Robotics Diagnostic
1TE3000115	Perform Safety Shutdown
1TE3000116	Scramble Robot Targeting Parameters
1TE3000117	Target Enclave [Robotics Expert]
1TE3000133	Security System Online
1TE3000135	Unlock Interior Doors
1TE3000136	Unlock Door to the Exterior
1TE3000138	Armory Security Access Terminal
1TE3000139	=Please list all equipment checked in or out!=
1TE3000141	Log New Item Change
1TE3000146	United States Military Police
1TE3000147	Pentagon Substation 3A
1TE3000153	Museum Authority Workstation 7
1TE3000154	Dallas Bryce
1TE3000156	Log Entry MA-0089
1TE3000157	Log Entry MA-0088
1TE3000158	Log Entry MA-0087
1TE3000159	Log Entry MA-0086
1TE3000160	Log Entry MA-0085
1TE3000161	Log Entry MA-0084
1TE3000164	Mission Brief
1TE3000166	Mission Reports
1TE3000167	Requisitions
1TE3000168	Petty Cash Account
1TE3000169	Logs
1TE3000172	Big Town Report
1TE3000173	Megaton Report
1TE3000174	Rivet City Report
1TE3000177	Day One
1TE3000178	Incompetence
1TE3000179	Work with me, people.
1TE3000180	Dr. Li
1TE3000181	First Casualty
1TE3000182	More
1TE3000185	MIA
1TE3000188	Lepelletier
1TE3000192	Leak
1TE3000193	So tired...
1TE3000194	New Personal Mantra
1TE3000195	Megaton Gone
1TE3000199	Awake
1TE3000200	Missing Shipments
1TE3000201	Project Purity Scientists
1TE3000203	Presidential Metro System
1TE3000204	Maintenance Logs
1TE3000206	Log Entry AK197896
1TE3000207	Log Entry AK197887
1TE3000208	Log Entry AK197872
1TE3000209	Log Entry AK197865
1TE3000210	Log Entry AK197833
1TE3000211	Logging on to Security Network...
1TE3000214	Unlock Station Doors
1TE3000217	Update Standing Orders
1TE3000218	Request New Telemetry Data
1TE3000219	Download Telemetry Data to User Device
1TE3000220	Sever Uplink
1TE3000252	Disable Deathclaw Field
1TE3000253	Enable Deathclaw Field
1TE3000254	Disable Protection Station Field
1TE3000255	Enable Protection Station Field
1TE3000256	Deathclaw Protection Station Terminal
1TE3000257	In the event of instability in deathclaw neural manipulation, please make use of the nearby flame-inducing device.
1TE3000265	Unlock and Open Pen Door
1TE3000266	Close and Lock Pen Door
1TE3000288	Ramp Open
1TE3000289	Ramp Closed
1TE3000290	Unavailable - Radio Silence Protocol A45
1TE3000292	Powering Down Pylons.  Stand By...
1TE3000300	Station Locked
1TE3000301	Load Hardware Fault Detected
1TE3000302	Satellite Not In Proper Orbit Path
1TE3000305	Initiating Worker Shutdown Protocol...
1TE3000306	Error 623 - Please Consult Manual
1TE3000308	Robots are online and on defensive mode.
1TE3000309	Robots are shut down.
1TE3000310	Robots unstable. Potential safety hazard.
1TE3000311	Robots are shutting down.
1TE3000313	Enclave set to hostile target.
1TE3000321	Interior Doors Unlocked
1TE3000322	Exterior Door Unlocked
1TE3000323	Armory Unlocked
1TE3000324	Error - Mainframe Connection Lost
1TE3000326	Log Corrupted
1TE3000329	Station Doors Unlocked
1TE3000330	Orders Remain Unchanged.
1TE3000331	Telemetry Data Downloaded.
1TE3000332	Data Downloaded.
1TE3000333	Command Override. Unauthorized.
1TE3000348	Deathclaw field disabled
1TE3000349	Deathclaw fields enabled.
1TE3000350	Station Field Disabled
1TE3000351	Station Field Enabled
1TE3000353	Deathclaw Field Enabled.
1TE3000356	!!Warning - Deathclaw Pen Door Unlocked!!
1TE3000357	Deathclaw Pen Door Locked
1TE4000001	USN Field Ops MD-PL-01a (dom.)
1TE4000002	Lt Krumfolz, DIA officer/Liason
1TE4000004	Field Report - Yang Capture/Transfer
1TE4000005	Public Release: Person Of Interest
1TE4000006	Photo File: Wan Yang
1TE4000007	encrypt k.v1910-mkIV
1TE4000009	... SECURE TO TRANSMIT
1TE4000011	Welcome to USA, Dr. Jiang.
1TE4000013	Extraction Details
1TE4000016	Extraction Debriefing
1TE4000025	Covert Submarine SSN-37-1A
1TE4000027	Shi shang wu nan shi,
1TE4000028	zhi pa you xin ren
1TE4000031	Initiate Self-Destruct
1TE4000033	Self-Destruct Status
1TE4000034	St. Aubin Medical Facility
1TE4000035	Division Of Records
1TE4000037	Information about lab goes here!
1TE4000039	Security Terminal Options
1TE4000041	Override Security Lock
1TE4000043	Subsidiary of Isla Negra Holdings
1TE4000052	Collective Benevolence
1TE4000053	Volunteer Unit #MD18-02
1TE4000054	Non-profit Charter REGMD982.90.2012
1TE4000055	St Mary's County, Point Lookout Area
1TE4000057	Unit Mission Parameters
1TE4000058	New Plague Public Information
1TE4000059	Unit Lead Logs
1TE4000060	Relief Unit Lead
1TE4000061	Private .log File
1TE4000063	Log Entry 001
1TE4000064	Log Entry 002
1TE4000065	Log Entry 003
1TE4000066	Log Entry 004
1TE4000068	Copyright and Distributed by
1TE4000069	Presidential Fitness Program (2059)
1TE4000072	Remember to C.I.R.
1TE4000075	ERROR: Security Database Corrupt
1TE4000076	(exception at 01XC91DDDF)
1TE4000077	...11XC91EEHH
1TE4000078	...00XC00DDDF
1TE4000079	\>_secure_shell_layer <corruption>
1TE4000081	<!> Confidential <!>
1TE4000082	DoD Networked OS v78.2
1TE4000084	Electronic Message Transfer System
1TE4000085	Logged in as: Dr. Laura Stewart
1TE4000087	Construction Concerns
1TE4000088	Subject Procedure Reminder
1TE4000089	Notice to Staff
1TE4000093	Logged in as: Adam Tomco
1TE4000095	To: Doctor Stewart
1TE4000096	From: Unknown
1TE4000099	Lab Note System
1TE4000100	Select note to view...
1TE4000102	Core Research Progress Notes
1TE4000103	An Oversight Review? Already?
1TE4000104	Private Field Journal
1TE4000105	S. Marcella J, Abbey of the Road
1TE4000106	Point Lookout Expedition
1TE4000108	"I am the light of the world: he that followeth me, walketh not in darkness, but shall have the light of life."  John 8:12
1TE4000110	Latest Entry <audio file>
1TE4000111	Found an ally?
1TE4000112	Locals
1TE4000113	Travel Journal
1TE4000117	Tribal Culture (Cathedral)
1TE4000118	Camp Turtledove
1TE4000119	Clearance Level Alpha
1TE4000120	C.O. Private Operations Terminal
1TE4000122	ALERT: Suspected Spy (Ch.)
1TE4000123	Interrogation Reports
1TE4000124	Camp Operations Reports
1TE4000125	Intelligence Dossier: Yang, Wan
1TE4000126	Intelligence Records
1TE4000127	Person of Interest
1TE4000128	Yang, Wan (deceased)
1TE4000130	Bulletin: Yang Capture/Transfer
1TE4000131	ERROR: Incomplete Archive
1TE4000133	Photo File: Yang, Wan (alias)
1TE4000134	Intelligence File: Yang, Wan (alias)
1TE4000136	Daily Operations Logs
1TE4000138	Escape Route Patrols
1TE4000141	* Personnel must report ALL intelligence up chain of command via Commanding Officer.
1TE4000143	Doe, John (submariner)
1TE4000145	Yang, Wan
1TE4000147	The Pitt?
1TE4000148	Leaving the Commonwealth...
1TE4000149	Sojourn in Capital Wasteland
1TE4000150	Bysshe Energy Partners
1TE4000151	Natural Gas Survey Vessel
1TE4000154	Access Expedition Supplies
1TE4000156	Enter Auth Code 001
1TE4000158	Auth Code 001 Verified
1TE4000159	Enter Auth Code 002
1TE4000161	Auth Code 002 Verified
1TE4000162	Enter Auth Code 003
1TE4000164	Auth Code 003 Verified
1TE4000165	ERROR:12XU_user_shell
1TE4000166	\.> backed up to user device...
1TE4000167	Downloading Audio...
1TE4000168	File Archived to Local Device
1TE4000170	ERROR! ERROR!
1TE4000176	CLASSIFIED! Captain's Eyes Only.
1TE4000177	ERROR: Auth Codes Not Present!
1TE4000178	Evacuation is Advised.
1TE4000179	Protocol Imitated...
1TE4000180	Thank you.  Have a pleasant day
1TE4000187	Loading Sub-Menu...
1TE4000196	Attempting File Recover....
1TE4000205	Audio stored to user device...
1TE4000206	Loading Note file...
1TE4000207	Loading submenu...
1TE4000212	loading high priority comm...
1TE4000216	Loading Report...
1TE4000217	Contact Technical Officer
1TE4000219	Loading Image File...
1TE4000229	Authorization Received.
1TE4000230	ERROR: Auth Code Not Found !
1TE4000231	C. Saunders: Authorization Received
1TE4000239	Security Corruption!
1TE5000001	Reid Underwood's Private Terminal
1TE5000002	++We Are Not Alone!++
1TE5000008	Remote Unlock Safe
1TE5000011	Contents Compromised!
