0ME0000001	You quickly find a manilla folder with Pacer's name on it in the drawer marked "N-R".
0ME0002256	You attempt to plant the bomb on the vertibird, but aren't sure exactly what to do. You decide to stop before anyone notices you.
0ME0002258	This console controls the overflow controls for the generator intake tunnels. It looks like you can divert the auxiliary intake into the generators. (Science 65 or higher required)
0ME0002261	Divert the water.
0ME0002262	Press the button Fantastic said would divert the intake.
0ME0002263	The dials on the panel show a blockage with the intake system. The pressure will need to be relieved at the manual override valve.
0ME0002265	Repair the kitchen's food processor?
0ME0002268	[Repair 80] Jury rig the machine.
0ME0002270	You have repaired the food processor!
0ME0002272	You do not have all of the required items.
0ME0002274	[Failed] You lack the skill to jury-rig the machine.  After digging through all of the broken parts you are overwhelmed and give up.
0ME0002276	[Success] Bypassing several broken redundant coprocessors using nothing more than bobby pins, tape, and a trooper's swiss army knife, you manage to get the machine running!
0ME0002291	This device looks as though it is armed and could go off at any moment.
0ME0002292	(Explosives of 35 or higher or Science of 45 or higher required to defuse.)
0ME0002295	[Explosives/Science] Defuse the charge.
0ME0002296	Input deactivation code.
0ME0002298	Before you venture deeper into the wasteland, you may revise your character.
0ME0002301	Rebuild Character
0ME0002302	Finished - Travel Onward
0ME0002307	Cocktail Lounge
0ME0002308	Presidential Suite
0ME0002309	Casino
0ME0002310	Basement
0ME0002311	Rex has returned to Freeside.
0ME0002313	The elevator is now offline.
0ME0002317	Caesar is in a coma and is near death. Only an operation to remove the tumor from his brain will save him.
0ME0002318	You have both a set of Surgical Tools and a Doctor's Bag. Whether it'll be enough to save Caesar's life, however, remains to be seen.
0ME0002319	(Medicine of 75 or greater required.)
0ME0002321	Leave Caesar alone.
0ME0002323	Arrange for Caesar to die during the surgery.
0ME0002324	Trust in your luck and perform the operation.
0ME0002333	This is the Presidential Vertibird.
0ME0002335	With the redundant systems compensating for the damaged primary circuitry many of the gyscopes begin spinning, the repair doesn't look like it'll be too complicated now. (Repair 35 or higher required)
0ME0002338	Try To Fix It (Repair)
0ME0002339	Repair With Parts
0ME0002340	This is an advanced model robot with a reinforced frame. It is well weathered and appears to have seen a good bit of action. There is very little in the way of serious damage.
0ME0002346	Some servos and gyroscopes need to be recalibrated and replaced, but it looks as though the robot can be repaired. (Repair 65 or higher required)
0ME0002349	Run the repair
0ME0002352	A few of the primary electronic systems seem to be fully functional, and the redundant systems are all working. If you bypass some of the primary systems the secondary systems should compensate and make some of the repairs easier. (Science 55 or higher required)
0ME0002356	Run The Bypass
0ME0002358	You will need a Doctor's Bag and a set of Surgical Tools before you can perform the operation.
0ME0002362	You already have a Doctor's Bag, but you will need a set of Surgical Tools before you can perform the operation.
0ME0002366	You already have a set of Surgical Tools, but you will need a Doctor's Bag before you can perform the operation.
0ME0002369	Caesar died during the surgery.
0ME0002371	With your current medical skill, there's no chance that Caesar would survive the surgery.
0ME0002391	With the duel concluded, your regular equipment has been returned to you.
0ME0002395	You successfully removed the tumor from Caesar's brain.
0ME0002399	What would you like to test?
0ME0002401	Nothing
0ME0002402	1 Legionary vs 1 Trooper behind cover
0ME0002403	Everything necessary to cook a meal is here at your disposal. As long as Philippe isn't there to stop you.
0ME0002404	(Survival of 75 or higher required to improvise a meal using no recipe.)
0ME0002405	(Intelligence of 6 or higher and a recipe required to cook following the recipe.)
0ME0002408	[Survival] Improvise a meal of imitation human flesh.
0ME0002409	[Intelligence] Cook imitation human flesh using recipe.
0ME0002410	These wines are set up to be taken by servers out to the banquet.
0ME0002411	(Medicine of 25 or higher and Med-X required to drug the wine.)
0ME0002414	[Medicine] Spike the wine with a sedative.
0ME0002419	Loyal's detonator begins to beep.
0ME0002421	Loyal's detonator stops beeping.
0ME0002435	"We're cut off from the rest of the platoon, and there are legionnaires all over the place. There's no chance we can get out of here before they blow the town, so we're going to hold out against them as along as we can. If anyone ever gets this, I'd like to make sure that Private Jeffery Hui and Corporal Marcus Christensen are commended for their valor and sacrifice. Both  have upheld the ideals and honor of the New California Republic with distinction. Ranger Teresa Lutz, out."
0ME0002437	Cook-Cook becomes frenzied at the death of his favorite brahmin.
0ME0002447	You lack a key or lockpicks to unlock the door.
0ME0002450	You lack the skill to unlock the door. [Lockpick 50]
0ME0002453	Opening this door will release highly radioactive barrels into Cottonwood Cove, potentially killing everyone in the camp.
0ME0002456	Open the door.
0ME0002457	A quick study of the body reveals that the thug is still alive, and merely pretending to be dead.
0ME0002459	The thug lies still, a victim of your recent fight. You could swear there's something odd about the corpse, but can't quite put your finger on it.
0ME0002460	(Medicine 30 or greater required)
0ME0002462	Leave the corpse alone.
0ME0002463	The thug appears dead, a victim of your recent fight.
0ME0002464	(Medicine 30 or higher required.)
0ME0002467	(Medicine) Examine the body closely.
0ME0002822	There is a pool of blood on the floor.[CRLF][Perception 6 required]
0ME0002826	Examine the stain.
0ME0002827	You examine the area and notice a bloody wrench and a toolbox nearby. Someone was killed here recently, and judging by the scene it was one of the engineers. You should keep an eye out for any engineers acting strangely.
0ME0002829	You examine the blood stain, but you don't notice anything else about it. You should keep an eye out for anything out of the ordinary.
0ME0002851	Loyal has died.
0ME0002853	It appears that some sort of pass phrase needs to be entered in order to open the nearby door.
0ME0002855	Leave the panel alone.
0ME0002856	"Dear old friends, remember Navarro."
0ME0002880	These supplies have been contaminated with radiation. If people were to use them, they would grow sick and eventually die. Scientifically-minded characters might be able to find a way to purify them, however.
0ME0002882	This Ranger was killed not too long ago. He looks to be the sniper that was stationed to watch from the top of this tower.
0ME0002912	Companion dismissal notifications sent.
0ME0002922	You've learned the Khan Trick special move. To use this technique, initiate a Power Attack while moving left or right: You will scoop up a handful of dirt and throw it in an enemy's face, momentarily distracting him.
0ME0002928	You cannot apply poisons to ranged weapons.
0ME0002930	Okay.
0ME0002933	Arcade has given you the Better Healing perk.
0ME0002935	Boone has given you the Spotter perk.
0ME0002937	Cass has given you the Whiskey Rose perk.
0ME0002939	ED-E has given you the Enhanced Sensors perk.
0ME0002941	Lily has given you the Stealth Girl perk.
0ME0002943	Raul has given you the Regular Maintenance perk.
0ME0002945	Rex has given you the Search and Mark perk.
0ME0002947	Veronica has given you the Scribe Assistant perk.
0ME0002949	You have lost Arcade's Better Healing perk.
0ME0002951	You have lost Boone's Spotter perk.
0ME0002953	You have lost Cass' Whiskey Rose perk.
0ME0002955	You have lost ED-E's Enhanced Sensors perk.
0ME0002957	You have lost Lily's Stealth Girl perk.
0ME0002959	You have lost Raul's Regular Maintenance perk.
0ME0002961	You have lost Rex's Search and Mark perk.
0ME0002963	You have lost Veronica's Scribe Assistant perk.
0ME0002965	You are looking at the Presidential Vertibird. This is a perfect place to put a bomb if you had one.
0ME0002967	You've learned the Legion Assault special move. To use this technique, initiate a Power Attack running forward at an enemy.
0ME0002969	This network access point can be monitored by the Followers of the Apocalypse with some adjustments to data routing protocols.
0ME0002970	[Science of 50 or greater required to monitor the Lucky 38's data network.]
0ME0002973	Monitor the Lucky 38 network.
0ME0002981	Bug the Lucky 38 Network.
0ME0002991	Raul has gained the Old Vaquero perk, which increases his rate of fire with revolvers and lever-action firearms by 33 percent.
0ME0002993	Raul has given you the Full Maintenance perk.
0ME0003009	You have lost Raul's Full Maintenance perk.
0ME0003011	Raul has given you the Full Maintenance perk (this replaces the Regular Maintenance perk).
0ME0003013	Cass has gained the Hand of Vengeance perk, giving her a bonus to damage with Guns.
0ME0003015	Cass has gained the Calm Heart perk, giving her a permanent Health bonus.
0ME0003017	You successfully extracted and defused the bomb.
0ME0003053	Compass marker updated.
0ME0003057	You'll need a shovel to dig here.
0ME0003065	Weapons and apparel with low Condition suffer from decreased Damage and Damage Threshold, respectively. There are two primary ways to repair low Condition equipment: self-repair and repair vendors.
0ME0003066	* Self-Repair: In your Pip-Boy, the Repair menu shows any equipment you currently have that can be used to repair the selected piece of equipment. Highlight the piece of equipment you would like to sacrifice to make the repair. The efficiency of your repair is affected by your character's Repair skill.
0ME0003067	* Repair Vendors: Some characters in the world have the ability to repair equipment in exchange for caps. Though they require no special gear to perform the repair, they are limited by their own skill. Extremely talented repair vendors may be able to restore a weapon or piece of apparel to almost perfect condition, but it may be expensive.
0ME0003068	Once a weapon is above 75% Condition or piece of apparel is above 50% Condition, it is functioning as well as it can. Repairs made above that Condition are simply maintaining the equipment to keep it at peak performance for a longer period of time.
0ME0003070	You examine the controls that activate the gun. You may be able to reactivate the gun and set it to shoot down the President's vertibird. (Science 50 or higher Required)
0ME0003072	Leave the controls alone.
0ME0003073	Activate the anti-aircraft gun.
0ME0003074	You examine the circuit board on the gun console. You may be able to short it out and cause the gun to explode during the speech. (Repair 50 or higher Required)
0ME0003076	Leave the circuit board alone.
0ME0003077	Short out the circuit board.
0ME0003078	You examine the controls for any signs of tampering, but you don't see anything unusual.
0ME0003080	You repair the gun controls and set the AA gun to attack any nearby aircraft.
0ME0003082	You take a look at the gun controls and realize you have no idea what you are doing. It's probably best to leave the controls alone.
0ME0003084	You've already rigged the control console. You leave it alone before you attract any unwanted attention.
0ME0003086	You cut a few solders on the circuit board and rewire it to slowly build up a charge that will cause the gun to explode sometime during the speech.
0ME0003088	As you start to work on the circuit board, a series of sparks shoots out. You stop before causing damage and attracting attention.
0ME0003090	This is private Watson's Helmet. If you had C4 and a detonator you could rig up a nice little surprise for the President. (Explosives 50 or higher Required)
0ME0003092	Leave the helmet alone.
0ME0003093	Hide C4 in the Helmet.
0ME0003094	You already rigged Watson's helmet with C4. You decide to leave it alone so you don't attract unwanted attention to it.
0ME0003096	You don't have any C4 to put in the helmet.
0ME0003098	You're not sure how to rig up the C4 in the helmet without it being noticed. You quickly put the helmet down before anyone sees you messing with it.
0ME0003100	You quickly cram a brick of C4 into Watson's helmet and rig it to your detonator. This will really blow their minds.
0ME0003104	Rex has gained the Blood of the Legion perk, making him harder to kill.
0ME0003106	Rex has gained the Faithful Protector perk, increasing his attack damage.
0ME0003108	Rex has gained the Unshakeable Tracker perk, increasing his movement speed.
0ME0003110	Fallout: New Vegas allows you to play in a new Hardcore mode that greatly increases the challenge of the game. In this mode, Stimpaks heal over time and cannot mend broken limbs, Rad-Away removes radiation over time, ammunition has weight, and dehydration is a constant concern. This mode is only recommended for advanced players.
0ME0003111	You may turn Hardcore mode on or off at any time in the Gameplay menu, but if you activate Hardcore mode now and maintain it through the end of the main storyline, you will receive a special reward. Would you like to activate Hardcore mode?
0ME0003113	No (Recommended)
0ME0003115	This sentry bot looks like it's seen some heavy fighting recently. You could probably get it running again if you knew a little more about machines.
0ME0003116	(Repair 40 required)
0ME0003118	This sentry bot looks like it's seen some heavy fighting recently. You could probably get it partially running again with a little work.
0ME0003121	[Repair] Fix the sentry bot.
0ME0003132	The note reads: "Your debt still remains unpaid. We have warned you twice. There will not be a third warning, only consequences. You have one day."
0ME0003134	Rex has died.
0ME0003136	Array salvaged.
0ME0003138	Using spare array components, you easily repair the damaged array.
0ME0003140	Reflector panels on this array are damaged.  You have no idea how to begin salvaging the array. (Repair 20 or higher Required)
0ME0003143	Reflector panels on this array are damaged.  You could salvage some of the array's parts. Would you like to salvage the array?  (Repair 20 or higher Required)
0ME0003146	Salvage the array.
0ME0003161	Welcome to Mojave Express!
0ME0003163	Close Box
0ME0003164	Pick Up Items
0ME0003165	Ship To New Vegas Strip
0ME0003166	Ship To Freeside
0ME0003167	Ship To Novac
0ME0003168	Ship To Primm
0ME0003169	Ship To Goodsprings
0ME0003170	You don't currently have any shipments awaiting delivery from this location.
0ME0003172	You have discovered a new Mojave Express Dropbox! You can now have items delivered to this location as well as deliver items from this location to other Mojave Express Dropboxes. Would you like to ship some items?
0ME0003182	Welcome to the Mojave Express!
0ME0003183	Mojave Express drop boxes, like this one, can be used to deliver items to any Mojave Express Dropbox that you've discovered. Once you find a Mojave Express Dropbox, just activate it and you will be able to use that location to send and receive items.
0ME0003185	You must discover a second Mojave Express Box before you can make any shipments.
0ME0003187	You've been prevented from leaving the Fort until you've carried out Caesar's will in the Securitron Vault.
0ME0003199	This woman is dead, would you like to inspect her to see if you can get more information? (Medicine 35 or higher Required)
0ME0003201	Leave The Body Alone
0ME0003202	Inspect The Body
0ME0003203	You take a look at the body but are unable to determine anything about the cause or nature of her death aside from the knife wounds.
0ME0003205	This girl appears to have been tortured for several hours and then murdered. Judging by the rate of livor mortis, you guess the body has been here for less than a day.
0ME0003207	This girl appears to have been tortured for several hours and then murdered. Judging by the rate of livor mortis, you guess the body has been here for 12 to 14 hours. The lack of hesitation wounds on the body as well as the old blood surrounding it implies that the murderer is experienced and has murdered in this way previously.
0ME0003209	Victor seems strangely oblivious to your presence. He doesn't respond to your attempt to speak with him.
0ME0003211	You do not have the required items to heal this patient.
0ME0003263	Lily will continue to take her medicine half as often as she is supposed to. She will still suffer psychotic breaks if her health reaches one quarter, but she will break off combat if you begin Sneaking.
0ME0003265	Lily will no longer take her medicine at all. She will suffer psychotic breaks if her health reaches one-half, but her combat abilities are significantly improved.
0ME0003267	Lily has suffered a psychotic break. She will remain in an aggressive state and will not respond to your commands until the break ends.
0ME0003273	This VR pod requires an access code to operate.
0ME1000001	The nearby Auto-Doc emits a number of disturbing noises as it operates.
0ME1000004	Disengage Auto-Doc operation.
0ME1000005	Your Pip-Boy has picked up a radio broadcast inviting you to the grand opening of the Sierra Madre Casino!
0ME1000007	This valve is in need of repair.
0ME1000008	(Repair 25 or higher required)
0ME1000010	Leave the valve alone.
0ME1000011	Change the flow of gas through the pipe.
0ME1000012	Your collar is emitting a high-pitched beeping noise.
0ME1000014	The collar has stopped beeping.
0ME1000016	Your collar is beeping faster.
0ME1000018	Explosive collar set to timer-based trigger.
0ME1000020	Explosive collar set to distance-based trigger.
0ME1000022	This emitter controls a Security Hologram in this area. You may be able to disable the emitter. [Repair 25 or higher required]
0ME1000024	Leave emitter alone.
0ME1000025	Disable emitter.
0ME1000026	Christine has given you the Signal Interference perk.
0ME1000027	This perk grants you a short period of time near a speaker before your bomb collar starts to activate as well as increasing the amount of time before your bomb collar detonates by 50%.
0ME1000029	Dean has given you the Unclean Living perk.
0ME1000030	This perk grants you a short period of time before taking damage inside a toxic cloud as well as reducing the amount of damage you take inside the toxic cloud by 25%.
0ME1000032	Dean has died.
0ME1000034	Dog has died.
0ME1000036	Dean has gone to the Villa Fountain.
0ME1000038	Dog has gone to the Villa Fountain.
0ME1000040	You have lost Christine's Signal Interference perk.
0ME1000042	You have lost Dean's Unclean Living perk.
0ME1000044	Christine has gone to the Villa Fountain.
0ME1000046	Christine has died.
0ME1000048	Your collar is emitting a slow, steady beeping.
0ME1000050	Your collar has stopped beeping.
0ME1000052	This unusual-looking Auto-Doc still has a series of diodes and buttons that appear to work.
0ME1000054	Leave the Auto-Doc alone.
0ME1000055	Heal all crippled limbs.
0ME1000056	Inject adrenaline to cure exhaustion.
0ME1000057	As you begin to open the door, you notice a tripwire on the other side of the door.
0ME1000059	Close the door.
0ME1000060	Disarm the Trap.
0ME1000061	This intercom appears to have failed over time. It will only allow one-way communication from another intercom.
0ME1000064	Elevator cannot be called down from The Vault.
0ME1000068	Veronica has received the Elijah's Last Words perk.
0ME1000069	She has learned a secret Melee Weapon technique that increases her attack speed by 150% and gives her a 25% chance to knock down enemies.
0ME1000070	She has learned a secret Melee Weapon and Unarmed technique that increases her damage by 25% and gives her a 25% chance to knock down enemies.
0ME1000071	You have received the Elijah's Ramblings perk.
0ME1000073	You have reached the jackpot limit, but feel free to explore the other services here at the Sierra Madre!
0ME1000075	You need three Electric Box Fuses to fix the circuit breaker.
0ME1000077	The circuit breaker is now in working condition.
0ME1000079	The circuit breaker looks to have been jury-rigged at some point in the past, but is currently in need of repair.
0ME1000081	Leave the circuit breaker alone.
0ME1000082	[Repair 60] Jury-rig the circuit breaker.
0ME1000083	[Items required] Fix the circuit breaker using parts.
0ME1000084	The door won't open. It doesn't look like there's any power running to it.
0ME1000086	After a few quick adjustments, the power comes back on.
0ME1000088	Your Repair skill is not high enough to fix the circuit breaker.
0ME1000090	Using the parts you've acquired, you are able to fix the circuit breaker and get power up and running again.
0ME1000092	Welcome, Miss. Keyes.
0ME1000093	Please, speak for voice-recognition access.
0ME1000095	Play the Starlet's voice from your Pip-Boy.
0ME1000096	Leave the Vault Elevator alone.
0ME1000097	The Vault Elevator unlocks its seals.
0ME1000098	The way down to the Sierra Madre's Vault is now open.
0ME1000100	The Sierra Madre Casino is currently closed. Once power is restored to the casino, it looks as if gambling will re-open as well - with Hologram dealers monitoring the tables and machines.
0ME1000102	The elevator descends to a small, cramped room filled with electrical controls. There's no room to move, and the air is filled with a high whirring noise from the machines not unlike an Auto-Doc saw.
0ME1000103	It appears the power can be manually controlled from this location - although it looks like manual operation was only intended for emergencies, and the terminal upstairs could do it via remote provided it was unlocked.
0ME1000104	This knowledge in hand, you take the elevator back up to the Switching Station.
0ME1000106	You decide it's best to leave Christine down in the manual override chamber.
0ME1000108	The panel next to the elevator has buttons to go either up or down.
0ME1000111	Push the Up button.
0ME1000112	Go up with Christine.
0ME1000113	Push the Down button.
0ME1000115	You don't have a Holotape that will play in this projector.
0ME1000117	Holotape Recorders can edit Holotapes.
0ME1000118	What would you like to do?
0ME1000120	Splice together the voice fragments "Let," and "Go," from Vera's recordings.
0ME1000121	Leave the Holotape Recorder alone.
0ME1000124	You are being poisoned by a toxic cloud.
0ME1000126	You are no longer being poisoned by a toxic cloud.
0ME1000128	Repair successful.
0ME1000130	Your Repair skill is not high enough.
0ME1000132	Dead Money has been loaded. Your level cap has been raised by 5.
0ME1000134	You have a complimentary gift waiting for you at the cashier.
0ME1000136	Holotape Projectors can play Holotapes.
0ME1000139	Play Dean Domino's Holotape of "I Saw Her Yesterday."
0ME1000140	Leave the Holotape Projector alone.
0ME1000141	A key slides out of Vera's Partitures.
0ME1000143	Please redeem your voucher for a complimentary gift at any vending machine.
0ME1000145	You see a complicated diagram but don't understand what it means.
0ME1000146	(Intelligence 7 or higher required)
0ME1000148	This emitter controls a Security Hologram in this area. You may be able to disable the emitter. [Repair 50 or higher required]
0ME1000152	This emitter controls a Security Hologram in this area. You may be able to disable the emitter. [Repair 75 or higher required]
0ME1000156	This emitter controls a Security Hologram in this area. You may be able to disable the emitter. [Repair 100 required]
0ME1000160	You don't have the skill to do that.
0ME1000162	This terminal is broken.
0ME1000166	You were able to repair the valve, but lack the skill to properly reinforce it from damage.
0ME1000168	Repair and reinforcement successful.
0ME1000173	Repair the valve.
0ME1000174	The remaining valves must be repaired before Dog's collar explodes, igniting the gas.
0ME1000176	This door is hermetically sealed due to the gas leak. You won't be able to open it from the inside until you've shut off the gas valves and dealt with Dog.
0ME1000178	Dean is protecting you from a toxic cloud.
0ME1000180	The Vault's elevator is locked.
0ME1000182	This device is a voice-recognition security system that protects access to the Sierra Madre's Vault.
0ME1000183	Unlocking it requires to speak at the microphone with the proper voice.
0ME1000185	You play Vera's Holotapes, who sings "Begin again... Let go."
0ME1000189	You found Dean's secret stash!
0ME1000191	The Vault's elevator remains sealed.
0ME1000192	You did not get the voice-coded password correctly.
0ME1000194	You have disabled the emitter.
0ME1000196	The switches have become corroded and will require great strength to move.
0ME1000198	This diagram shows the order in which the switches must be toggled to reroute power to various areas of the town, including the Bell Tower.
0ME1000200	This Vending Machine is broken. With your ability to repair objects, you may be able to fix the machine.
0ME1000203	Repair the Vending Machine.
0ME1000204	You have fixed the Vending Machine.
0ME1000206	You lack the Repair skill needed to fix the Vending Machine. (Repair 50 or higher required)
0ME1000208	Christine's counter-frequency is temporarily blocking the Speaker.
0ME1000210	This door is hermetically sealed due to the gas leak. If you override the door's lock, you won't be able to open it from the inside until you've shut off the gas valves and dealt with Dog. (Emergency Maintenance Key Required)
0ME1000213	Use Emergency Maintenance Key to enter the Kitchen.
0ME1000214	Dead Money takes you to an extremely dangerous area of the Mojave Wasteland, a one-way journey until your business at the Sierra Madre is finished.
0ME1000215	In Normal Mode, you'll encounter new traps, enemies, and new companions whose lives are tied to yours. In Hardcore Mode, you'll be fighting the environment as well, a toxic city that erodes health over time. Companions are more vulnerable, and so are you.
0ME1000216	Dead Money is recommended for experienced Couriers (Level 20+). If up to the challenge, continue on. The Sierra Madre Grand Opening awaits... and has been for 200 years.
0ME1000218	Stay in the Mojave Wasteland.
0ME1000219	Seek out the radio signal in the Bunker.
0ME1000222	Christine activated scanning detonation frequency.
0ME1000224	Christine activated proximity detonation frequency.
0ME1000228	This door is hermetically sealed due to the gas leak and Elijah's override. It will not open until the valves are shut off and Dog is dealt with.
0ME1000231	<Use maintenance pass key to open the door>
0ME1000232	<Use maintenance pass key to open the door.>
0ME1000233	This door will not open until the gas valves have been repaired.
0ME1000234	This door is hermetically sealed due to the gas leak in the Casa Madrid kitchen. While a maintenance key can override the lock, it will not open from the inside unless the gas valves are shut off. (Maintenance Pass Key Required)
0ME1000238	Dog has devoured a fallen enemy.
0ME1000240	The elevator appears to have been locked down by security. Perhaps Christine is involved.
0ME1000243	You hear a loud noise coming from the room to the west. It sounds as if the ventilation systems are firing up, clearing the Cloud out of the Switching Station basement and sections of Puesta del Sol's streets.
0ME1000245	This path leads from the Sierra Madre back to the Mojave Wasteland. You are certain you'll never be able to get back here. Are you sure you want to leave?
0ME1000247	Stay at the Sierra Madre.
0ME1000248	Return to the Mojave Wasteland.
0ME1000254	[Download Medical History]
0ME1000255	This door is hermetically sealed due to a structural collapse contaminating the air. It will need to be opened elsewhere.
0ME1000258	This door is hermetically sealed due to a gas leak in the kitchen contaminating the air. The gas will need to be shut off in order for it to open.
0ME1000261	On quick glance, the diagram seems to have something to do with the switches immediately to the right of it.
0ME1000262	(Intelligence 7)
0ME1000264	Ignore the diagram.
0ME1000265	Study the diagram.
0ME1000266	This intercom is broken.
0ME1000268	The terminal doesn't respond. Something is preventing its standard functions.
0ME1000270	There appears to be residue collecting in the Chemistry Set. With the proper knowledge, you may be able to collect a sample of it.
0ME1000274	Collect residue sample.
0ME1000275	This is an unusual-looking crafting station. As you approach, lines of tiny holographic items appear on the dispensing tray - wireframe schematics and lists of consumables the machine can assemble and package for the consumer. There is a slot on the side with a Sierra Madre symbol. The slot does not look part of the original design.
0ME1000277	Proximity Scan Warning!
0ME1000279	Wideband Scan Warning!
0ME1000281	This generator powers turret defenses in the vault.
0ME1000282	Inscribed in its side, you can read:
0ME1000283	"Turret Defense Generator B."
0ME1000284	You are not able to smash the generator. [Melee Weapons, or Unarmed, 50 or higher required]
0ME1000289	You may be able to smash the generator. [Melee Weapons 50 or higher required]
0ME1000292	Smash the generator.
0ME1000296	You may be able to smash the generator. [Unarmed 50 or higher required]
0ME1000300	Christine has taught you the Coin Operator Perk, allowing you to make Sierra Madre "Chips" (metal slugs) at Workbenches using Fission Batteries and Scrap Metal.
0ME1000302	Dog has taught you the Ghost Hunter Perk, allowing you to kill Ghost People so they stay dead, dead.
0ME1000304	Dean has taught you the Sierra Madre Martini "Perk," allowing you to mix Cloud Residue and Junk Food in a Tin Can at a Campfire or Electric Hot Plate for a surprisingly strong, restorative, and disgusting drink.
0ME1000306	God has given you the In my Footsteps perk.
0ME1000307	This perk grants you a bonus to Stealth as well as the ability to step lightly around placed traps.
0ME1000309	You have lost God's In my Footsteps perk.
0ME1000311	This gate leads directly to the Sierra Madre Casino. Once inside, you may not be able to return to the Villa. Do you wish to proceed?
0ME1000313	Stay in the Villa.
0ME1000314	Proceed to the Sierra Madre Casino.
0ME1000317	Dog has given you the benefit of his Ravenous Hunger.
0ME1000318	Ghost People are difficult to kill unless dismembered or disintegrated. If Dog is in the party, however, Dog will devour them, preventing them from getting back up.
0ME1000320	You have lost the benefit of Dog's Ravenous Hunger.
0ME2000001	Your Pip-Boy has picked up a radio broadcast from the Happy Trails Caravan Company. They're looking for one more member for an expedition to Zion Valley.
0ME2000003	Honest Hearts has been loaded. Your level cap has been raised by 5.
0ME2000005	Follows-Chalk has returned to the Dead Horses camp.
0ME2000007	Follows-Chalk has given you the Well-Stacked Cairns perk.
0ME2000009	You have lost Follows-Chalk's Well-Stacked Cairns perk.
0ME2000011	Waking Cloud has returned to the Sorrows camp.
0ME2000013	You have lost Waking Cloud's Quiet as the Waters perk.
0ME2000015	Waking Cloud has given you the Quiet as the Waters perk.
0ME2000017	Without a map or a guide, you have no hope of finding your way back to the Mojave Wasteland.
0ME2000019	You have found the lost Mountain Bighorner Calf.  It looks hungry, feed it a Banana Yucca Fruit?
0ME2000022	Feed it a Banana Yucca Fruit.
0ME2000023	Return the Mountain Bighorner Calf?
0ME2000025	Keep the Calf
0ME2000026	Return the Calf
0ME2000027	This compass is broken, but can possibly be restored to a fully functioning state.
0ME2000028	[Repair of 30 or greater required.]
0ME2000031	Repair the compass.
0ME2000032	Repair with parts.
0ME2000033	Take the broken compass with you.
0ME2000034	This walkie-talkie is broken, but can possibly be restored to a fully functioning state.
0ME2000038	Repair the walkie-talkie.
0ME2000040	Take the broken walkie-talkie with you.
0ME2000041	By replacing this compass's burned-out sensor module rather than bypassing it, you can make the repair process much easier.
0ME2000042	[Requires one Compass Sensor Module.]
0ME2000046	Repair without parts.
0ME2000047	The electronics in this walkie-talkie are badly damaged. If you replace them, the process will be much simpler. Requires one pile of Scrap Electronics.
0ME2000052	You don't have time to examine this object in the heat of battle.
0ME2000054	Would you like to craft or sleep?
0ME2000056	Craft
0ME2000057	Sleep
0ME2000058	If you don't have the parts or the skills to make repairs in the field, you can take the broken compass to a workbench and fix it there.
0ME2000060	The Weapon Binding Ritual fades from your mind.
0ME2000062	You have sacrificed a portion of your life's blood to become one with your weapon.
0ME2000063	Your eyes will be keen, your limbs will not break, and your claws will strike like thunder.
0ME2000064	Fight only with your hands or the weapons of your hands to know this glory in combat.
0ME2000066	This generator powers the electric charge of its connected door.
0ME2000067	You are not able to smash the generator.
0ME2000068	[Melee Weapons, or Unarmed, 50 or higher required]
0ME2000071	You may be able to smash the generator.
0ME2000072	[Unarmed 50 or higher required]
0ME2000078	[Melee Weapons 50 or higher required]
0ME2000082	This wiring is rigged to discharge electricity through the door.
0ME2000083	You are not able to disarm the wiring.
0ME2000084	[Repair 50 or higher required]
0ME2000087	You may be able to disarm the wiring.
0ME2000090	Leave the electric wiring alone.
0ME2000091	Disarm the electric wiring.
0ME2000092	You've killed Jed Masterson! Without his maps and mountaineering expertise, you'll never make it to Zion!
0ME2000093	(Killing Jed has rendered the Honest Hearts DLC inacessible. Please reload your last save if you wish to play Honest Hearts.)
0ME2000095	< Something in Waking Cloud changes and she fights White Legs harder now. >
0ME2000097	Your senses are already heightened by this grand vista.
0ME2000099	Well-Stacked Cairns perk activated by Zion summit. Adding Heightened Senses (+3 PER).
0ME2000107	You found the key to the locked cabinet in the Zion Fishing Lodge!
0ME2000109	You found the key to the locked desk in the Zion General Store!
0ME2000111	You found the key to the door in Morning Glory Cave!
0ME2000113	This medical supply kit is mostly intact, but several of the sterile bandages have been broken open and the disinfectant bottle is leaking. You can try to salvage what's there, or you can find replacements for the contaminated components. Alternately, you can use alcohol to re-sterilize the bandages.
0ME2000114	[Medicine 30 or greater required.]
0ME2000117	Salvage the Medical supply kit.
0ME2000118	Replace the contaminated components.
0ME2000119	Sterilize the kit with alcohol.
0ME2000120	Take the incomplete medical kit with you.
0ME2000121	By finding replacements for the contaminated components of the kit, you can get it up to working order much more easily.
0ME2000122	[Requires one Duct Tape and one Turpentine]
0ME2000125	Replace components.
0ME2000127	Salvage without replacements.
0ME2000129	With some high-proof alcohol, you could sterilize the kit rather than replace components.
0ME2000130	[Requires one Scotch, one Vodka, or one Whiskey.]
0ME2000137	If you don't have the parts or the skills to make repairs in the field, you can take the contaminated medical supply kit to a campfire and salvage it there.
0ME2000139	Joshua Graham has given you the Way of the Canaanite perk.
0ME2000140	While Joshua Graham is in your party, any .45 caliber auto pistol you use has less spread and is twice as likely to score critical hits.
0ME2000142	Joshua Graham has left your company.
