0NO0000001	이름 : 페이서 
0NO0001575	[CRLF]-잭
0NO0001576	보내는 이: 돕슨 오길
0NO0001577	받는 이: 잭 메이너드
0NO0001578	제목: Re: 씨발 이게 뭐야?
0NO0001579	[CRLF]너 쳐돌았냐? 회사에서 이메일을 감시 안 할 거 같아? 나한테 이딴 위험한 메일 보내지 마!
0NO0001580	[CRLF]-돕
0NO0001583	제목: 보안 시스템 변경 관련 긴급 메시지
0NO0001584	[CRLF]안녕하세요, H&H 동료 직원 여러분 !
0NO0001585	[CRLF]사장님께서 우리 회사의 새로운 보안 시스템에 대한 세부 내용을 보내주셨습니다. 매우 중요하니 꼭 읽어주시고 내용을 이해했다는 확인 메일을 보내주세요!
0NO0001586	[CRLF]1) 자동 중화기 포탑들이 사무실 두 곳과 중앙 작업통로, 그리고 사장실 밖에 설치됐습니다. 꼭! 신원확인용 ID 카드를 항시 소지해주세요. 아니면 포탑들한테 공격 받을 수 있습니다. 중화기 포탑에 벌집이 되고 싶진 않으시죠? :-) 포탑이 직원 여러분의 신원을 확인했다는 '딸깍'소리가 나기 전까지는 갑작스럽게 움직이지 마세요. 소리가 나면 움직이셔도 안전합니다!
0NO0001587	[CRLF]2) 직원 여러분들은 매달 첫번째 월급날에 다음 중 한 가지를 의무적으로 제출해주셔야 합니다: 혈액샘플, 손톱 깎은 것 20개 (발톱이든 손톱이든 상관없지만 둘을 *섞어서* 제출하지는 마세요), 머리 한 다발 또는 피부 샘플 5 제곱센티미터. 이 샘플들은 관찰 및 감시용입니다.
0NO0001588	[CRLF]3) 어느 직원이든 다음에 해당하는 그룹과 동거, 공모, 모의를 하는 경우엔 즉각 퇴사당하게 됩니다: 외부인, 석공, 목수, 트래직 플레이어, 불법체류자, 외계인 또는 플랜더스인.
0NO0001589	[CRLF]4) 혹시 홀에서 사장님을 보게 되더라도 절대 눈을 마주치지 마세요. H님과 눈을 마주치면 그 분의 정신력을 훔치려는 행동으로 간주하고 즉시 해고조치 하겠습니다. 네, 사장님께서 특수 모자를 쓰고 있더라도 안 됩니다.
0NO0001590	[CRLF]보안 시스템 설명에 시간 내주셔서 감사드립니다. 이제, 서부에서 최고로 끝내주는 제품을 만들러 갑시다![CRLF]
0NO0001592	H&H 툴즈 인사부
0NO0001593	세월이 흐를수록 아버지의 조언이 더욱 더 그리워진다. 내가 내린 결정들을 아버지가 자랑스러워 하셨을까 궁금해질 때도 있다. 안 돼, 이런 생각들은 해봤자 도움이 안 된다. 나는 과거에 얽매이지 않을 것이며, 해묵은 옛 가족사에 에너지를 허비하지도 않을 거다. 더욱이 진짜 가족이라 말할 수도 없으니까.
0NO0001594	헨더슨을 더 이상 못 믿겠다. 아무래도 그 녀석이 내 사악한 이복 형제와 작당해서 내 회사를 넘보는 것 같다. 이 회사를 만든 건 나란 말이야, 제길! 그 잘난 학위랑 로봇들 좀 있다고 그런 풋내기 대학생 놈이 나를 회사에서 내쫓을 순 없지. 신디-루로 하여금 놈이 수상쩍은 짓을 하지 않는지 이메일을 감시하게 했다.
0NO0001595	걱정했던 것보다 훨씬 심각하다. 헨더슨은 기계화 및 자동화의 이점에 대한 메모를 보냈다. 내 이복 형제랑 작당하는 걸 내가 모를 줄 알고! 처음 그 녀석을 봤을 때부터 쪼잔한 배신자 놈일 줄 알고 있었다. 이제 한 가지만 하면 된다. 그러면 내 회사, 아버지의 유산은 영원히 안전할 거다. 신디-루가 녀석을 내게 보내면 당장 본보기로 삼을 거다. 하우스에게 대적하는 게 얼마나 멍청한 짓인지 깨닫게 해주마.
0NO0001596	마츠모토는 오늘 남들 보는 앞에서 나를 마치 갓난아이 돌보는 양 걱정하는 척 했다! 계속 내게 괜찮으냐고 물었지만 나는 그놈의 거짓 된 미소 뒤에서 거짓이 분수처럼 뿜어져 나오고 있다는 걸 알고 있지. 그놈은 알고 있다. 틀림 없이 알고 있을 거야. 내 친애하는 형제랑 또 내통을 하셨나? 신디-루에게 이야기 해야겠다. 그녀는 뭘 해야 하는지 항상 알고 있지.
0NO0001597	이제 머리는 자르지 않겠다. 놈들이 눈빛을 통해 내 정신력을 훔쳐가는 데 쓰일 수도 있으니까. 하지만 나한텐 그걸 막을 수 있는 특수 모자가 있지. 특수 모자에다 특수 산탄총까지 있다고.
0NO0001598	[CRLF]아버지, 왜 더 이상 저한테 말씀 안 하시는 겁니까? 항상 그놈만 이뻐하셨죠, 안 그래요?
0NO0001599	그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 그럼에도 불구하고 
0NO0001600	이제는 신디-루도 더 이상은 날 지켜주지 못한다.
0NO0001601	모두 내게 등을 돌렸지, 안 그래? 신디-루가 맞았어. 달리 방법이 없었다. 신께서 내가 한 일을 용서해주시길. 내 모든 직원들, 내가 믿었던 친구들...
0NO0001602	[CRLF]내가 틀린 건가? 내가 미친 건가? 나는 만약의 경우를 대비해 이 일지를 사무실 곳곳의 단말기에 분산시켜 놓았다. 날 쉽게 처리하진 못할 거다.
0NO0001603	[CRLF]이 글을 마치는 대로 보안 시스템을 가동시킬 것이다. 이 글을 읽고 있는 당신이 미국인이라면, 미국 만세다! 이 글을 읽고 있는 게 내 이복 형제라면, 지옥에서 보자!
0NO0001604	[CRLF]-알렉산더 하우스
0NO0001607	제목: 회사 방침 변경
0NO0001608	[CRLF]현 시간 부로 회사 방침이 다음과 같이 변경됩니다:
0NO0001609	[CRLF]1) 사무실은 물론이고 공장 내부에도 카메라 반입이 금지됩니다.
0NO0001610	[CRLF]2) 이제 휴게실에 직원이 동시에 3명 넘게 있어선 안됩니다.
0NO0001611	[CRLF]3) 경영진의 의사를 반영해서 모든 화장실을 폐쇄합니다. 직원 여러분들은 근무 시간 전이나 이후에 생리적 배설 현상을 처리하십시오.
0NO0001612	[CRLF]변경된 방침과 관련한 질문이 있을 경우, 인사부로 이메일을 보내주세요. 감사합니다.[CRLF]
0NO0001617	보내는 이: 제니퍼 로슨
0NO0001619	[CRLF]안녕 비니! 어젯밤은 정말 즐거웠어요! 얼마나 즐거웠는지 시간 가는 줄을 몰랐네요. 빠른 시일 내에 또 만나요. 다음번엔 저녁뿐 아니라 다음날 아침도 같이 먹는 게 어떨까요?[CRLF]
0NO0001621	XOXOXO[CRLF]젠
0NO0001622	보내는 이: 빈센트 밴밀러
0NO0001623	받는 이: 윌리엄 메이슨
0NO0001624	[CRLF]이봐 친구, 조언 정말 고마워. 어제 저녁 식사는 끝내줬어. 네가 날 설득하지 않았더라면 그녀에게 이야기할 엄두도 못 냈을 거야. 큰 신세 졌구만. 요새 물 공급 문제로 골머리 썩고 있는 것 같던데, 머리 좀 식히고 싶으면 연락하라고. 
0NO0001626	빈
0NO0001630	[CRLF]몇 주전에 발생한 누수 사고가 우리가 생각했던 것보다 더 심각한 상태라는 것을 알려드리게 되어 유감입니다. 우린 파이프를 굽힘으로써 새는 지점을 고립시켜 압력을 줄이고, 누수로 인해 다른 장치들이 고장나지 않도록 막으려 합니다.
0NO0001631	[CRLF]안타깝게도, 그로 인해 물 배급이 시작될 예정입니다. 영향을 받는 곳에 거주하시는 분들께는 매우 죄송합니다. 가능한 한 빨리 문제를 해결하기 위해 노력하겠습니다.
0NO0001633	빈센트
0NO0001635	받는 이: 제니퍼 로슨
0NO0001636	[CRLF]안녕, 제니! 당신과 얘기할 수 있어서 정말 좋았어요. 일이 잘 풀린다니 정말 기쁘네요. 다음 주에 저녁이나 같이 할까 하는데 어떠세요? 우리가 자주 얘기하던 사이는 아니지만, 어젯밤 우리 사이에 뭔가 불꽃이 튄 것 같았거든요. 당신도 같은 생각이면 좋겠네요.
0NO0001637	[CRLF]하루라도 빨리 당신을 만나길 기다리며,
0NO0001639	[실패] 네트워크에 숨겨진 파일이 있는 것 같다. 하지만 해킹하기엔 기술이 부족하다.
0NO0001640	[성공] 단말기 내부에 암호화되어 숨겨져 있던 파일에 접근하는 데 성공했다. 어떤 일지의 한 부분인 것 같다.
0NO0001641	미사일 발사기 7대
0NO0001642	미사일 200개
0NO0001643	[CRLF]최대한 빨리 만들어야 해. 후버 댐 상황이 말이 아니거든.
0NO0001644	로버트 윌슨이란 크림슨 캐러밴 경호원 한 놈이 판매로봇에 총을 쏴 제끼는 게 재미있다고 생각했나봐. 그 병신 같은 대갈통에 308 구경 탄환을 안 쳐맞은 걸 다행으로 알아야 할걸.
0NO0001645	[CRLF]지금 우린 맥래퍼티와 배상금에 대한 협상을 하고 있어. 그동안 판매로봇을 크림슨 캐러밴 녀석들만 걸러내게 설정 좀 해 놔. 맥캐런에 연락해서 한동안 크림슨 캐러밴에서 탄약 못 사게 만들고.
0NO0001646	아니, 진심 언제까지 판매로봇을 "판매로봇"이라고 부를 거야? 제대로 된 이름 좀 지어주자고. 밥 같은 이름 말이야(그렇다고 밥이라고 부르자는 건 아니고). 주말에 투표할 거니까, 제발 제발 제발 참신한 아이디어 좀 내놔봐.
0NO0001647	도와주세요!
0NO0001648	[CRLF]어쩌다가 내 사무실 안에 갇혔는데 열쇠를 못 찾겠어요.
0NO0001649	[CRLF]경찰 좀 불러주세요!
0NO0001650	존스,
0NO0001651	[CRLF]네가 좋아하는 빨강 머리를 이동시켰어. 이제 항상 그녀 옆에 앉을 수 있게 됐으니, 그녀를 네 침대로 끌어들이지 못 했다고 칭얼대지 마. 아, 그리고 너 이번 일로 나한테 크게 빚진 거다. 필요한 게 생기면 말할게.
0NO0001652	공지사항:
0NO0001653	[CRLF]전 인원은 초소를 떠나기 전 반드시 자신의 단말기를 제대로 단속하도록. 지난 주에 크렌쇼 이병 때문에 있었던 사건이 다시는 일어나지 않도록 해야 한다.
0NO0001654	잘 지내냐, 존스? 나 크렌쇼야. 하, 너 그 예쁜 빨강 머리한테 꽂혔구나. 걱정 마, 그 애한테 네 방귀 냄새에 대해 자세히 말해줄게. 친구 좋다는 게 뭐냐 임마.
0NO0001655	[CRLF]추신: 단말기 단속 제대로 안 하네. 다음엔 비밀번호 좋은 걸로 바꿔라.
0NO0001657	간식거리나 고기를 파는 곳이 몇 군데 있지. 먼저 피츠에게 가봐. 다른 상인 몇 명이랑 함께 작은 가게에서 장사하고 있으니까. 프림의 루비 내쉬도 괜찮은 물건을 팔고 있어. 마지막으로 크림슨 캐러밴도 우리에게 있어 좋은 식량 공급선이 될 수 있을 거야. 가능하다면 그들에게 우리 잉여 물자도 팔아보도록 하고. 비용은 최대한 줄이는 게 좋으니까.
0NO0001659	50 사냥용 소총
0NO0001660	-28 사용 중
0NO0001661	-10 수리 중
0NO0001662	-8 보관 중*
0NO0001663	[CRLF]50 돌격 소총
0NO0001664	-25 사용 중
0NO0001665	-6 수리 중
0NO0001666	-12 보관 중*
0NO0001667	[CRLF]20 전투 소총
0NO0001668	-10 사용 중
0NO0001669	-2 수리 중
0NO0001670	-5 보관 중*
0NO0001671	[CRLF]*건 러너 무기 적하량을 늘리고 이전 합계에 맞도록 적하 목록을 수정하자. 보이드가 날 의심하기 시작했어.
0NO0001672	이것은 로즈의 황무지 오믈렛 레시피다.
0NO0001673	묵시록의 추종자가 럭키 38과 그 주인인 미스터 하우스에 대한 정보를 얻어줄 것을 부탁했다. 그들에게 받은 해킹 장치를 럭키 38의 데이터 네트워크에 접근할 수 있는 접속 포인트에 설치하자. 미스터 하우스는 건물의 펜트하우스에 있을 것이다.
0NO0001674	이 계약서에 따라 크림슨 캐러밴 상회와 반 그라프는 건 러너나 캐시디 캐러밴과 같은 지역 내 모든 경쟁 캐러밴 상회를 약화시키거나 제거하기로 동의한다.
0NO0001675	[CRLF]캐시디 캐러밴의 경우, 글로리아 반 그라프가 용병을 고용해 캐시디 캐러밴의 가치를 낮추어 앨리스 맥래퍼티가 그 지분을 더 저렴한 가격에 구매할 수 있도록 한다.
0NO0001676	보내는 이: 링컨 데이비스
0NO0001677	받는 이: 거주민 전원
0NO0001678	[CRLF]안녕하십니까 여러분,
0NO0001679	[CRLF]빈센트가 보낸 메시지를 통해 이미 알고 계시겠지만, 상수관 누수 문제가 고쳐질 때까진 물 배급제를 시행할 예정입니다. 불행히도 현재로선 누수의 원인이 되는 부분을 고치는 데 필요한 부품이 없는 상태입니다. 즉, 우리에게 필요한 부품을 찾으러 볼트 바깥으로 나가는 것밖에 방법이 없다는 소리입니다.
0NO0001680	[CRLF]이 문제를 해결하기 위해 외부 문명과의 교류를 추진할 위원회를 구성해주실 분이 계십니다. 바로 미셸 댈리언 씨입니다. 미셸 씨와 저는 바깥 세상에서 우리가 필요한 부품을 구하는 것은 물론, 바깥 세상의 사람들과 지속적인 친선 관계를 맺을 수 있을 것이라고 기대하고 있습니다.
0NO0001682	오버시어 데이비스
0NO0001684	받는 이: 미셸 댈리언
0NO0001685	[CRLF]미셸,
0NO0001686	[CRLF]외부 교류 위원회를 맡아줘서 다시 한번 고마워. 당신이 우리와 우리의 이익을 잘 대변해 줄 거라고 믿어. 혹시 필요한 게 있으면 연락해줘.
0NO0001687	[CRLF]-링크
0NO0001688	보내는 이: 조지 스털트
0NO0001689	받는 이: 링컨 데이비스
0NO0001690	[CRLF]링컨 씨, 
0NO0001691	[CRLF]지난 밤 거주민 회의에서 절 지지해주신 것 감사드립니다. 사람들의 신망이 두터운 링컨 씨가 도와주시니, 제가 링컨 씨 뒤를 이어 "큰 의자"에 앉게 될 가능성이 크게 늘었습니다. 아시다시피 미셸이 외부 교류 위원회를 조직하니 고립주의자들도 지지자들을 모으기 시작했더군요. 제가 당신 뒤를 이어 오버시어가 된다면 고립주의자들도 별 힘을 쓰지 못할 겁니다.
0NO0001692	[CRLF]다시 한번 감사합니다.[CRLF]
0NO0001694	보내는 이: 로라 로빈슨
0NO0001695	받는 이: 다니엘 라티
0NO0001696	[CRLF]저기요, 라티 선생님.
0NO0001697	[CRLF]제 비교 문학 시험지 좀 봐주시겠어요? 아무래도 이건 뭔가 잘못된 거 같아요! 과제도 전부 했는데 담임 선생님이 D를 줬다구요! 그렇게 열심히 했는데, 이게 뭔가요. 물론 제 성적을 주는 건 담임 선생님 마음이지만, 그래도 저는 B 밑으로 성적을 받아본 적이 없어요. 단 한번도! 그래서 그런데 제 시험지를 한번만 봐주시면 안되나요? 라티 선생님이 보기에도 D 받을 만하다 싶으시면 순순히 인정할게요.
0NO0001698	감사합니다. 로라
0NO0001699	보내는 이: 다니엘 라티
0NO0001700	받는 이: *학부모 전원*
0NO0001701	학부모 여러분,
0NO0001702	[CRLF]이번 학기를 미처 끝마치지 못하게 될 것이라는 소식을 전하게 되어 마음이 아픕니다. 제가 별도로 상영실에서 개인 교습을 진행하긴 하겠지만 공식적인 것은 아니며, 참여하지 않아도 상관 없습니다. 
0NO0001703	[CRLF]미셸에게 부탁해 우리 교사들과 학생들을 받아줄 학교가 주변 지역에 있는지 알아보고 있습니다. 주변 학교들의 도움과 빠른 복구 작업만 있다면, 이 예상치 못한 휴교 상태는 그리 오래 지속되지 않을 것입니다.
0NO0001705	다니엘 라티
0NO0001707	받는 이: *학생 전원*
0NO0001709	[CRLF]우리 학교가 무기한으로 닫히게 될 거라는 건 이미 다들 아실 겁니다. 학생 여러분이 공부를 계속할 수 있도록 각 학급의 선생님들이 학생 전원에게 갱신된 독서 목록과 워크북을 제공할 겁니다. 모처럼의 자유 시간을 이용하여 공부에 전념해 주셨으면 합니다.
0NO0001712	보내는 이: 미셸 댈리언
0NO0001713	받는 이: 사라 킴퍼
0NO0001714	[CRLF]사라. 이번에 외부로 나갈 위원회에 참여하는 거 한번 더 생각해 봤는지 물어보려고요. 이번에도 사라랑 함께 일했으면 좋을 것 같아서요. 당신은 우리 위원회에 꼭 필요한 사람이에요. 바깥 세상의 사람들을 상대할 때 당신처럼 사람 보는 눈이 예리한 사람이 있어야 하니까요.[CRLF]
0NO0001717	받는 이: *거주민 전원*
0NO0001718	[CRLF]안녕하세요, 여러분.
0NO0001719	[CRLF]외부 교류 위원회에 자원해 주실 분을 찾습니다. 핵심 인력은 모두 충원했지만, 보조 인원이 있다면 더욱 좋으니까요. 자격 불문하고 지원을 환영하며, 굳이 시간 내주시는 만큼 가능한 많이 뽑을 계획입니다. 연락 주시면 바로 지원 서류를 보내드리겠습니다.
0NO0001723	받는 이: *외부 교류 위원회 자원자 전원*
0NO0001724	안녕하세요! 이번 임무에 도움을 주셔서 다시 한번 감사 드립니다. 사라와 저는 여러분 역할에 맞는 팀을 짜드릴 예정입니다. 팀들은 각각 거래 담당, 물자 담당, 외교 담당 등의 부서들로 이루어질 것입니다. 그리고 많은 분들이 저희가 안전 담당 부서를 두지 않는 것에 대해 의아하게 생각하고 계신 걸로 알고 있습니다. 조지와 긴 시간 동안 토의한 결과, 저희는 외부 문명에게 호전적으로 다가가지 않는 것이 좋겠다고 결론 내렸습니다. 우리가 무해하며 그들과 다르지 않다는 것을 바깥 사람들이 깨닫게 되는 순간, 우리는 그들과 확고하고 항구적인 관계를 만들 수 있게 되리라고 저는 확신합니다. 꽉 움켜쥔 주먹보다는 열린 손으로 그들에게 다가가자는 것이죠.[CRLF]
0NO0001725	감사합니다!
0NO0001727	보내는 이: 마이클 로빈슨
0NO0001729	[CRLF]믿을 수가 없군. 바깥 세상이 평화롭고 우리를 환영할 것이라는 황당한 생각을 갖고 일을 추진하다니. 우린 저 밖에 뭐가 있는지 아무것도 몰라. 어떻게 변했는지도 모르고. 적어도 일단은 우리가 필요한 부품을 구할 때까지만 문을 개방하기를 강력히 주장하는 바야. 사람들이 무작위로 볼트에 들락날락할 수 있게 만들면 문제만 생길 거라고.
0NO0001730	[CRLF]- 마이크
0NO0001733	[CRLF]미셸, 제발 다시 생각해줘. 나갈 땐 나가더라도 무기는 꼭 챙겨서 나가야 해. 무장이 필요하다고. 그대로 나간다면 모두에게 재앙을 이끌고 오게 될 거야.
0NO0001736	받는 이: 수신자 비공개
0NO0001737	[CRLF]자네들 모두 포기하겠다는 소리를 들으니 정말 유감이군. 이 계획의 커다란 문제점을 제대로 보는 사람은 결국 나 뿐이란 말인가? 난 바깥 세상이 여전히 사람 살 곳이 아닐 거라고 확신해. 네바다는 핵전쟁이 일어나기 전에도 사막이었어. 지금은 얼마나 더 사람 살기 척박해졌을지 상상조차 안 가네. 자네들은 겁쟁이들이야. 그리고 자네들의 비겁함은 곧 우리의 죽음으로 이어질 걸세. 
0NO0001741	[CRLF]그래, 미셸, 내가 틀렸어. 바깥 세상은 내가 생각하던 만큼은 위험하진 않더군. "내가 생각하던 만큼"은. 그렇다고 안전하다는 얘기는 아니야. 운 좋게 바깥 사람들과 물건 거래를 하게 된 덕에 조만간 본격적으로 외부와 접촉하게 될 것 같더군. 이 시점에서 잠깐만 문을 닫아 놓고, 경비병도 좀 배치하자고. 현명하게 생각해. 밖에 요상한 모자 쓴 또라이들이 어슬렁거리는 거 다 봤잖아. 하루 하루 놈들이 가까워지고 있어. 우리가 쉬운 상대가 아니라는 걸 보여주자고. 잘 생각해, 안전이 최우선이야.
0NO0001742	[CRLF]그럼 이만,[CRLF]
0NO0001743	마이클
0NO0001745	받는 이: 자넷 킴퍼
0NO0001746	[CRLF]안녕, 자넷 .
0NO0001747	[CRLF]학교 생활은 잘 하고 있니? 너희 학교 선생님들한테 좋은 소식을 들었단다. 네가 학급에서 제일 우수한 학생 중 하나라고 하더구나.
0NO0001748	[CRLF]그러고 보니 내일이 네 생일이었지. 벌써 꽃다운 열여섯 살이 되었구나! 세상에 믿겨지니? 너희 엄마가 예쁜 딸을 가진 것 같다고 말했던 게 불과 어제 일 같은데. 혹시 생일날 특별한 계획 있니? 너만 괜찮다면 식당을 몇 시간 빌려서 사람들을 초대할까 하는데. 마음에 들면 말만 하렴. 삼촌이 한번 추진해 볼게.
0NO0001749	[CRLF]조지 삼촌
0NO0001751	받는 이: 조지 스털트
0NO0001752	[CRLF]조지, 우린 오랜 친구잖나. 그러니 내가 오버시어 선거에 출마한 의도를 오해하지 않았으면 하네. 나는 내 친구들과 가족들의 안전을 위해서라면 뭐든 할 생각이야. 그를 위해서라면 오랜 시간 고립되는 한이 있더라도 (물론 필수적인 경우는 예외고) 바깥 세상으로 나가는 과정을 늦추는 것도 마다하지 않겠네. 바깥 세상이 어떤 곳일지는 아무도 모르네. 도적 떼나 부랑자들이 있을 수도 있고, 심지어 끔찍한 돌연변이나 외계인이 있을 수도 있어. 우리는 아무것도 알 수 없다고. 우리 좀 신중해지세나.
0NO0001756	[CRLF]안녕하십니까, 여러분!
0NO0001757	[CRLF]저를 믿어주신 여러분께 감사드립니다. 이렇게 다음 임기에, 운이 좋다면 이후로도 오버시어로 일할 수 있게 되어 영광입니다. 저는 앞으로 미셸의 특별 위원회를 가능한 빠른 시일 내에 외부로 보낼 수 있도록 최대한 노력할 것입니다. 물 공급 문제는 조만간 해결될 것이며, 바깥 세상의 이웃들과 영구적인 교류를 쌓게 될 것입니다.
0NO0001758	[CRLF]저를 믿어주셔서 다시 한번 감사드립니다.
0NO0001759	오버시어 조지 스털트 
0NO0001762	조지,
0NO0001763	마이클이 뭘 꾸미고 있는지는 모르지만, 무기들은 그 숨겨진 창고 두 곳에 놔뒀으면 좋겠어. 물론 마이클을 도와줄 사람은 없겠지만 그렇다고 그가 무장할 기회를 만들어 줄 필요는 없으니까.[CRLF]
0NO0001765	보내는 이: 자동 메일
0NO0001767	[CRLF]공지사항: 오버시어 선거가 다가오고 있습니다. 오늘로부터 2주 후에 예비 선거를 할 예정이니, 선거에 후보로 출마하실 분들은 출마 의사를 밝혀주시기 바랍니다.
0NO0001768	[CRLF]볼트 자동 메세지 시스템
0NO0001771	거주민 여러분: 볼트 외부 출입문 개방 프로토콜이 시작되었습니다. 24시간 이내에 완전히 개방될 예정입니다.
0NO0001773	보내는 이: 윌리엄 메이슨
0NO0001775	[CRLF]안녕하십니까, 여러분! 방금 미셸의 외부 교류 위원회로부터 메세지를 받았는데, 모두 잘 되어 가고 있답니다. 걱정하시는 분들께 안부 전해 달라더군요.
0NO0001776	보내는 이: 나라 로빈슨
0NO0001778	[CRLF]미셸, 혹시 밖에 거래하러 나간 사람들 어떻게 됐는지 알아요? 몇 시간 전에 돌아왔어야 하는데. 밖에 나간 사람이 늦는 건 이번이 처음이에요. 무슨 일이 생긴 건 아니겠죠?[CRLF]
0NO0001779	나라
0NO0001781	받는 이: 나라 로빈슨
0NO0001782	[CRLF]걱정 마세요, 곧 돌아올 거에요. 볼트 문은 거래 팀이 돌아올 때까지 열어둘 거에요. 한 시간 뒤에도 소식이 없으면 그 사람들 찾으러 다른 팀을 보내죠.
0NO0001785	안녕하세요, 대니.
0NO0001786	[CRLF]로라가 당신에게 성적에 관련된 메시지를 보내려 하고 있어요. 혹시 시간 내서 그 애랑 이야기 좀 해주실 수 있나요? 성적 때문에 엄청 우울해 하고 있거든요. 학기 말에 약간 실수한 건 알지만, 그 애 정말 열심히 했거든요.
0NO0001789	볼트 3의 오버시어의 방 암호는 1L0V3B@Nana5이다.
0NO0001790	친애하는 반 그라프 양,
0NO0001791	[CRLF]최근에 캐시디 캐러밴이 다수의 습격을 받았다는 보고를 받았습니다. 이런 불행한 사건들로 인해 그 젊은 술고래 주인이 그녀가 가진 지분을 싼 값에 저에게 넘기게 되겠지요.
0NO0001792	[CRLF]우리 협정은 잊지 않았어요. 그간 당신의 경쟁자인 건 러너를 약화시키기 위해 적지 않은 노력을 기울였답니다. 이제 얼마 지나지 않아 매상에서 그 효과를 체감할 수 있을 겁니다.
0NO0001794	AM
0NO0001795	이 테이프는 끔찍한 폭력과 살인이 벌어지는 현장의 소리를 담고 있다. 클랜든이 여성을 난폭하게 성폭행하는 소리가 들리고, 이어서 사람이 살해되는 적나라한 소리가 들린다.
0NO0001797	볼트 21은 다른 핵 방공호와는 다릅니다. 뭐가 다른지 지금부터 설명해 드리죠!
0NO0001798	[CRLF]볼트는 사상 최악의 재앙인 핵전쟁으로부터 살아남기 위한 희망을 담아 건설되었습니다. 그러나 다들 아시다시피 다른 목적을 띄고 건설된 볼트들도 종종 있었죠.
0NO0001799	[CRLF]볼트 21 역시 실험용 볼트 중 하나였습니다. 라스 베가스의 분위기에 맞게, 도박에 특화되어 건설되었죠!
0NO0001800	[CRLF]여기서 보시는 모든 것들은 단 하나의 법칙, 즉 행운의 여신의 저울을 움직일 수 있는 건 각자의 실력 뿐이라는 법칙 아래, 인류가 공존하고 삶을 영위할 수 있다는 이념의 산물입니다.
0NO0001801	[CRLF]우리는 자립심과 사회적 평등 간의 완전한 균형을 실체화했던 셈이죠.
0NO0001802	[CRLF]볼트 21의 각 층은 대칭적이고 투명하게 되어 있었습니다. 각 방은 바로 옆 방과 완전히 똑같게 지어졌고, 모든 도박 공간은 가리는 것 없이 잘 보이게 지어져 아무도 상대를 속이지 못했습니다.
0NO0001803	[CRLF]그 덕분에, 우리 사회에서 분쟁이 일어나면 공평하게 도박을 통해서 해결할 수 있었지요. 오래 전 아메리칸 드림이 그러했듯, 더 실력있는 사람이 이겼습니다!
0NO0001804	[CRLF]그러던 중 지혜로운 미스터 하우스가 우리 잃어버린 도시를 뉴 베가스로 부활시키면서, 200 년간 조화롭게 살던 우리는 마침내 바깥 세상에 눈을 뜨게 된 겁니다!
0NO0001805	7년 전, 미스터 하우스는 뉴 베가스를 재건하고 정비하였습니다. 볼트 21은 스트립 중앙에 위치하였기 때문에, 도시의 찬란한 미래의 일부가 될 수밖에 없는 운명이었죠. 미스터 하우스는 우리와 접촉해 베가스의 부활에 협력해 줄 것을 제안하였습니다.
0NO0001806	[CRLF]볼트 21 주민의 상당수는 미스터 하우스의 제안을 반대하였습니다. 볼트에서의 생활은 쾌적하고 안전하며 알찼기 때문입니다. 우리는 격리된 사회에서 이익을 누리는 데 익숙했기 때문에, 감히 그 안락함을 버리고 불안정한 균형 위에서 비틀거리는 미래로 뛰어들려 하지 않았습니다. 그러나 다른 의견을 가진 사람들도 몇몇 있었죠.
