0NO0000001	First Name: Pacer
0NO0001641	Missile Launchers: 7
0NO0001642	Missiles: 200
0NO0001643	We'd like this order expedited, if possible. The situation at the Dam requires it.
0NO0001644	One of the Crimson Caravan guards, identified as Robert Wilson, decided it would be funny to take a shot at our Vendortron. He's lucky he didn't get a .308 through his idiot skull.
0NO0001645	We're currently negotiating with McLafferty for reparations, but in the mean time we need to update the Vendortron's recognition software to filter out all Crimson Caravan employees. We'll also need to pull some strings over at McCarran and get them temporarily barred from purchasing ammo there, as well.
0NO0001646	Seriously, can we stop calling the Vendortron a "Vendortron?" Let's give the thing a proper name, like Bob (we're not calling it Bob). We'll vote on it at the end of the week. Please, please, please come  up with something decent.
0NO0001647	Help!
0NO0001648	I've locked myself in my office and I can't find the key.
0NO0001649	Please call the police!
0NO0001650	Jones -
0NO0001651	I transferred that redhead you liked over to Admin. You'll be sitting next to her all day, so don't come crying to me if you can't get her in your bunk. Oh, and you owe me big time for this favor. I'll let you know when I think of something.
0NO0001652	REMINDER:
0NO0001653	All personnel must secure their terminals before leaving their post. We don't need another situation like the one Private Crenshaw created last week.
0NO0001654	What's up, Jones? Crenshaw here. So you've got your eye on that pretty redhead, huh. I'll be sure to fill her in on your farting probably, seeing as how we're buddies and all.
0NO0001655	P.S. You didn't secure your terminal very well. Choose a better password next time.
0NO0001657	There are a few different vendors who sell snacks and meat.  You might try Fitz.  He has a small shop with a couple other merchants.  Ruby Nash in Primm has some interesting items.  Lastly, Crimson Caravan should be able to handle a good amount of supply for us.  Try and convince them to trade for some of our overstock if you can.  We need to reserve caps if possible.
0NO0001659	50 Hunting Rifles
0NO0001660	-28 in use
0NO0001661	-10 in repair
0NO0001662	-8 in storage*
0NO0001663	50 Assault Rifles
0NO0001664	-25 in use
0NO0001665	-6 in repair
0NO0001666	-12 in storage*
0NO0001667	20 Battle Rifles
0NO0001668	-10 in use
0NO0001669	-2 in repair
0NO0001670	-5 in storage*
0NO0001671	*Increase Gun Runners weapons shipment and modify manifests to make these numbers match the earlier totals.  Boyd is getting too suspicious.
0NO0001672	This recipe allows you to make Rose's Wasteland Omelet.
0NO0001673	The Followers of the Apocalypse have asked you to gather information on the Lucky 38 and its master, Mr. House.  They have given you a bug to install at an access point to the Lucky 38's data network.  Mr. House will be in the penthouse of the tower.
0NO0001674	This is an agreement between the Crimson Caravan Company and the Van Graffs to undercut or eliminate all other rival caravan companies in the region, such as the Gun Runners and Cassidy Caravans.
0NO0001675	In the case of Cassidy Caravans, Gloria Van Graff has agreed to use mercenaries against Cassidy Caravans to drive down the company's value, allowing Alice McLafferty to purchase the remaining assets at a bargain price.
0NO0001676	From: Lincoln Davis
0NO0001677	To: All Residents
0NO0001678	Greetings Everyone,
0NO0001679	As you all saw in the message from Vincent, we're going to have to start rationing water until we can resolve the leaking issues. Unfortunately, we don't currently have the parts required to fix the underlying cause of the leak. At this point, we have no alternative, but to seek the parts that we need from outside the Vault.
0NO0001680	To facilitate this, I'm proud to announce that Michelle Dallian will be forming a new committee, with the goal of creating ties with whatever civilization there may be in the outside world. Michelle and I both have high hopes that we'll have no problem finding the assets we need, and hopefully forming some lasting relationships with the outside world.
0NO0001682	Overseer Davis
0NO0001684	To: Michelle Dallian
0NO0001685	Michelle,
0NO0001686	Thank you again for agreeing to take charge with our external relations. I am sure that you will do represent us, and our interests well. Let me know if I can be of any assistance.
0NO0001687	-Link
0NO0001688	From: George Stault
0NO0001689	To: Lincoln Davis
0NO0001690	Dear Lincoln,
0NO0001691	Thank you for your endorsement at the Town Hall meeting last night. You are so well respected by the residents, that I am sure it will greatly increase my chances of following you to the "Big Chair." Since Michelle started making plans and gathering people for her External Association Committee the Isolationists have been gathering followers, as you well know. I think having me follow you as Overseer will serve to slow their efforts.
0NO0001692	Thanks Again,
0NO0001694	From: Laura Robinson
0NO0001695	To: Daniel Raati
0NO0001696	Hey Mr. Raati,
0NO0001697	Can you look over my final paper for comp lit? I think this is so unfair! I totally completed the assignment, and she gave me a D! I worked so hard, and she can be so mean. I mean, I know it is up to her what grade she gives me, but I've never gotten anything lower than a B on anything. EVER! So can you take a look at the paper for me? I swear, if you think it is worth a D, I'll let it drop.
0NO0001698	Thanks, Laura
0NO0001699	From: Daniel Raati
0NO0001700	To: *ALL PARENTS*
0NO0001701	Parents,
0NO0001702	It is with a heavy heart that I tell you that we are not going to be able to complete this school term. I'll be running some private tutorials in the screening room, but they will be informal, and attendance will not be required.
0NO0001703	I've asked Michelle to look in the surrounding areas, to see if there are any local schools that will be willing to take on some of our teachers and students. Between this prospect and the hopes of speedy repairs, this unexpected recess will be short.
0NO0001705	Daniel Raati
0NO0001707	To: *ALL STUDENTS*
0NO0001709	I'm sure you've heard by now that the doors of the schools will be close for an undetermined amount of time. Your individual classroom teachers will be sending all of you updated reading lists, and some workbooks to continue your studies. Please spend some of your newfound free time taking care of these assignments.
0NO0001712	From: Michelle Dallian
0NO0001713	To: Sarah Kimper
0NO0001714	Sarah. I'm curious if you've given any more thought to joining my task force. I'd love for the opportunity to work with you again, and I think you'd be a great fit. I really need someone with your keen interpersonal insights for dealing with the people outside.
0NO0001717	To:  *ALL RESIDENTS*
0NO0001718	Hello Everybody,
0NO0001719	I'm looking for volunteers for the External Association Committee. We have enough core personnel, but we can always use the extra hands. All residents are welcome to apply, and we hope to be able to accommodate any of you who are willing to donate your time. Feel free to contact me and I'll send you an application for membership.
0NO0001723	To: *ALL VEAC MEMBERS*
0NO0001724	Hi! Thanks again for agreeing to help out with this momentous task. Sarah and I are going to be organizing you into teams. Teams will be in charge of trading, inventory, politics, and miscellaneous. Many of you have asked why we don't have team dedicated to security. Well, I've talked long about this with George, and we both agree that we don't want to appear belligerent to the outside world. We are certain that once the people out there realize that we are just like them, and won't threaten them at all, they'll be happy to form long lasting relationships with us. We'd like to present an open hand instead of a closed fist.
0NO0001725	Thank you!
0NO0001727	From: Michael Robinson
0NO0001729	I can't believe you are going forward with this naive idea that the world is going to be peaceful and welcoming to us. We have no idea what we are going to see out there, or how the world has changed. I strongly suggest that we, at least at first, just open the doors long enough to get what we need. Allowing people to come in and out of the Vault unscheduled, can only lead to trouble.
0NO0001730	- Mike
0NO0001733	Michelle, please reconsider. Take some weapons with you. Arm yourselves. I just know that you are going to bring trouble back onto all of us.
0NO0001736	To: Undisclosed-Recipients
0NO0001737	I'm sorry to hear that all of you have abandoned the cause. Am I the only one left who sees the folly of this plan? I'm sure the outside hasn't recovered. Nevada was a desert before the bombs fell. I can hardly think to imagine what it must be like out there now. You are all cowards, and your fear is going to lead to our deaths.
0NO0001741	Ok Michelle. I was wrong. The wasteland isn't as dangerous as I thought it was. AS DANGEROUS. That doesn't mean it is safe. We've had some luck trading, and it looks like we are going to be operating at full capacity soon. Let's lock the doors for a little while, set up some guards. Let's be smart. We've all seen those freaks with the strange hats lurking around outside. Every day they get a little closer, let's show them that we aren't going to be easy targets. Let's be safe and smart.
0NO0001742	Kindly,
0NO0001743	Michael
0NO0001745	To:  Janet Kimper
0NO0001746	Hi Janet,
0NO0001747	How is the school year going so far? I've heard good things from your teachers. They say you are one of the top students in your class.
0NO0001748	Your birthday is tomorrow, sweet 16 at last! Can you even believe it? It seems like yesterday my sister told me she was going to have a little girl. Do you have big plans for your birthday? I think if you are interested, I could talk to some folks and get the dining room reserved for a couple hours. Let me know if that sounds like fun and I'll start getting the ball moving.
0NO0001749	Uncle George
0NO0001751	To: George Stault
0NO0001752	George, we've been friends for a while, so I hope you didn't take my candidacy for Overseer personally. I'm going to do whatever I can to keep our friends and family safe, and if that means taking our exposure to the outside world slow, and keeping to ourselves (outside of what we need, of course), then that is what I'm going to push for. No one knows what it is going to be like out there. There could be horrific mutants, or strange wandering vagabonds, aliens, murderous gangs. WE have no idea. Let's be smart about this.
0NO0001756	Greetings Everyone!
0NO0001757	Thank you all for putting your trust in me. I am honored to serve as your Overseer for the next term, and hopefully beyond. I am going to do everything I can to get Michelle's committee outside as soon as possible. We'll get our water issues resolved, and form lasting bonds with our neighbors in the world outside.
0NO0001758	Thanks again for putting your trust in me.
0NO0001759	George Stault, Overseer
0NO0001762	George,
0NO0001763	I'm not sure what Michael is planning, but I suggest that you leave the weapons in those two submerged storerooms. I'm pretty sure he doesn't have any support, and there is no need to give him the opportunity to arm himself.
0NO0001765	From: AUTOMAILER
0NO0001767	REMINDER: The Vault elections are coming up, the primaries start two weeks from today. If you intend to run please announce your candidacy.
0NO0001768	VAULT AUTOMATED MESSAGE SYSTEM
0NO0001771	RESIDENTS: The opening protocols for the Vault door have begun. The seals will open in 24 hours.
0NO0001773	From: William Mayson
0NO0001775	Hi Everyone! I just received a relay message from Michelle's initial party, and they are doing well. She asked me to pass this along to anyone that was worried about her.
0NO0001776	From: Nara Robinson
0NO0001778	Michelle, do you know what happened to the trading party? They were supposed to be back a few hours ago. This is the first time anyone has been late. Do you think something could have happened to them?
0NO0001779	Nara
0NO0001781	To: Nara Robinson
0NO0001782	I'm sure they'll be back soon. The Vault door is unlocked, and it'll stay that way until they get in. If we don't hear from them in another hour I'll send out another party.
0NO0001785	Hi Danny,
0NO0001786	Laura is going to send you a message about her grades. Could you take some time and talk to her? She's pretty upset. I know she slipped a little bit near the end of the semester, but she works really hard, and she genuinely wants to do well.
0NO0001789	The password for the Overseer's room in Vault 3 is: 1L0V3B@Nana5
0NO0001790	Dear Ms. Van Graff,
0NO0001791	It has come to my attention that Cassidy Caravans have suffered a number of setbacks recently. I can only hope that these latest unfortunate events drive that young booze-hound of an owner to finally sell me her remaining assets.
0NO0001792	As per our agreement, I have bent my not inconsiderable efforts toward weakening your competitors, the Gun Runners. You can expect a mysterious and sudden surge in sales in the near future.
0NO0001794	AM
0NO0001795	These tapes contain horrific sounds of murder and violence. You hear Clanden engaging in violent sex with women, and then hear the sounds of visceral and violent murder being carried out.
0NO0001797	Vault 21 has a story unlike any other Nuclear Fallout Shelter - you are about to learn why!
0NO0001798	It is common knowledge that some vaults were built and organized with motives that went beyond their function as safeguards of our last great hope: the hope that humanity would survive even the worst catastrophe imaginable - Nuclear War.
0NO0001799	Vault 21 was one of these experimental vaults. In the spirit of Las Vegas, our vault was built and organized around gambling!
0NO0001800	Everything you will see here follows the idea that humans can coexist and organize their lives based on the principle that skill is the only factor that should tip the blind balance held by Lady Luck.
0NO0001801	We embodied the perfect equilibrium between self-reliance and social equality.
0NO0001802	Each level of Vault 21 was symmetrical and transparent. Each room looked exactly like the next, and every gambling place was built in plain sight, so that no person would have advantage over another.
0NO0001803	Thanks to this, quarrels in our society were solved from an equal starting ground - the best won, just like our American Dream promised so long ago!
0NO0001804	After two-hundred years of living in harmony, we finally awoke to the nature of the outside world when Mr. House, in his able wisdom, resurrected our lost city as New Vegas!
0NO0001805	Seven years ago, Mr. House rebuilt and organized the great city of New Vegas. Vault 21 rests in the middle of The Strip, and it was inevitable that it would become part of the city's bright future. Mr. House contacted our community and offered us to participate in the resurgence of New Vegas.
0NO0001806	Most Vault 21 dwellers refused the offer - life was comfortable, safe and fruitful. We had grown so accustomed to the benefits of our isolated society that we could not conceive leaving it behind for an unknown future teetering on a precarious balance. Still, there were some among us who disagreed with the prevailing wisdom.
0NO0001807	They challenged, on Mr. House's behalf, each of the vault-levels' representatives that supported continuing our isolation. According to the custom, a game would be set up where the winner would decide the course of the community's future.
0NO0001808	A game of blackjack was scheduled and held in this very level of Vault 21. After many hours of grueling struggle, Mr. House's supporters won in an extremely risky, and fateful, gambit. They decided to open up the doors to the outside world.
0NO0001809	The rest upheld our system and remained true to their promise to abide by the victor's decision.
0NO0001810	After almost two hundred years within Vault 21's halls, we released the seals of the ancient doors. We opened to a new world.
0NO0001811	Mr. House, with the help of The Families, had transformed the mostly unharmed ruins of Las Vegas into a paradise. It resembled the city that we remembered thanks to the stories and items that our forefathers told and secured in Vault 21 after The Cataclysm.
0NO0001812	We were awe-struck and cautious, at once. Slowly, we left the confines of the vault and settled within New Vegas, aiding in its reconstruction.
0NO0001813	Vault 21, a giant complex of functioning machinery, became a great source of materials with which to rebuild New Vegas.
0NO0001814	Mr. House stripped the vault and filled its empty husk with concrete - only leaving behind part of the vault's top level. This section is where you now find hospice and where the warmth of our ancient home remains alive for all to enjoy!
0NO0001815	We have come to recognize the wisdom of Mr. House in forging a new and brighter future for all generations of New Vegas' inhabitants. Without his leadership, the barren wasteland would have remained uncivilized, savage and brutal for all time.
0NO0001816	We sincerely hope that you join us in celebrating the glory of New Vegas and the memory of Vault 21's legacy!
0NO0001817	Enjoy our Pre-War classic diner with the following meals:
0NO0001818	Breakfast:
0NO0001819	1. Asfartame Sugar Bombs.
0NO0001820	- Give the youngins an early boost! -
0NO0001821	2. Real Corn Flour Pancakes.
0NO0001822	- Would make Monphanto Co. proud! -
0NO0001823	3. Savory Iguana Sausages.
0NO0001824	- No, we only cook female iguanas! -
0NO0001825	Lunch:
0NO0001826	1. Mesquite Flavored Cazador Wings.
0NO0001827	- Get back at them with spice! -
0NO0001828	2. Apple Sauced Gecko Stew.
0NO0001829	- So good you'll crawl up the wall! -
0NO0001830	3. Creamy Mac&Cheese.
0NO0001831	- Your wife will stop asking for clam chowder! -
0NO0001832	Dinner:
0NO0001833	1. Brahmin Sirloin on Blue Bighorn Cheese.
0NO0001834	- Even Gandhi could not sit this one out! -
0NO0001835	2. YumYum Deviled Eggs over Pork&Beans.
0NO0001836	- Go out tonight with a bang! -
0NO0001837	3. Grilled Mantis Claw on Pinyon Nuts.
0NO0001838	- Has he been for too long in Gomorrah? -
0NO0001839	All meals served from 7:00 AM to 10:00 PM.
0NO0001840	Vault 21's Gift Shop offers the finest pre-war merchandise in all New Vegas!
0NO0001841	Vault 21 Suits.
0NO0001842	- Real leather with real attitude! -
0NO0001843	Pre-War Toasters.
0NO0001844	- Crunch of yesterday in today's bread! -
0NO0001845	Pre-War Books.
0NO0001846	-  Pleasure of owning what you can't understand! -
0NO0001847	Vault 21 Card Decks.
0NO0001848	- Stacked with 200 years of good luck! -
0NO0001849	Sensor Modules.
0NO0001850	- See them coming a mile away! -
0NO0001851	Vault 21 Pool Sets.
0NO0001852	- Hustle it like Minnesota Fats! -
0NO0001853	Nitrogen Canisters.
0NO0001854	- Laugh it all out! -
0NO0001855	Pre-War Toy Cars.
0NO0001856	- Toys, yes, but these still run! -
0NO0001857	Be among the elite few to possess a piece of the past in your bright future!
0NO0001858	Vault 21 Guest Services: ----------------------------
0NO0001860	- Courtesy Intercom Wake Up Calls -
0NO0001861	- Laundry Facilities -
0NO0001862	- Guided Tours -
0NO0001863	- "Strip" Style Poker Lessons -
0NO0001864	- Room Service -
0NO0001865	- Network Access -
0NO0001866	Unregistered User.
0NO0001867	Network Access Denied.
0NO0001868	Pay up and try again. Thank you!
0NO0001872	Hey, lil sis!
0NO0001873	How are you holding up? I miss you so much, Sarah! This place makes me want to run back to our home, every single day. I just had to write you so that I could feel a bit warmer. The warehouse's cold air weighs on me as heavily as the concrete that Mr. House dumped in our vault. Damned be his soul!
0NO0001874	Yeah, I imagine that you did not expect that outburst from your "cool bro" but I am reaching the end of the corridor, here. Emptiness is my muse - doubt is my only mistress. Everything that once inspired my art slowly drifts back into nothingness, into an unfathomable void where neither I find light nor its radiance searches for the spring of my soul.
0NO0001875	Bah, don't I sound pathetic? I do not wish to worry you, lil sis. I just wish that I could be there with you, right now. Perhaps once I find my strength again, once I finish the latest "suggestion" for Mr. House, I'll venture into the Strip and visit you.
0NO0001876	My thoughts are with you, hot-headed roadster!
0NO0001877	What's shaking, my cool bro!
0NO0001878	You'll be happy to know that our vault is packed and coasting along! Even with those legionnaires bad news we still get plenty of NCR squares down here. They are all chirpy and don't appear to mind that Cesar is crusin' for a bruisin' all over the place. Maybe the NCR is stronger than we thought, uh? Don't know... you think we can trust them over Mr. House?
0NO0001879	I still feel all clutched over what he did to our home! I mean, yeah it is good that we got to keep part of our vault but I can't shake the thought that one of these days he'll just push me out into the open - once he does not need us any more. I tell you, we should have never accepted his challenge. That shuckster cheated us, I am sure!
0NO0001880	Anyway, you've heard all of that before and I just wanted to bring you a smile! Cheer up, buttercup! I miss you!
0NO0001881	Sarah.
0NO0001882	ButtercupRide
0NO0001883	Dear Miss Weintraub,
0NO0001884	This is Charlene Tann writing to say thank you for the great experience we had at your hotel! I can't wait to tell to my inner circle. As you recall, my husband Biff is a very respected and influential man in our wealthy community.
0NO0001885	Ms. Shot, Ingrid Denger and lady Booften will soon come for tea to our estate and I will direct them your way. They will love the quaint and rustic feel of your cramped underground hole - tres chic!
0NO0001886	Even Biff still talks about his new favorite ranging garb, "the leather from my Vault 21 suit contains the scent of unwashed ages" he says to all our visitors! But he won't let them try it on for one minute, dear.
0NO0001887	With most sincerity,
0NO0001888	Ms. Tann
0NO0001889	This schematic allows you to make .44 Magnum, Hand Load.
0NO0001890	Looks like you were right.
0NO0001891	The Hostetler man always carries a full pouch back to their house, every night. The same pouch's empty whenever he goes work to Crimson Caravan, Fred's seen it himself.
0NO0001892	No chance in hell this is all a coincidence. He's bringing something with him whenever he leaves work. That's gotta be his daily cut from the business.
0NO0001893	Alice's gonna have to find all that dough for us. If we get caught near their place her bitch mother's gonna snap for the big guns... That'll make Crandon, or worse, Jules, come after us. I ain't too happy about risking my neck for nothing, Andy.
0NO0001894	Let's make sure Alice's a good doggie first, then do whatever you want with her once we are outta this fucking hole.
0NO0001896	Flight Control Software Updated
0NO0001898	Corruption detected in software settings.
0NO0001899	Flight control systems will be compromised.
0NO0001901	TO GENERAL OLIVER (or highest-ranking survivor)
0NO0001902	TO THE NCR PRESIDENT
0NO0001903	TO THE NCR COUNCIL
0NO0001904	FROM ROBERT EDWIN HOUSE
0NO0001905	As Chief Executive of the Free Economic Zone of New Vegas, I hereby demand the IMMEDIATE WITHDRAWAL of all NCR military personnel from New Vegas and its surrounding territories.
0NO0001906	a)  Yes, "all military personnel" includes NCR Rangers.
0NO0001907	b) "New Vegas and its surrounding territories" includes (but is not limited to) Hoover Dam, McCarran International Airport, HELIOS One, and the El Dorado Substation.
0NO0001908	IT IS IMPORTANT TO NOTE that my vast army of heavily-armed Securitrons has been rather inflexibly programmed to respond to acts of aggression with overwhelming force.
0NO0001909	a) For examples of "heavily-armed" and "overwhelming force," I will refer you to the pitiless campaign of extermination my Securitrons will have visited upon Caesar's Legion by the time you are reading this document.
0NO0001910	b) Any NCR military personnel who do not withdraw from New Vegas and its territories will be seen as committing an "act of aggression."
0NO0001911	NCR civilians are NOT subject to this order of withdrawal! They may visit New Vegas freely, enjoying all that the Vegas Strip has to offer!
0NO0001912	So long as NCR military personnel comply with this order to withdraw, electricity and water will continue to flow from Hoover Dam to the NCR.
0NO0001913	a) Electricity: 5 caps per kilowatt hour.
0NO0001914	b) Water: 5 caps per gallon
0NO0001915	The NCR Council's Office of Budget will receive invoices bi-weekly. Prices are subject to change without notice.
0NO0001916	Cordially,
0NO0001918	Chief Executive
0NO0001919	Free Economic Zone of New Vegas
0NO0001920	Invoice Number: 6682-0812
0NO0001921	Company: Evert's Building & Garden Supplies
0NO0001922	Contact: Scott Evert
0NO0001923	Quantity: 3
0NO0001924	Frame Dimensions: 365.76 x 348.52 x 61.45
0NO0001925	Interior Lights: 26
0NO0001926	Exterior Lights: 14
0NO0001927	Description: Single sided sign; red and white colors; sans-serif typeface. Top line reads "Evert's" on a red background; large typeface. Lines two and three read "Building [%] medium typeface; all caps. Line four reads "Supplies" on a red background; small typeface; all caps.
0NO0001928	Invoice Number: 6682-1542
0NO0001929	Company: Kingman's BBQ
0NO0001930	Contact: Felixx Weaver
0NO0001931	Quantity: 4
0NO0001932	Frame Dimensions: 685.23 x 237.64 x 62.35
0NO0001933	Interior Lights: 38
0NO0001934	Exterior Lights: 23
0NO0001935	Description: Double sided sign; black, brown and white colors; sans-serif typeface. Top line reads "Kingman's" on a black background; small typeface; all caps. Vertically below reads "BBQ" on a brown background; large typeface; all caps. White arrow border.
0NO0001936	Incident: Broken Glass
0NO0001937	Kevin dropped one of the glass tubes today while forming it.  He ended up with a nasty cut on his hand from the broken glass.  Fortunately no one else was hurt.  I bandaged his hand and had him clean it up before sending him home.  One more accident like that and I may have to let him go.  Kid's too accident prone.
0NO0001938	Incident: Elevator
0NO0001939	One of the elevators to the upper loading dock broke down again.  Unfortunately Johnathan was inside waiting to unload and the sudden stop caused one of the signs to slip of its pallet and it broke his leg.  He'll be out for at least a month while it heals.
0NO0001940	Page 67
0NO0001941	... fighting settled slightly following the announcement of the damage to the reactor before panic overtook the vault's residents. The technicians struggled to repair the damage to the reactor and main computer systems. We learned too late that as part of an automatic safety protocol the reactor had been reconfigured to use alternative pipe lines for its cooling systems, unfortunately with the damage to the mainframe the system was unable to detect the structural damage to the vault. Radioactive gasses pumped through the broken pipes and irradiated the vault. On top of it all, we cannot open the vault's main door. All systems appear to be on autopilot and manual override functions have been disabled. We'll just have to hope we can survive long enough for the door to open automatically...
0NO0001942	Page 65
0NO0001943	... real trouble began when a fair number of residents began to call for population control. Foreseeing the issue spiraling out of control I ordered one of the technicians to hook up a locking mechanism linking the armory door to the terminal in my office. The news of the armory being closed off angered a sizable group of residents, they stated it was their right to defend themselves and demanded that they be given access to the armory once more, and I of course denied this request...
0NO0001944	Page 66
0NO0001945	... riots began soon after; during the peak of the violence, the group calling for free access to the armory stormed the vault's exit and left. The door was sealed after them and additional guards were stationed at the exit; this proved to be a grave mistake. With the additional guards at the exit there were fewer to patrol the halls, none of them were prepared for the group that ambushed the armory. The guards were able to defend their position, but not before the damage was done, during the fight one of the reactors cooling vents was damaged.
0NO0001946	Carla,
0NO0001947	If you're reading this, then you know. Sorry. Wanted to make it back home to you.
0NO0001948	The pension won't be much but it should help you and the baby get by. Want you to remarry when you meet the right person. Don't want you to have to be on your own.
0NO0001949	Not sure the right way to say how I feel about you. Think you know already, though. Always seemed like you knew what I meant, maybe better than I did. Wish I was there with you now.
0NO0001950	There are things I couldn't tell you. Tried. Whatever you learn over time about my service in the NCR, hope you can forgive me.
0NO0001951	Lastly, know you were against it, but if it's a girl, want her to be named after her mother. Know it's playing dirty to win the argument this way, but too bad. It's worth it.
0NO0001952	Craig
0NO0001953	Hsu told me that he'd pay me for taking out Motor-Runner. I can find him at Vault 3, and the NCR will pay well if I'm able to take him out. Hsu also mentioned the last soldier he sent to take care of Motor-Runner has missed his scheduled radio contact.
0NO0001954	This recipe allows you to make Cass' Moonshine.
0NO1000001	Security Memo
0NO1000002	Sierra Madre Employees,
0NO1000003	At the request of Mr. Sinclair, please refrain from tampering with or destroying the Security Hologram emitters. Remember the Holograms keep us - and our guests - safe.
0NO1000005	Sierra Madre Management
0NO1000006	*** Clinic Power Status ***
0NO1000007	Essential Systems
0NO1000008	* Auto-Docs: Powered
0NO1000009	* Security Hologram: Powered
0NO1000010	Non-Essential Systems
0NO1000011	* Music Speakers: Powered
0NO1000012	NOTE: Please inform clinic management before shutting down generator for maintenance.
0NO1000015	* Auto-Doc: Emergency backup engaged.
0NO1000016	* Security Hologram: Emergency backup engaged.
0NO1000018	* Music Speakers: Offline
0NO1000019	This appears to be a standard 'Maintenance Pass' for the Sierra Madre.
0NO1000020	This appears to be a unique 'Entertainer Pass' for the Sierra Madre.
0NO1000021	Sheila,
0NO1000022	The passcode for the cashier room security Hologram is "MrFizzle17." Please don't forget it again, I could lose my job if they found out I gave it to you. See you in the electrical closet after the Gala Event?
0NO1000023	                           -Bill
0NO1000024	Kevin,
0NO1000025	Make sure to set a separate security override for the hallway loudspeakers before you leave tonight. The last thing we need is our coms going down in the middle of a robbery.  Set it to 1837uC@n7Gu355.  That should prevent a lucky guess by some hack with a stolen security card.
0NO1000027	Rubin
0NO1000028	Sierra Madre Vault Security
0NO1000029	Protocols:
0NO1000030	- Security On:
0NO1000031	- Elevator Dispatch to Executive Suites.
0NO1000032	- Security Turrets Active - Not Shielded.
0NO1000033	- Electric-Barriers Seal Vault.
0NO1000034	- Security Off:
0NO1000036	- Security Turrets Off - Shielded.
0NO1000037	- Electric-Barriers Down.
0NO1000038	Codes for the public dispensers arrived today. Sinclair instructed us in their use in case of emergency. Should be able to get stims and other treatments from the machines. Sinclair indicated it could dispense more based on the nature of the medical emergency or subject's condition.
0NO1000039	Among the codes, he kept asking if we could make sure the code for Med-X was backed up. He must have said it three times, I don't think he realized it? Must be stress - made a backup of the code on this terminal just in case.
0NO1000040	Sierra Madre Environmental Analysis Retrieved.
0NO1000041	Sierra Madre Hologram Technology Retrieved.
0NO1000042	Sierra Madre Replicator Schematics Retrieved.
0NO1000043	Sinclair did the rounds again today. Glad he left his ghostly entourage at the casino, those walking lightshows makes me wonder why he's even got us on staff when they could blast us in a second. Otherwise, Sinclair runs a tight ship, good to see in these days and times. Don't know how smart he is trying to make a resort to escape everything in the outside world, but rich guys can make it happen, even ones that've been hit hard like Sinclair has.
0NO1000044	You have a Holotape of Vera Keyes' melody, "Let the Bright Tomorrow in."
0NO1000045	You have a Holotape of Vera Keyes' melody, "Go to the Faraway."
0NO1000046	You have a Holotape of Vera Keyes' melody, "Begin Again."
0NO1000047	This Holodisk contains Dean Domino's melody, "Saw Her Yesterday."
0NO1000048	To: Konrad Simmons
0NO1000049	From: William Ennis
0NO1000050	Simmons, the ventilation system is on the fritz again and I need to even out the power distribution manually for the new generator we're bringing online. It's positively sweltering down in that cramped little room, and you know I don't cope well with the heat, so I'd like to do the work remotely. What's the password for the back-up machine again?
0NO1000051	Old man Ennis left his key on one of the consoles again, so making this note to remind myself to give it back next time I see him. We should stuff his locker full of Dandy Boy Apples or something. Maybe then he'd be less forgetful.
0NO1000052	To: William Ennis
0NO1000053	From: Konrad Simmons
0NO1000054	Damn it, Ennis, how many times do I have to tell you?  The password for the Remote Maintenance Terminal is T7GF0SEW.
0NO1000055	Stupid system locked me out again. How am I supposed to remember the password if they keep making me change it every few months? Bah, I'll just write it down here so I don't forget.
0NO1000057	Minimum power level required: 43%
0NO1000058	Power currently supplied: 85%
0NO1000059	Acceptable variation from norm: +/- 15%
0NO1000060	Largest variation in past 24 hours: 36%
0NO1000061	Automatic Systems: Offline
0NO1000062	WARNING: Large fluctuations in power detected. Large energy expenditures are to be avoided at all costs under these conditions. Report this to the foreman in charge at once.
0NO1000063	In case of emergency, all non-essential systems are to be shut down immediately to help the automatic systems balance the load. Should the automatic systems fail, your foreman will assign one of you to enter the Manual Override Chamber located adjacent to the main regulator.
0NO1000064	You have an edited Holotape of Vera Keyes' voice fragments,  splicing together the words: "Let," and "Go."
0NO1000065	This appears to be the security chief's pass for a security terminal.
0NO1000066	This copy of Vera Keyes' partitures contains several notes on the margins of its pages.
0NO1000067	Most of the notations deal with how to best perform each melody. The first page shows a scribble that seems out of place. It reads:
0NO1000068	"Begin again, let go."
0NO1000069	The Sierra Madre opens its doors to the world!
0NO1000070	The opening of our great Casino & Resort will feature a unique Gala, showcasing artists of world-renown!
0NO1000071	Miss Vera Keyes.
0NO1000072	Mr. Dean Domino.
0NO1000073	Joey Baxter.
0NO1000074	And, Wilfred the Wizard.
0NO1000075	Come join us at the grandest event in the history of the West.
0NO1000076	We welcome you to the best time of your life!
0NO1000078	The Sierra Madre's Management.
0NO1000079	The Tampico's Performances Scheduling:
0NO1000080	- Performance Preparations:
0NO1000081	- Doors to Tampico's Stage Open.
0NO1000082	- Hologram Sentries On.
0NO1000083	- Ambient Audio System On.
0NO1000084	- Stage Audio System Off.
0NO1000085	- Performance In Progress:
0NO1000086	- Doors to Tampico's Stage Closed.
0NO1000087	- Hologram Sentries Off.
0NO1000088	- Ambient Audio System Off.
0NO1000089	- Stage Audio System On.
0NO1000090	In case of emergency, see the Stage's Manager to override Security Protocols.
0NO1000091	Sierra Madre Management.
0NO1000092	Ardent Tequila
0NO1000093	From: John K. Lester: "I'm on my way!" 10/23/77
