///Project Nevada	
PJN0000001	쓰리 슈터
WIL0001455	우와~, 사라는 섹스를 참 못하는구나! 선물 가게에 있을 때 처럼 애교도 없고. 고목같은 여자의 섹스야.
WIL0001456	나이트킨은 살금살금 움직이는 것에 있어서는 천재적이구나.
WIL0001457	저놈이야, 내 짐을 빼앗은 자식!
WIL0001458	그레이트! 해주겠어. 이 근처에 모여 있는 걸까.
WIL0001459	아니, 윌로우. NCR의 병사를 지원하고 싶지 않아.
WIL0001460	오케이, 당신에게 맡길게.
WIL0001461	딱히 너에게 있어서 문제가 있는 건 아니잖아? 너답지 않아. 우리는 결혼한것도 아닌데.
WIL0001462	그렇구나. 딱히 결혼한 것도 아니고. 당신이 옳아. 바라는 대로 누구하고든 자면 되잖아, 그게 당신의 행복이지?
WIL0001463	그게 당연해. 하지만 있지, 우리들 사이에는 특별한 무언가가 있다고는 생각하고 있었어.
WIL0001464	잠시 자유로워지고 싶어, 윌로우. 집에 돌아가 주겠니.
WIL0001465	아 그래. 집에 돌아갈게.
WIL0001466	윌로우, 너에게 있어서 그토록 중요한 일이라고는 생각하지 못했어. 알았어, 내게 필요한 것은 너 뿐이야. 그걸로 됐지?
WIL0001467	아니. 그런걸 신경쓸 필요는 없어. 왜 그런걸 묻는거야?
WIL0001468	알겠어? 나는 NCR에서 왔단 말이야! 나는 그들을 쏘고싶지 않고, 그들에게 사격당하고 싶지도 않아!
WIL0001469	게다가, 내 가족이 NCR에게 총구를 겨누었다고 들으면 분노할게 당연하잖아!
WIL0001470	아아, 왜?
WIL0001471	게다가, 내 가족이 NCR에게 총구를 겨누었다고 들으면 분노할게 당연하잖아! 하지만, 나는 여기서 무슨 일이 일어나고 있는지는 봐 왔다고 생각해.
WIL0001472	그리고 NCR은 아마도 여기에 어울린다고 할 수 없어. 그것에 대해서는 당신을 믿을게. 하지만 있지, 나는 이 전쟁에 한껏 끼어들 작정은 없단 말이야.
WIL0001473	...단지, 당신에게 맡겨두면 안심할 수 있다고 믿게 해줘. 나는 악당이 되고 싶지 않아.
WIL0001474	윌로우, 너의 드링크를 원해! 추천하는걸 줘.
WIL0001475	에에! 드링크. 좋지. 지금까지 내가 위스키를 좋아한다고 말한 적이 있었으려나?
WIL0001476	윌로우, 모든걸 맡겨만 줘. 너를 결코 악당으로 타락시키지 않겠어.
WIL0001477	고마워. 나...나는, 그 말을 듣고 싶었어. 당신은 무척이나 달콤해 아아 부모님! 오직 그분들이 내 고민의 중심이야.
WIL0001478	윌로우, 때로는 최선의 방법이 최선의 결과를 낳는다고는 할 수 없어. 네가 결정해야 하는 일이야. 나는 너의 도움은 될 수 없어.
WIL0001479	당신 군단과 협력 관계에 있는 거야? 아직도 관계를 계속 이어갈 생각이야?
WIL0001480	당신은 영웅이야! 나는 자랑스럽게 생각해!
WIL0001481	아니, 당분간은 그들에게 협력하지 않을거야. 무슨 일인데?
WIL0001482	아아, 무슨 일이야?
WIL0001483	맞아, 나는 이 전쟁에 흥미가 없어. 우리가 그것에 휘말려들지 않기를 바랄게.
WIL0001484	그렇구나. 굳이 말할 필요는 없을지도 모르겠어. 하지만 말이야, 만약 우리가 전쟁에 참가하게 된다면, 나는 NCR측에 서서 싸울거야.
WIL0001485	그들과 함께 가자.
WIL0001486	당신은 내 자랑이야.
WIL0001487	음, 그들과 함께 행동할 작정이야.
WIL0001488	아니, 무슨 일이야?
WIL0001489	그렇구나, 내가 말했듯이, 네가 그걸로 고민할 필요는 없어.
WIL0001490	오케이, 당신을 신뢰 하고 있어.
WIL0001491	[죽음의 군주] 너를 죽이는 것은 간단해. 그러니까, 너는 최적의 아머를 입어주기를 바래.
WIL0001492	[여자 사냥꾼] 네가 상처입는 모습같은건 보고 싶지 않아. 너한테 잘 맞는 아머를 입어주면 좋겠어.
WIL0001493	[바람둥이] 윌로우. 너의 아름다운 몸이 위험에 노출되는 것은 참을 수  없어. 너에게 잘 어울리는 아머를 입어주면 좋겠다.
WIL0001494	그래? 그렇게 생각해?
WIL0001495	지금, 괜찮을까 윌로우? Unarmed의 훈련에 대해서 이야기하고 싶은데 문제는 없을까?
WIL0001496	당신은 맨손으로 싸우는 법을 가르쳐 주었지? 에에, 충분히 능숙해 졌다고 생각하니까, 실습을 해볼게.
WIL0001497	내가 언젠가 사용하기 위해 억눌러 온 것을 잘 봐줘. 맞아, 나는 싸울거야, 언제라도 그들과 말이야. 두근거려버려, 그치?
WIL0001498	아~, 만약 뷰티를 빌리고 싶어지면, 나에게는 이것이 있으니까 거리낌 없이 말해줘.
WIL0001499	그리고 생각해 봤는데. 있지, 근거리에서도 싸울 수 있게 훈련을 했잖아. 단검이나 그런걸 다룰 수 있게 되었다고 생각해.
WIL0001500	모욕할 마음은 없지만, 상처를 입은 것 처럼은 보이지 않는데다가, 장비도 한 세트 가지고 있는 것 같은데. 사기나 뭐 그런 건가?
WIL0001501	가지고 있던 약은 전부 다리를 치료하는데 사용해 버렸어. 그게 움직일 수 있는 이유야, 하지만 아직도 아픈걸.
WIL0001502	거기에, 강도를 만난 것은 증명할 수 없어. 믿어줄 수 밖에 없는거야. 나는 사실을 말하고 있어.
WIL0001503	아, 잠깐만. 이걸 봐. 그들이 흘리고 간 것 같아. 강도들이 흘리고 간 거야.
WIL0001504	얌전히 있으면 되었을 것을. 일이 생각처럼 풀리지 않았다는 거군.
WIL0001505	아니야. 나는 애용하는 소총을 잃어버리거나, 탄약을 죄다 써버리거나, 상처를 입는듯한 계획같은건 세우지 않아. 지금까지 길가에서 이런 불행을 마주한 적이 없었는걸.
WIL0001506	너의 문제를 해결하는걸 도와달라고? 무기랑 탄약이나 캡을 주면 되는 건가
WIL0001507	캡같은건 필요 없어, 하지만 내 총은 지금 도움이 되지 않아. 그러니까 놈들의 뒤를 쫓으려면 탄약이나 다른 무기가 필요해.
WIL0001508	그렇게 보지 말아 줘. 나에게는 나의 문제가 있어. 너를 만난건 기쁜 일이지만, 가야만해.
WIL0001509	기다려! 총은 가지고 있어, 단지 탄이 없어서, 그리고 상처를 입고 있어.
WIL0001510	너를 이 상황에서 도와주려면, 내가 어떻게 해야 할까?
WIL0001511	에에! 이걸 봐줘. 그들 중 한 명이 흘리고 간 거야. 이 근처 어딘가로 그들이 향했다고 생각해. 가장 가까운 곳 부터 찾아보려고 생각하고 있어.
WIL0001512	하지만, 문제가 한가지 있어. 총은 가지고 있지만, 총알이 없거든. 전부, 바닥날 때까지 쏴버렸어.
WIL0001513	없어, 아무것도 할 말이 없어. 단지 신용해 줘.
WIL0001514	미안해 허니. 시험해 볼게. 나는 당신이 다른 사람에게, 나와 같은 정도의 마음을 준다고 생각하면, 엄청난 질투쟁이가 되어버려. 어려운 일이구나.
WIL0001515	있지, 최근에 있던 일인데, 남자를 몇 명 보지 못했어? 강도를 만났거든! 개새끼들이.
WIL0001516	혼자서 추적할 수 있다고 생각하는 건가?
WIL0001517	혼자서 하고 싶은건 아니지만, 할거야. 짐을 되찾고 싶어.
WIL0001518	공짜로 무언가 줄 생각은 없지만. 도움을 원한다면 거래를 할 수 있지 않을까.
WIL0001519	당신에게 지불할 수 있는 만큼 캡을 가지고 있지는 않지만, 이러면 어때? 내 짐을 되찾는다면, 한동안 같이 여행을 하는거야.
WIL0001520	총을 다루는데는 자신이 있어. 아빠랑 같이 사냥을 시작했을 때는 정말 어린 아이였거든. 게다가, 나랑 같이 있으면 즐거울거야.
WIL0001521	미안하군. 돌아가도록 하지.
WIL0001522	부탁할게. 짐을 되찾고 싶어. 나, 절대로, 당신의 도움이 될거야.
WIL0001523	아니, 누구와도 만나지 못했는데. 너는 괜찮은 거야?
WIL0001524	아니, 괜찮지 못해. 놈들은 내가 애용하는 소총이랑 짐을 빼앗아 갔어. 총은 가지고 있지만, 탄이 없고 다리에 상처도 입었거든.
WIL0001525	너는 오랫동안 여행을 한거야?
WIL0001526	2년 가깝게 되려나. 평소에는 어떤 문제라도 대처할 수 있지만, 그들은 내 뒤에서 갑자기 뛰쳐나왔거든. 불의를 찔려버린거야.
WIL0001527	너의 소총을 되찾는데 도움을 줄 수 있을지도 모르겠는걸? 보수에 따르지만 말이지.
WIL0001528	캡으로 지불하는건 불가능해도, 이러면 어떨까? 내 짐을 되찾은 뒤에, 한동안 같이 여행을 하는거야.
WIL0001529	꽤나 어려운 상황인 모양이군. 문제를 해결하는데 도움을 줄까?
WIL0001530	나는 짐을 빼앗아간 놈들의 뒤를 쫓고 싶어. 그들은 이걸 흘리고 갔어. 나랑 같이 가줄래? 탄약이나, 무기도 빌려준다면 고마울텐데.
WIL0001531	잠깐의 모험을 하는데 담보로 물자를 빌려주고, 거기에 자신을 따라오라고?
WIL0001532	같이 와 준다면 정말 고맙겠지만. 탄약에 대해서는 이렇게 말할 수 밖에 없겠네. 단검을 가진 나는 도움이 되지 않고, 맨주먹 보다 나은 정도에 불과하거든? 그러니까, 당신 나름이야.
WIL0001533	하지만 받을 수 있다면 기쁘게 받을게. 바란다면 한동안 같이 여행을 해도 좋고. 총질에는 자신이 있고, 도움이 될거야. 어때?
WIL0001534	알았어. 나쁘지 않은걸. 짐을 정리하고, 출발하도록 하자.
WIL0001535	오케이, 그리고 고마워. 말하는걸 잊고 있었지만, 나는 윌로우야. 만나게 되서 영광이야. 하지만, 부탁이니까 서둘러 줘. 빨리 출발하고 싶어.
WIL0001536	이러면 어때? 같이 자 준다면, 너의 짐을 되찾는 것에 필요한 일은 무엇이든 해줄게.
WIL0001537	어쩔거냐고? 거절이야.
WIL0001538	오케이. 같이 자 준다면야 도와주고 말고.
WIL0001539	싫어. 모하비 전초 기지까지 돌아가서, 거기서 누군가를 찾기로 할게. 당장이라도 출발하고 싶고 시간도 쓸데없이 소모하고 싶지 않아. 하지만...그런건 거절이야.
WIL0001540	한동한 같이 여행을 해 준다면, 도와주도록 하지. 동료가 필요하거든.
WIL0001541	당신과 여행을? 오케이, 애용하는 소총을 되찾은 다음에라면, 한동안 동행해도 좋아.
WIL0001542	너는 사실을 말하고 있는 거겠지? 오케이, 도와주도록 하지. 하지만 무언가 담보를 받고 싶은걸.
WIL0001543	지불할 수 있는 만큼의 캡은 가지고 있지 않아. 그래서 말인데, 이러면 어때? 짐을 되찾은 다음에, 당분간 함께 여행을 하는거야.
WIL0001544	자신만만해 보이는군. 만약 짐을 되찾을 수 없으면? 그 때의 보수는 어떻게 되지?
WIL0001545	내 소총을 되찾을 수 없었다고 해도, 한동안은 당신과 동행할게. 총질에는 자신이 있고, 나랑 있으면 즐거울거야.
WIL0001546	오케이, 거래 성립이야. 준비를 갖추고 출발해 보자고.
WIL0001547	고마워. 내 이름은 윌로우야. 만나게 되서 영광이야. 그리고 서두를 수 없을까? 빨리 출발하고 싶어.
WIL0001548	그리고 여기구나. 이것좀 봐. 놈들이 흘리고 간 거야. 놈들이 향한 길을 표시해주고 있는 거라고 생각하는데. 가장 가까운 곳 부터 찾으러 가고싶어.
WIL0001549	그 놈들을 쫓기 위해서 나에게 물자를 받고 싶다고? 더해서 나보고 따라오라는 말인가?
WIL0001550	맞아. 무척 감사하고 있어. 어떤 방법으로 보수도 주려고 생각하거든. 캡은 없지만, 여행에 동행이 있으면 좋을거라고 생각하지 않아?
WIL0001551	한동안 당신이랑 여행을 하려고 생각해, 불침번도 설거고, 동물을 사냥하거나, 그 밖에 여러가지 할 수 있어. 나랑 있으면 즐거울 걸? 어때?
WIL0001552	만약 너의 짐을 발견하지 못한다면? 어떻게 되던지간에, 나랑 동행하겠다는 너의 확약을 얻고 싶은데.
WIL0001553	그 가능성은 생각하고 싶지 않네. 하지만 알았어, 그러자. 약속할게. 어떻게 되던지간에 당신이랑 여행을 할게.
WIL0001554	너의 소총을 찾지 못한다고 해도 나를 따라오겠다는 약속을 원해.
WIL0001555	그 가능성에 대해서는 생각하고 싶지 않네. 하지만 알았어. 내 소총을 찾지 못하더라도 당신이랑 같이 갈게.
WIL0001556	아아, 아무것도 받을 생각은 없어. 정말 미안한 소리를 했다고 생각해.
WIL0001557	고마워. 당신은 정말 친절하구나. 무척이나 감사하고 있어. 가능한 빨리 출발하고 싶은데.
WIL0001558	거짓말은 하지 않겠어. 너는 무척이나 매력적이야. 이 사건으로 보상을 요구하지는 않을게.
WIL0001559	어머, 고마워. 그렇게 나쁜 사람도 아니구나. 가능한 빨리 출발하고 싶은데 어때?
WIL0001560	오케이, 그렇게 하지. 출발할 준비를 하자.
WIL0001561	말하는걸 잊고 있었는데, 나는 윌로우야. 만나서 영광이야. 그리고 고마워. 오늘은 잊을 수 없는 날이 될 것 같아.
WIL0001562	거기에는 동의하지. 하지만 만약 짐을 되찾지 못한다면? 어쩔거야?
WIL0001563	그 가능성은 생각하고 싶지 않네. 하지만 만약 짐을 되찾지 못한다고 하더라도 한동안은 당신이랑 여행을 할게. 그래야 공평하겠지?
WIL0001564	너로부터 얻고 싶은게 있는건 사실이지만. 보수는 필요 없어. 냉큼 일을 해결하러 가자.
WIL0001565	아~, 뭐어, 응, 그렇구나. 어떻게 되었나 확인하러 가자. 가능한 빨리 출발할 수 있을까? 빨리 짐을 되찾고 싶어.
WIL0001566	오케이. 도움을 주도록 하지. 짐을 되찾으러 가자. 그리고 보수에 대해서는 걱정하지 말아줘.
WIL0001567	왜 그렇게 갑자기 관대해 진거야? 담보도 없이 타인을 도와주는 일인데. 물론, 감사하지 않는 건 아니지만.
WIL0001568	조금 전에는 바보같은 짓을 해버렸어. 그것에 대해 변상하고 싶어.
WIL0001569	고마워. 정말로 감사할게. 바로 출발할 수 있을까? 빨리 가고싶어.
WIL0001570	네가 마음에 들었으니까 같이 있는 시간을 좀 더 늘리고 싶거든. 설령 그게 범죄자를 뒤쫓는 일이라고 할지라도 말이야.
WIL0001571	와아, 고마워, 자신에게 솔직한 거구나. 바로 그 범죄자들을 쫓아갈 수 있을까? 빨리 여기서 출발하고 싶어.
WIL0001572	너로부터 얻고 싶은 것은 있지만, 담보를 요구할 작정은 없어. 사건의 흐름을 확인하러 가보자고.
WIL0001573	도와주어서 고마워. 하지만, 에에, 무슨 일이 일어나는건지 확인해야겠지. 바로 출발할 수 있을까? 빨리 여기서 벗어나고 싶어.
WIL0001574	여기서 기다려 줄래? 나중에 돌아올 테니까.
WIL0001575	그러기를 바란다면야, 알았어. 하지만 오랫동안 혼자서 두지 말아줘, 알았지?
WIL0001576	지금 가지고 있는걸 확인하게 해줄래?
WIL0001577	우~음, 알았어.
WIL0001578	여기서 기다려 줄래? 바로 돌아올 테니까.
WIL0001579	그러자, 하지만 서둘러 줘.
WIL0001580	체스터의 소재는 모르겠는걸, 흔적은 잘 따라온 것 같은데. 뭐 예상되는 일이라도 있어?
WIL0001581	으~음, 에에 그렇구나. 조금 곤란한 일이지만. 전에 같이 있던 사람들이 가지고 있을지도. 짐을 옮기는 걸 도와주고 있었거든.
WIL0001582	모하비 전초 기지에서 헤어졌어. 그는 크고, 힘이 쌔고, 조용한 사람이었지. 짐을 옮겨주는 것은 도움이 되었지만, 즐겁지는 않았어. 그다지 말을 안하는 사람이니까.
WIL0001583	그가 어디에 있을지는 짐작가는 곳이 있어. 자신에 대해서는 그다지 말을 꺼내지 않았지만, 어디로 향하는지는 조금 말해 주었거든.
WIL0001584	할 말이 있어. 짐을 옮겨주기를 바라는데, 어느것도 사용하거나 만지지 말아주었으면 하는 거거든.
WIL0001585	이런, 재미가 없네. 보는건 괜찮지만 만지면 안 되는거야? 알았어, 기꺼이 받아줄게.
WIL0001586	[거짓말] 모이라는 없어. 미안해.
WIL0001587	믿을 수 없어. 당신은 그녀를 가지고 있을거야. 당신이 거짓말만 할거라면, 길게 함께 있을 수 없어.
WIL0001588	메모에 쓰여진 장소 양쪽에는 갈 수 없는걸. 네가 괜찮다면 계속해서 가볼까.
WIL0001589	그거 좋은 생각이다. 하지만 하나 짐작가는 일이 있거든, 그게 있지, 인정하는게 좀 부끄럽지만. 나, 체스터를 가지고 있지 않았을지도.
WIL0001590	전에 같이 있던 사람이 가지고 있을지도 몰라. 짐을 운반해 주었거든. 모하비 전초 기지에서 헤어졌지만.
WIL0001591	그는 크고 강해서, 조용한 사람이었어. 그다지 즐겁지는 않지만, 짐을 운반해 주었거든. 그에 대해서는 잘 모르지만, 어디에 있을지는 짐작이 가.
WIL0001592	체스터는 유감이지만, 나는 내 일을 해야만 해. 나중에 언젠가는 만날거라고 생각하는데.
WIL0001593	흥미가 없을지도 모르지만, 말하고 싶은게 있어. 강도를 만났을 때 나, 체스터를 가지고 있지 않았을지도 몰라.
WIL0001594	이전에 함께 있던 사람에게 두고 와버렸을지도. 그의 짐 속에 두고 와버린 거야. 웃기는 소리지. 거기에 두고 오다니.
WIL0001595	이런 실수를 하다니 바보같아. 하지만 체스터를 찾고 싶어. 만약 마음이 변하면 말해줘, 언제고 준비할 수 있으니까.
WIL0001596	체스터를 되찾기 위해서 그를 뒤쫓고 싶은 거니?
WIL0001597	응, 응, 맞아. 흥미가 생겼다면 그에 대해서 아는걸 전부 말할게.
WIL0001598	더 이상 탐색을 멈추고, 그 남자를 찾으러 가야 한다고?
WIL0001599	그가 체스터를 가지고 있다고 딱 잘라서 말할 수 없지만, 언젠가 짐을 운반해준적이 있거든. 그가 가지고 있을지도 모른다는 것을 잊고 있었다니 무슨 농담같아. 명확하게 기억나는건 아니지만.
WIL0001600	확신이 없는 모양이군. 생각을 해 봐야겠어.
WIL0001601	오케이, 하지만 언제든지 대화를 나눌 여지는 있으니까. 체스터를 찾고 싶어서 참을 수 없거든.
WIL0001602	또 하나의 장소를 찾아 보고서 어떡할지 생각하는게 좋겠어.
WIL0001603	대화? 무슨 대화를 나누자는 거지? 너는 나를 따라오고, 내 지시를 따른다, 그렇잖아?
WIL0001604	아니, 아니야. 나는 꼭두각시가 될 생각은 없어. 명확하게 대화를 나눌 필요가 있다고.
WIL0001605	아아, 나를 놀리는 거지? 재미있어. 에에, 내가 한 방 먹었구나. 그치? 장난이지?
WIL0001606	응, 오케이. 네가 맞아. 나는 모이라를 가지고 있어. 거짓말을 해서 미안해.
WIL0001607	당신은 이전에도 나한테 거짓말을 했어. 그리고 지금 또 거짓말을 했고. 다른 누구도 아닌, 나에게 말이야. 믿을 수 없는 사람과는 여행하고 싶지 않아.
WIL0001608	그리고, 지금부터의 일 말인데. 같이 여행하는 동안에는 그대로 체스터를 계속 찾을거야. 당신이 신경을 쓰지 않으니까 말이야. 그를 가졌을 때, 나는 정말 어린 아이였다구.
WIL0001609	나한테 거짓말 하지 말아줘. 다른 누구에게 거짓말을 하는건 상관 없지만, 나한테는 안 돼. 같이 여행하는 동료는 믿을 수 있는 사람이기를 바란단 말이야, 알았어?
WIL0001610	그리고 나는 지금도 체스터를 찾고 싶어. 그러기 위해 여행의 시간을 조금 투자해 줄래? 어릴때부터 쭉 함께였거든.
WIL0001611	[거짓말] 아니, 나는 정말로 인형을 가지고 있지 않아. 네가 착각한거야. 나는 거짓말을 할 마음이 없다고.
WIL0001612	알았어, 당신에게 품은 의혹은 호의적으로 해석해 둘게. 하지만 당신이 그녀를 가지고 있다면, 내가 증거를 찾아서, 그 때는 각오해야 할거야.
WIL0001613	응, 그래 맞아. 네가 바라는 대로.
WIL0001614	있지, 나는 진지한 대화를 나누고 싶어. 여행을 떠나기 전에, 문제를 정리해둘 필요가 있다고. 잘 해나가기 위해서 말이야.
WIL0001615	그렇구나, 대화를 나누자. 우리가 어떡해 나갈지를, 명확하게 해 두자.
WIL0001616	다행이다.
WIL0001617	그 밖에 뭔가 가지고 있어?
WIL0001618	가지고 있어. 라디오야. 아빠가 준 거야. 나를 위해서 하나, 또 하나는 나랑 같이 여행을 할 사람용이고 말이야.
WIL0001619	아빠는 혼자 여행하겠다고 말한 나를 걱정해서, 이게 안전을 위해 도움이 될 거라고 생각해 주었어.
WIL0001620	지금은 망가져서 메시지의 송신만 가능하지만 당신의 그 컴퓨터가 있으면 사용할 수 있을거야.
WIL0001621	그게 있으면 나랑 대화를 할 수 있어. 그걸 가진 사람과 만났을 때는 잘 작동했는걸.
WIL0001622	특별히 말해두고 싶은게 있니?
WIL0001623	에에! 나는 총을 사용하지 않으면 싸우지 못해. 다른 무기는 너무 끔찍하거든. 오케이, 주먹으로도 싸울 수 있거든? 라드로치에게 포위당한다면 말이야.
WIL0001624	나는 여러가지 배우는 걸 좋아해, 기쁘게 공부할거야. 하지만 있지, 지금의 나는 도움이 안 될거야. 그것에 대해서는 정말 명확히 밝혀두고 싶었어.
WIL0001625	그러니까 총을 제외한 전투에서 나한테 기대하지 말아줘. 알았지? 안할거야. 지금의 나에게 그런 스킬은 없으니까.
WIL0001626	알았어. 만약에 어떻게든 훈련을 하면 어떨까? 가능하겠어?
WIL0001627	에에, 예를 들자면 복싱 책이나 잡지를 읽어서 배우면, 가능해. 하지만 그것들을 찾는건 어려워. 지금까지 2, 3개 밖에 본 적이 없거든.
WIL0001628	하지만 충분한 수의 책이나 잡지를 읽으면, 무기를 다루는 것도 능숙해져서 해치울 수 있을거라고 생각해.
WIL0001629	아~! 있지, 있지, 있지! 좀 더 좋은 방법이 뭔지 알아? 누군가 나를 훈련시켜줄 사람을 찾는거야! 당신은 주먹질, 잘 해?
WIL0001630	괜찮아. 신경쓸 필요는 없어. 나도 총을 좋아하거든.
WIL0001631	뭐어, 신경쓰이지 않는다면 다행이다.
WIL0001632	복싱의 책이나 잡지를 읽으면 기억할 수 있어. 하지만 그것들을 찾는건 어려워. 지금까지 2권 밖에 본 적이 없어.
WIL0001633	기쁜 일은 아닌걸, 윌로우. 그 밖에 뭐가 하기 싫은데?
WIL0001634	으~음, 그러면 어떡하는게 최적의 일이라고 생각하는데? 그러기 바란다면 주먹으로 싸워줄게. 하지만 그러면 정말 상처를 입어서 당신에게도 좋은 일은 없을거야.
WIL0001635	하지만 총질에는 자신이 있으니까, 총을 사용하면 효과적으로 나 자신과 당신을 지킬 수 있어. 나에게 총을 사용하지 말고 다른 일을 시키려고 하면 멍청한 짓이야.
WIL0001636	하지만 당신이 단검이나 주먹질에 자신이 있는 사람하고만 여행을 하고 싶다면, 에에, 나는 당신의 연인도 아닌걸. 당신이 나를 특훈해주는 것도 아니라면 말이야.
WIL0001637	아니, 미안하지면 가르쳐 줄 수 없어. 나도 스킬이 없거든.
WIL0001638	어머, 뭐어, 그 밖에 누군가 가능한 사람을 찾을 수 있겠지.
WIL0001639	너의 훈련? 어떻게?
WIL0001640	나한테 복싱 책이나 잡지를 넘겨주면 그걸 읽을게.
WIL0001641	무기를 다루는 법을 좀 더 배우면 싸움 중에서도 훨씬 활약할 수 있게 될거라고 생각해.
WIL0001642	아니, 나는 훈련에까지 신경을 쓰고 싶지 않아.
WIL0001643	알았어, 그 이야기는 잊어줘. 하지만 총 말고 다른걸로 싸우고 싶지는 않으니까.
WIL0001644	만났다고 생각해. 놈들의 특징은 어땠지?
WIL0001645	모르겠어. 겉모습은 정말 평범했거든. 두 명 이었거든. 한 명은 굉장히 밝은 적발에, 또 한 명은 헬멧같은걸 쓰고 있었어.
WIL0001646	알았어, 그게 전부라면 우리는 한동안 서로를 여행의 파트너라고 생각해야겠지.
WIL0001647	그 밖에 떠오르는건 없네, 가자.
WIL0001648	신경쓰지 않아. 문제 없어.
WIL0001649	이거, 마음에 들었어! 그 폭발하는 테디 베어는 굉장한걸. 어떡해야 좀 더 얻을 수 있을까?
WIL0001650	마음에 들어할 거라고 생각했어. 즐거웠지? 저기 있지...가장, 무서운 부분을 말하지 않았던 것 같아. 그거, 내가 만든거야! 처음부터 말하면 당신이 사용하지 않을 것 같아서.
WIL0001651	당신이 스스로 만들 수 있도록 이걸 줄게. 또 필요한 부품도 찾아 둘 생각이야. 아차, 나 따로 말하고 싶은게 있었지 참.
WIL0001652	결국 당신은 내 수집품을 보고 싶은 거야? 몇 번이고 화두에 올랐는데, 보여준 적은 없었구나.
WIL0001653	아아, 나는 그 스킬을 가지고 있어.
WIL0001654	와아, 멋진 뉴스구나!
WIL0001655	괜찮아? 놈들에게 상처라도 입었어?
WIL0001656	아니 그게, 즉, 정말로 같이 여행을 해주기를 바래. 협력해서 같이 일하거나, 그 밖에 여러가지...
WIL0001657	내가 협력적이지 않다는 거야?
WIL0001658	좀 더 협력적으로 굴 수 있잖아. 너의 소총을 찾을 수 없다고 해도 그러기로 약속을 했잖아.
WIL0001659	당신은 뷰티를 찾으려고 한 적이 있어? 어느 쪽이건...내가 동행하는 것에 동의를 했으니까, 찾으려고 노력조차 하지 않았지?
WIL0001660	좀 더 협력적으로 굴 수 있잖아. 너의 소총을 찾지 못해도 친밀하게 같이 행동한다고 약속을 했잖아.
WIL0001661	확실히 그렇게 말했어, 그건 사실이야. 하지만 우리는 길게 찾아보지도 않았잖아? 당장이라도 다시 대화를 나누어 볼 필요가 있어.
WIL0001662	네가 입고 있는 옷이 정말로 마음에 안드니까, 다른 옷으로 갈아입으면 좋겠는데.
WIL0001663	어라, 그래? 뭐 나는 마음에 들었지만. 이 쟈켓에는 큰 추억이 있으니까 이제부터도 계속 입을거야. 지금은 말이지.
WIL0001664	[거짓말] 나는 가지고 있지 않아. 정말로 없다고.
WIL0001665	그래서, 당신이 가지고 있지 않다면 그녀를 계속 찾을거야. 알았지? 그리고 체스터도 찾고 싶어. 어렸을 무렵부터 쭉 함께였으니까.
WIL0001666	분명, 응, 모이라를 가지고 있어.
WIL0001667	조금도 좋아하지 않아. 미안.
WIL0001668	어머, 내 착각이구나. 으~음. 엣 또, 당신이 좋아할지도 모르는게 있는데. 여기.
WIL0001669	결국 내 수집품은 보고 싶은 거야? 쭉 그 이야기를 하고 있었는데, 한 번도 보여주지 않았구나.
WIL0001670	그래. 너는 더할 나위가 없어. 그 때가 오는걸 기대하고 있을게.
WIL0001671	언젠가 무슨 일이 일어난다고?
WIL0001672	뷰티를 찾아냈을 때가, 모든 일이 잘 해결되기 시작할 때야. 관계도 포함해서 말이지.
WIL0001673	어머, 오케이. 고마워.
WIL0001674	아직 네가 뷰티를 가지고 있지 않다는 건 알고 있지만, 우리의 현재 상황에 납득이 가지 않아. 너도 좀 더 공헌해주기를 바래.
WIL0001675	나는 아직 뷰티를 단념할 작정은 없어. 당신이 바라는 것을 손에 넣으면, 이제 그녀를 안찾을지도 모르잖아. 그러니까, 노. 안할거야.
WIL0001676	약속을 했잖아. 네가 약속을 어기지 않을까 걱정이야.
WIL0001677	미안해, 하지만 내 이 행동에는 그럴 만한 이유가 있어. 좀 더 나에게 시간을 줘, 오케이?
WIL0001678	이 일은 서로에게 있어서 메리트가 없는게 아닐까.
WIL0001679	아니, 아마도 그렇게 되지 않을거야. 당신이 등 뒤에 뷰티를 숨기고 있거나, 무슨 이유로 나랑 게임을 하고 있을 작정이 아니라면 말이지.
WIL0001680	그래서, 너는 약속을 지킬 작정은 없다?
WIL0001681	그렇게는 말하지 않았어. 단지 자신의 입장을 명확하게 하기 전에 좀 더 상황을 지켜보고 싶어. 그것 뿐이야.
WIL0001682	나는 네가 왜 지금 주저하고 있는 건가를 알고 싶을 뿐이야. 그건 알아주기를 바래.
WIL0001683	물론이지. 네가 그 모든걸 바로 포기한다면, 나도 뷰티를 찾지 않을거야. 그러니까 걱정하지 않아도 돼.
WIL0001684	바꾸어야 할 일이 있어. 지금은 모든게 불만스러워.
WIL0001685	나는 뷰티를 찾고 싶고, 당신과의 약속을 깰까 걱정하는 것 보다 그녀를 찾아내는걸 우선할거야. 미안해.
WIL0001686	소총이 돌아오지 않는 이상 내 방식을 바꿀 생각은 없어. 당신이 나랑 내 성실함에 대해서 멋대로 말해도 상관없어.
WIL0001687	오케이, 오케이, 뷰티를 찾으러 가자고.
WIL0001688	찾으러 갈 거야? 그렇게 말했지? 처음 만났을 때, 나는 거짓말을 할 생각같은건 없었어. 말 그대로의 의미였다구.
