///Project Nevada	
PJN0000001	Three Shooter
WIL0001527	Maybe I can help you get your rifle back...for a price.
WIL0001528	I have no caps to pay you, so how about this? After we get my stuff back I travel with you for a while.
WIL0001529	You're in a really tough spot. What can I do to help you out of this?
WIL0001530	I want to go after the guys who took my stuff. They dropped this. Will you come with me?  Maybe give me some ammo or a different weapon?
WIL0001531	So you want me to supply you for this little adventure and come with you?
WIL0001532	I'd love it if you came with. As for ammo I'll say this: I'm crap with a knife and I'm only a little better with my fists. So, it's up to you.
WIL0001533	But I'm willing to earn what you give me.  I'll travel with you for awhile if you like.  I'm a great shot and I'm great company.  What do you say?
WIL0001534	Alright.  That sounds good.  Let's get the equipment all sorted out and then we can leave.
WIL0001535	Okay, and thank you so much. My name's Willow, by the way.  It's nice to meet you. But, please do hurry.  I'm anxious to get going.
WIL0001536	How about this?  You sleep with me and then I'll do whatever you need to get your stuff back?
WIL0001537	How about this?  No and goodbye.
WIL0001538	Okay.  Sleep with me and I'll help you.
WIL0001539	No. I'll go back to the Mojave Outpost and find someone there.  I wanted to do this right now and not waste all that time.  But, no and goodbye.
WIL0001540	If you agree to travel with me for awhile I'll help you out. I could use the company on the road.
WIL0001541	Travel with you?  Okay, after we get my rifle back, I agree to travel with you for awhile.
WIL0001542	You're telling me the truth aren't you? Okay, I'll help you. But I want something in return.
WIL0001543	I have no caps to pay you. So how about this?  After we get my stuff back I'll travel with you for awhile.
WIL0001544	You sound awfully confident.  What if we don't find your stuff?  How will you repay me?
WIL0001545	What if I agree to travel with you for awhile whether we find my rifle or not. I'm a great shot and I'm a lot of fun to have around.
WIL0001546	Okay, I'll agree to that.  Let's get organized and then we'll get going.
WIL0001547	Thank you so much.  My name's Willow, by the way.  It's nice to meet you.  And, can we hurry?  I'm anxious to get going.
WIL0001548	And here. You should see this. They dropped it. I'm guessing it's where they're headed. I want to start looking at the closest location.
WIL0001549	You need me to supply you in order to follow these guys?  Do you also want me to come with you?
WIL0001550	Yes!  I would be so grateful.  Maybe I could repay you some way.  I don't have caps, but would you be interested in some company on the road?
WIL0001551	I'd be willing to travel with you for awhile, take night watch, kill critters, stuff like that.  I'm fun to have around. What do you say?
WIL0001552	What if we don't find your stuff?  I want your word that you will travel with me either way.
WIL0001553	I don't want to think about that possiblity.  But, alright, yes, you have my word.  I'll travel with you either way.
WIL0001554	I want your word that you will travel with me whether we find your rifle or not.
WIL0001555	I don't even want to think about that possibility, but, yes, I agree to travel with you whether we find my rifle or not.
WIL0001556	No, I don't want anything from you. I feel really bad about what I said to you.
WIL0001557	Thank you.  That's very sweet of you. I appreciate it very much.  I'd love to leave as soon as possible.
WIL0001558	I won't lie.  I think you're very attractive.  But I don't want anything from you for this.
WIL0001559	Oh, thank you. Your not so bad yourself. Do you think we could leave as soon as possible?
WIL0001560	Okay, I'll do it. Let's get ready to go.
WIL0001561	I'm Willow, by the way.  It's nice to meet you.  And thank you so much.  This means the world to me.
WIL0001562	I'll agree to that.  But what if we don't find your stuff? Then what?
WIL0001563	I don't want to consider that possibility. But I'll travel with you for awhile whether we find my stuff or not.  That seems fair.
WIL0001564	I do want something from you.  But not as payment.  Let's just see how things go.
WIL0001565	Oh, well, uh, alright.  We'll just see how things go, then. Can we leave as soon as possible?  I'm anxious to get my stuff.
WIL0001566	Okay.  I'll help you.  Let's go get your stuff.  And don't worry about paying me back.
WIL0001567	Why are you being so generous?  This is a lot to do for someone you don't know for nothing in return. Not that I'm not grateful.
WIL0001568	I acted like an ass earlier.  I'd like to make that up to you.
WIL0001569	Thank you.  I appreciate that very much.  Can we leave soon?  I'm anxious to get going.
WIL0001570	I like you and I'd like to spend more time with you.  Even if it does involve chasing criminals.
WIL0001571	Well, thank you, you're not so bad yourself.  Can we start chasing those criminals soon?  I'd really like to get outta here.
WIL0001572	I do want something from you, but not as payment for anything. We'll just have to see how things go.
WIL0001573	Thanks for helping me, but, yeah, we'll just have to see what happens. And do you think we could leave soon?  I'm anxious to get out of here.
WIL0001574	Would you stay here and wait for me?  I'll be back for you later.
WIL0001575	Alright, if that's what you want. But don't leave me here long, okay?
WIL0001576	Can I look at what you're carrying right now?
WIL0001577	Um, sure.
WIL0001578	Would you wait here for me? I'll be back for you soon.
WIL0001579	I will, but please hurry.
WIL0001580	I don't know where Chester is, we've followed the trail we had. Do you have any ideas?
WIL0001581	Uh, well, yeah, I do, actually.  It's kind of embarrassing. I think the guy I was traveling with might have him.  He was helping me carry my stuff.
WIL0001582	We parted ways at the Mojave Outpost.  He was the big, strong quiet type.  Great for carrying stuff, but not a lot of fun. He didn't talk much.
WIL0001583	I have an idea where we might find him.  He wouldn't say much about himself, but he did talk a little bit about where he was going.
WIL0001584	I have something to tell you. I will ask you to carry items I don't want you to use or touch.
WIL0001585	Well, that's no fun, I can look at them can't I? Alright,  I'm willing to do that.
WIL0001586	[Lie] I don't have Moira.  I'm sorry.
WIL0001587	I don't believe you. I think you have her.  We will not be traveling together long if you plan on lying to me very often.
WIL0001588	We didn't go to both places listed on the note. We can keep going if you'd like.
WIL0001589	That's a good idea. But, I've been thinking about it, and, although, this is very embarrassing to admit, I don't think I had Chester with me.
WIL0001590	I think the guy I was traveling with might have him. He was carrying some of my stuff for me. We parted ways at the Mojave Outpost.
WIL0001591	He's the big, strong quiet type. Not much fun, but great for carrying stuff. I didn't get many details out of him, but I think I know where he is.
WIL0001592	I'm sorry about Chester, but I need to get on with my business now. Maybe we can look again later.
WIL0001593	You might not be interested, but there's something I want to tell you.  I don't think I had Chester with me when I was robbed.
WIL0001594	I think I left him with the guy I'd been traveling with. I put Chester in with his stuff. It was a joke. I think I forgot him there.
WIL0001595	I feel stupid I made such a mistake and do still want to find Chester. If you ever change your mind I'll be ready.
WIL0001596	Are you suggesting we track him down to get Chester?
WIL0001597	Well, yeah, I am. If you decide you're interested, I'll tell you everything I know about where he may be.
WIL0001598	So maybe we shouldn't bother looking anymore and just find this guy?
WIL0001599	I can't swear he has Chester, but he was carrying him at one point. It was a joke and then I forgot he had him. I just can't remember for sure.
WIL0001600	You sound so uncertain.  I'll think about it.
WIL0001601	Okay, but I'm willing to talk about it again at any time.  I still want to find Chester very much.
WIL0001602	I think we should try looking at the other location and then decide what to do.
WIL0001603	Talk?  What is there to talk about?  You're going to follow me around and do whatever I say, right?
WIL0001604	Um, no.  I have no intention of doing that. We definitely need to talk.
WIL0001605	Oh, your teasing me, aren't you?  That was a good one. Yeah, you got me. Right? That was a joke.
WIL0001606	Um, okay. You caught me. I do have her.  Sorry about that.
WIL0001607	You were an ass earlier and now you've lied to me. Lie to anyone else, but not me. I don't like traveling with someone I can't trust.
WIL0001608	And for now, while we are traveling together, if you wouldn't mind, I'd like to keep looking for Chester.  I've had him since I was a little girl.
WIL0001609	Please don't lie to me.  Lie to anybody else, but not me. I want to be able to trust the person I'm traveling with, okay?
WIL0001610	And I'm still very interested in looking for Chester.  Can we make time for that in our travels?  I've had him since I was a little girl.
WIL0001611	[Lie] No, really, I don't have her.  You're wrong.  I wouldn't lie to you.
WIL0001612	Alright, I'll give you the benefit of the doubt.  But if you do have her, and I find out for sure, I won't just forgive and forget.
WIL0001613	Yeah, sure.  Whatever you want.
WIL0001614	Hey, I'm trying to be serious here. We should probably get some things cleared up before we hit the road.  I want us to get along.
WIL0001615	Yes, let's do this.  I'd like to be very clear about how we're going to do things.
WIL0001616	Oh, good.
WIL0001617	Do you have anything else?
WIL0001618	I have something for you.  It's a radio.  My dad got them for me.  One for me and one for whoever I was traveling with.
WIL0001619	He was worried about me going out on my own and thought this might make me that much safer.
WIL0001620	They're broken now and can only receive messages, but since you have that computer with you we'll be able to use them.
WIL0001621	You'll be able to talk to me because of it. I met someone else with one of those and it worked great.
WIL0001622	Is there anything in particular you want to talk about?
WIL0001623	Yes!  I can't fight with anything other than a gun. I'm lousy at anything else.  Okay, I can fight with my fists if I'm cornered... by a radroach.
WIL0001624	I'd love to learn more, and would be willing to study, but for now I'm pretty useless. I just wanted to be really clear about that.
WIL0001625	So, don't expect me to fight with anything other than a gun. Okay?  I won't do it.  Not with my skills the way they are now.
WIL0001626	Okay.  What if we trained you somehow?  Is that possible?
WIL0001627	Yeah, I read books and magazines about Boxing to learn what I can. But, they're hard to find.  I've only ever found a couple.
WIL0001628	But if I can read enough of them I figure eventually I'll get good enough to be able to use better weapons and kick some ass in a fight.
WIL0001629	Oh! Oh, oh, oh!  You know what would be even better?  If we found someone to train me! Are you any good with your fists?
WIL0001630	No problem.  I don't really care.  I prefer guns myself.
WIL0001631	Oh, I'm glad you don't mind.
WIL0001632	I read books and magazines about Boxing to learn what I can. But, they're hard to find.  I've only ever found a couple.
WIL0001633	I'm not happy about this, Willow. What else won't you do?
WIL0001634	Hmm, what seems like the best plan? I could fight with my fists if you asked me to, probably getting really hurt in the process and doing you no good
WIL0001635	or since I'm a great shot, I can use a gun, and effectively protect myself and you. It seems silly for me to use anything but a gun right now.
WIL0001636	But, if you only travel with people who can use a knife or their fists then, yeah, I'm not your girl. Unless you're willing to train me up.
WIL0001637	No, sorry I can't train you.  I don't have the skills.
WIL0001638	Oh.  Well, maybe we'll find someone else who can.
WIL0001639	Train you?  How would I do that?
WIL0001640	Just give me any books or magazines you find about boxing I'll read them.
WIL0001641	Eventually I figure I'll learn enough to use better weapons and be able to hold my own in a fight.
WIL0001642	No, I don't want to worry about training.
WIL0001643	Fine, forget I said anything about it. But I won't fight with anything but a gun.
WIL0001644	I might have. What did they look like?
WIL0001645	I don't know.  They looked like regular guys. There were two of them. One had very bright red hair and the other one was wearing some kind of helmet.
WIL0001646	Alright, if that's everything I guess we should consider ourselves partners on the road for awhile.
WIL0001647	I can't think of anything else, let's go.
WIL0001648	I didn't mind.  It was fine.
WIL0001649	I loved it! Thank you. Those exploding Teddy Bears were great. Do you know how I can get more?
WIL0001650	I thought you'd like those, aren't they fun? I didn't tell you the scariest part. I made them! I thought you might not use them if I told you that.
WIL0001651	I can give you this so you can make them and I'll keep looking for the parts you'll need. Oh, and I wanted to ask you something else.
WIL0001652	Would you like to finally see my collection? I keep talking about it but I still haven't shown it to you.
WIL0001653	Yes, I do have the skills.
WIL0001654	Oh, that's great news!
WIL0001655	Are you alright?  Did they hurt you?
WIL0001656	No, I mean, really travel with me.  Working with me cooperatively and everything...
WIL0001657	I'm not being cooperative?
WIL0001658	You could be more cooperative. You promised you would be even if we didn't find your rifle.
WIL0001659	Are you even trying to find Beauty for me or did you just think since I agreed to come either way you wouldn't even try?
WIL0001660	You could be more cooperative. You promised to work closely with me if we didn't find your rifle.
WIL0001661	I did say that, it's true.  But we haven't been looking all that long.  We can talk about this again soon.
WIL0001662	I don't really like what you're wearing and want you to wear something else.
WIL0001663	Oh, yeah?  Well, I like it. This jacket means a lot to me and I'm going to keep wearing it. For now anyway.
WIL0001664	[Lie] I don't have her.  I really don't.
WIL0001665	And, since you don't have her, we'll keep looking for her then, right? And I want to keep looking for Chester too. I've had him since I was little.
WIL0001666	Alright, yes, I do have Moira.  You can have her.
WIL0001667	I didn't like it at all. Sorry.
WIL0001668	Oh, I got it that wrong.  Hmm. Well, I have something else you might like. Here.
WIL0001669	Would you like to see my collection, finally? I keep talking about it but still haven't shown it to you.
WIL0001670	Yes. You're fine. I just want you to know I'm looking forward to when that happens.
WIL0001671	To when what happens?
WIL0001672	To when we find Beauty and everything works really well between us.
WIL0001673	Oh, okay. Thanks.
WIL0001674	I know you don't have Beauty yet, but I'm not happy with our situation. I want more from you, now.
WIL0001675	I'm not ready to give up looking for Beauty. I think if you get what you want we won't look for her anymore. So, no. I won't.
WIL0001676	You promised me. It bothers me that you are breaking that promise.
WIL0001677	I'm sorry, but I have my reasons for acting this way. Just give me more time, okay?
WIL0001678	Can't we make this work for both of us?
WIL0001679	No, probably not.  Not unless you have Beauty behind your back and you're just playing games with me for some reason.
WIL0001680	So you have no intention of fulfilling your promise?
WIL0001681	I didn't say that. I just want to keep looking for a while longer before I commit myself to anything, that's all.
WIL0001682	I just want you to know that I understand why you are holding back right now.
WIL0001683	Sure. You think if you give it all up right away I won't look for Beauty.  So, don't worry.
WIL0001684	Something has to change. I'm very unhappy with this arrangement.
WIL0001685	I want to find Beauty, and, I want to find her more than I care about breaking my promise to you. Sorry.
WIL0001686	I'm not going to change the way things are without my rifle.  You can say what you like about me and my integrity.
WIL0001687	Okay, okay. We'll go find Beauty.
WIL0001688	We will?  You mean it? I didn't mean to lie when you first found me. I really meant what I said.
WIL0001689	I'm sorry if I've been terrible to you.
WIL0001690	Liar. I'm done with you. Go back to the Mojave Outpost and find somebody else to travel with.
WIL0001691	Fine. I will.
WIL0001692	Are you happy with the way things are between us?
WIL0001693	No, I'm not happy.  But I'm more unhappy that I don't have Beauty.
WIL0001694	Why were you alone when I found you?
WIL0001695	I hadn't been in the Mojave long. I'd arrived at the Mojave Outpost a few days before and had already split up with my last travel companion.
WIL0001696	I tried to find a new companion but couldn't, so I packed up and headed out. It was very unlucky that I got into trouble.
WIL0001697	I've been on the road for almost two years now and that was about as bad as it's ever gotten for me.
WIL0001698	Although, I did lose my dog, Big George, on the trip. He was killed by geckos. That was my worst day.
WIL0001699	[Charisma] You're my girl, Willow, I won't forget you for one moment.  Say you'll do it.
WIL0001700	Alright, you sweet talker, I'll do it.  This might turn out to be fun for both of us. I hope you know I'd only ever do something like this for you.
WIL0001701	What got you interested in traveling?
WIL0001702	I grew up in Oregon. My family runs a motel that lots of caravans and sometimes travelers come through.
WIL0001703	So, I spent my childhood listening to stories of life on the road. I can't remember a time when I didn't want to leave and live out those stories.
WIL0001704	Are you from the Mojave?  Will you be able to fill me in on details as we travel around or are you a newcomer like me?
WIL0001705	How do you support yourself on the road?
WIL0001706	I learned a lot about trading and bargaining from the caravans and traders that stayed with us while I was growing up.
WIL0001707	I scavenge things of value as I go and when I meet someone to trade with I bargain for the best prices I can get. I do pretty well that way.
WIL0001708	What haven't they understood?
WIL0001709	That it's fun to find pretty or interesting things and keep them and a couple of the people I've traveled with have made fun of me for it.
WIL0001710	I don't collect anything, but why would I make fun of you for doing it?
WIL0001711	You don't keep anything? You don't even keep things like the glasses your favorite grandmother wore?
WIL0001712	Or maybe the outfit you wore during a significant event, or a cigarette lighter that somebody gave you?  Nothing?
WIL0001713	I like to collect things too.
WIL0001714	I'm so excited you collect stuff too. What's your favorite thing to collect?
WIL0001715	No, I just pick up stuff to sell.
WIL0001716	Hmm. Interesting.
WIL0001717	You have a collection of junk that you haul around with you?  What's the point?
WIL0001718	Great. Forget I said anything.
WIL0001719	Armor and weapons.
WIL0001720	I have some good stuff at home.  I don't pick those up on the road. They weigh too much.
WIL0001721	You definitely chose the right kind of thing. Thank you.
WIL0001722	Oh, I'm so glad you liked it. I have something else I found that I think you might like too. Here.
WIL0001723	Teddy Bears and Toys.
WIL0001724	Oh, so you collect toys like I do.
WIL0001725	Do you have anything better to give me?
WIL0001726	No, I don't have anything better to give you.
WIL0001727	Miscellaneous Items.  You know, your basic junk.
WIL0001728	Junk?  I love junk. I have a spork in my collection and I love coffee mugs. I have to keep myself from picking them up.
WIL0001729	Things I think are special. If an item catches my eye and it interests me I'll keep it.
WIL0001730	Those are my favorites too.
WIL0001731	Now that you've asked me to pick I favorite I can't. I think I like to collect everything.
WIL0001732	That's funny. It must be hard for you to not get overloaded most of the time.
WIL0001733	Nothing, I just want to see you naked.
WIL0001734	What?  Did you really just say that to me? Go find a picture of a naked girl to look at. I'm not taking my clothes off for you.
WIL0001735	Please?
WIL0001736	Eh, maybe someday.  Not today.
WIL0001737	You have a lot of food with you.  Do you cook for yourself?
WIL0001738	Yes!  I really enjoy doing it too.  I can set up a campfire anytime.  Just ask.  I'll want to cook regularly to keep up my supply of food.
WIL0001739	Do you cook?
WIL0001740	That's a difficult question to answer.
WIL0001741	Why's that?  It's seems easy enough to me.  Either you're from here and you know the Mojave or you're not and you don't, right?
WIL0001742	Yes, Willow?  Is this about us?
WIL0001743	I'm ready for us to be more than just friends.
WIL0001744	Sure, where do you want to go?
WIL0001745	When I was at the Mojave Outpost I talked to Major Knight about where I should go.  He game me three names.
WIL0001746	No, I don't want to take you shopping.  That sounds very boring to me.
WIL0001747	Even if it means I'm cooking more food to share with you?
WIL0001748	Like I said, it's difficult to explain, Willow.  I took a shot to the head doing my job.
WIL0001749	That's terrible.  Who shot you?  Was it an accident?
WIL0001750	No, it wasn't an accident.  He shot me, buried me and left me for dead.
WIL0001751	But, why?  That's so cruel.
WIL0001752	Yes, even then.
WIL0001753	Okay, it's your choice.
WIL0001754	I was a courier and he wanted what I was carrying.  It was robbery.
WIL0001755	So, how did you survive a shot to the head that damaged you so badly?
WIL0001756	It happened in Goodsprings and the doc there patched me up.
WIL0001757	Do you know who shot you?
WIL0001758	That's too bad about your dog.  I'm sorry.
WIL0001759	Thank you.  I miss him a lot.
WIL0001760	Do you want to tell me what happened to your dog?
WIL0001761	He got ahead of me on the trail and got the scent of the Geckos.  I'm not sure exactly what happened because he was ahead of me.
WIL0001762	But I heard a yelp and I came around a bend in the trail and he'd fallen off the edge of a little precipice.  The Geckos were below with him.
WIL0001763	By the time I got down to them and shot all the geckos he was dead.  He'd broken one of his legs in the fall and he couldn't defend himself.
WIL0001764	I buried him as best I could and slept there that night with him and then, the next morning, I said goodbye and left him forever.
WIL0001765	Oh, well, when you put it like that I should say yes. Who do you want to go and see?
WIL0001766	Great!  It has been too long since I've been to a trader.
WIL0001767	Yes, I do.  I'm glad to hear you can build us a campfire.
WIL0001768	That'll be fun. We can cook together over my campfire.  If I have the ingredients I cook something whenever I set it up.
WIL0001769	Do you want to see what I use the most?  Those are the ingredients I use for my favorite recipes. Maybe we could trade stuff we don't use.
WIL0001770	Would you be willing to do that? I'm happy to give you things that I don't use. Would you do the same for me?
WIL0001771	What are you doing out here all by yourself?
WIL0001772	I have my reasons. I'm not thrilled about being alone, but I wasn't going to sit around in the Mojave Outpost because of it.
WIL0001773	Yes, and I'm going to pay him back for what he did to me.
WIL0001774	I'll help all I can. What an asshole.  Him, not you.
WIL0001775	Yes, and he's dead.
WIL0001776	Yes, but I don't want to talk about it.
WIL0001777	No, I'm still trying to figure that out. You'll be with me while I do it.
WIL0001778	I'll help you any way I can. What an asshole thing to do to you.
WIL0001779	Do you know anything about this guy at all?
WIL0001780	In that case can I have your scavenged food? I'll give you a list of ingredients for my favorite recipes and you'll know what I need?
WIL0001781	Oh, I guess that means I assume you scavenge. You do, don't you?  Doesn't everyone? And then, if we set up a campfire I'll be able to cook my food.
WIL0001782	Sure, I could do that.
WIL0001783	Great. Here's the list of ingredients. I'll be happy to share the food I cook with you.
WIL0001784	No, I don't want to do that.  Why can't you scavenge your own ingredients?
WIL0001785	Well, I can do that, I suppose.  I don't know how much I'll be able to find following you around. There is an advantage to you sharing though.
WIL0001786	I'll share what I cook with you, if you want it.
WIL0001787	Alright. I'll do it.  If I find ingredients you want I'll give them to you.
WIL0001788	No, I am not interested in doing that Willow.
WIL0001789	Oh, fine.
WIL0001790	What will you do while you're following me and don't have much freedom to scavenge?
WIL0001791	I've done different things in the past with different companions.  With people who like to stay close together I expect to find less stuff.
WIL0001792	While I'm with you I'll keep my eyes on the ground and look for caps, small things we can sell or cooking ingredients.
WIL0001793	If I'm lucky I might find a small, special item here or there to add to my collection.
WIL0001794	Can I ask you about something else?
WIL0001795	Sometimes.  It's not something I go out of my way to do.
WIL0001796	Oh, that's too bad.  I like it so much I cook something whenever I have the ingredients and can set up my campfire.
WIL0001797	Since you don't like it too much, what if I gave you my list of ingredients?
WIL0001798	Maybe, when you're scavenging, if you find some of them, you could give them to me, instead of doing something else with them. What do you say?
WIL0001799	Thank you, Willow, that's very sweet.
WIL0001800	Oh, good.  It'll be fun.
WIL0001801	Thank you. I like you too, Willow. I'm glad we're friends.
WIL0001802	Maybe, one day, we'll be more than friends.
WIL0001803	Okay.  Great.  I might take you up on that sometime.
WIL0001804	Oh, okay.  I hope you decide to do it.
WIL0001805	Oh, no, I didn't.  I'd like it if we could be more than friends one day. (Romance Quest)
WIL0001806	I'm not ready to take that step yet, let's just see how things go.
WIL0001807	I'm flattered, Willow, but I'd like to stay friends with you. (Be friends with Willow. No Romance.)
WIL0001808	Okay.  I'll be sure to save all my affection for special occasions.
WIL0001809	No. I don't have either of them.
WIL0001810	They didn't have them?  Are you sure?
WIL0001811	Let's talk about something else (Let's you skip personal topics and unlocks items from them for you)
WIL0001812	It's not the hat, Willow.
WIL0001813	It is!  I'm sure it helps.  But I still need my hat. I do have another one just like it to give you, though.
WIL0001814	I want you to take it and try it out, okay?
WIL0001815	Why are carrying two identical hats?
WIL0001816	Huh, well, that's a long story.  I don't know that I want to tell it or that you want to hear it.
WIL0001817	Yes, that sounds like a fun.  I'm happy to share with you.
WIL0001818	No, I'm not too interested in sharing.  Why don't you plan to take care of your own needs.
WIL0001819	Okay, I'll try it.
WIL0001820	Yes, you can count on it.
WIL0001821	Oh, I'm glad to hear that.
WIL0001822	Now? Now's a terrible time! But, I want to! We'll have to do it later.
WIL0001823	I'll be waiting for you.
WIL0001824	Yes! I've been waiting for you to come to me!
WIL0001825	Well, I'm here now. I have a surprise for you and would love some privacy. Should we do it here or go some place else?
WIL0001826	Let's do it here.
WIL0001827	I want to go somewhere else.
WIL0001828	Lead the way, Lover.
WIL0001829	Willow, I'm not interested in doing it again. I hope you understand.
WIL0001830	Fine.  We won't then. And as far as I'm concerned, we are nothing more than friends from now on, I hope you understand?
WIL0001831	What's with all the pencils? You've got about ten of them.
WIL0001832	I like pencils.
WIL0001833	You like pencils?
WIL0001834	I do write in my journal. But, have you noticed when you need one it's never there?  Well, if you have ten, or more, there's never a problem.
WIL0001835	I notice you have a lot of dog biscuits too.  Why so many of those?
WIL0001836	I love them!  I made up the recipe for Big George, my dog, but they're so tasty I carry a bunch with me all the time. They're my favorite snack.
WIL0001837	It's a teddy bear. I hope you like it.
WIL0001838	I do, thanks!
WIL0001839	I found a garden gnome. Don't you think he'll go nicely with Moira and Chester?
WIL0001840	Yes, I do!  Thank you.
WIL0001841	They're good, huh? Can I try one?
WIL0001842	Oh, please do.  We can always make more.
WIL0001843	Hmm. Think I'll pass on the dog's food.
WIL0001844	Why?  I cook them properly.  I make them with Gecko meat, Blamco Mac & Cheese and flour. It's not like I make them with Salisbury Steak. Ugh.
WIL0001845	Oh, well, that's alright then.
WIL0001846	You might want to consider a name change for them.  Dog Biscuits isn't so appetizing, is it?
WIL0001847	I think I'll leave it for now.  In remembrance of Big George.
WIL0001848	It's a Nuka Cola Quartz.
WIL0001849	Thank you!  I'm going to drink that right away!
WIL0001850	I love you too.
WIL0001851	Come even closer.  I want a kiss.
WIL0001852	Ooh, I like that idea!
WIL0001853	Oh, anytime lover.
WIL0001854	I found something for you to put into your collection.  I think it's pretty special.
WIL0001855	I have a surprise for you!  Remember you asked for a dress like Veronica or something pretty?
WIL0001856	Yes!  You have something for me?
WIL0001857	[Change mind] Um, oops, I guess I don't have something to give you after all.  I'm sorry, Willow.
WIL0001858	Can I keep it?  Please?  I'll take good care of it.  I promise.
WIL0001859	Yes, you know, you can have it. I got it from a trader and it's never been especially dear to me.  Maybe you'll like it more than I have.
WIL0001860	I was just curious about it.  You can have it back now. Where did you get it?
WIL0001861	I got that from a trader.  I don't find everything I have.  Moira came from a caravaner who used to stay with us in the motel, but she was a gift.
WIL0001862	But, the lighter? I definitely want that. It was my grandfather's.
WIL0001863	Are you trying to tell me something? You've been flirting with me for awhile now.
WIL0001864	It's true, I have been flirting.
WIL0001865	I have some to share.  Here, have one of mine.
WIL0001866	You are not making this easy for me!  You know I want you, right?
WIL0001867	Yes, I know.  I feel the same way.
WIL0001868	That sounds good.  I don't want to stop right now.
WIL0001869	You must know by now how much I like you. And if you don't know, let me say it again. I do like you.
WIL0001870	You do? I'm so glad. You'd said so before, and you've done so many nice things for me, that, I'd hoped you still did. But, I wasn't sure.
WIL0001871	You do know, as soon as you give me the ok, I'm going to be all over you. And I mean, ALL over you.
WIL0001872	Oh. Maybe we should do something about that.  Soon.
WIL0001873	How soon Willow? Now? Because I want it to be now.  Come here.
WIL0001874	Soon is good, but I want you to be ready. I'll be here when you decide to come to me.
WIL0001875	I'll come to you when I'm ready, I promise.
WIL0001876	Yes, I still do like you. Will you come here and let me show you how much?
WIL0001877	Yes!  I've been thinking about this for a long, long time.
WIL0001878	And because I've been thinking about it for so long I've had time to plan something special for you.
WIL0001879	I'd like to do it somewhere private.  But, you choose. Should we do it here or go somewhere else?
WIL0001880	I do still like you, a lot, but I want you to come to me. Whenever you're ready I'll be here.
WIL0001881	Are we going to do something about it or are you going to keep flirting forever?
WIL0001882	I'm not ready yet. When I am I'll come to you, I promise.
WIL0001883	Great. Let's do something about it. Come here and let me show you how much I want you.
WIL0001884	Let's go somewhere else. Come on.
WIL0001885	Do you ever get lonely traveling by yourself?
WIL0001886	Yes, I do, even though I'm rarely alone. I had hoped to meet someone special. Maybe someone who would want to come with me on the road.
WIL0001887	Or maybe someone would like me enough to want me stay with them. But even though I've met and traveled with a lot of people in the last two years,
WIL0001888	I have been unlucky in love and friendship.
WIL0001889	I'm sorry. I'm sure it will happen for you someday.
WIL0001890	Yeah?  I hope so.
WIL0001891	Maybe you'll get lucky sooner than you think.
WIL0001892	What? Sorry, I got distracted by something over there behind you. You were saying?
WIL0001893	Oh, nevermind. I was just rambling. It wasn't important.
WIL0001894	Look, Fancy Lad Snack Cakes. One of your favorites.
WIL0001895	I know that Raul likes sweets a lot and he seems so sad, would you consider giving it to him instead?  It would mean a lot to me.
WIL0001896	So you're serious about having me stay here in the Mojave with you?
WIL0001897	Yes, I am, very much.
WIL0001898	This means a lot to me.  Thank you.
WIL0001899	And I love the bungalow.  It reminds me of home so much. I know I'm going to be very happy here.
WIL0001900	Sure. If you want to stay that would be fine with me. I'm happy to have you share my house with me.
WIL0001901	Having you here will make things easier for me while we're traveling together.
WIL0001902	Oh.  Well, thanks.
WIL0001903	I have some GumDrops for you.
WIL0001904	Maybe we can.  Let's find whoever's in charge around here and ask.
WIL0001905	Great!  I'd like that. Things are a mess around here.
WIL0001906	I got you some Bubblegum.
WIL0001907	I found some Junk Food. You want it, don't you?
WIL0001908	Of course I do.  Thank you.
WIL0001909	Yeah.  What's going on?
WIL0001910	I told you when we first started traveling together that it wouldn't be for very long, but I'm having so much fun with you.
WIL0001911	And, you've become very special to me. I think of you as a friend, as a best friend actually, and I don't want to leave you or the Mojave.
WIL0001912	So, what do you say? Should we make it official?  Shall I stay and keep following you around?
WIL0001913	Now's a bad time, Willow.  We'll have to do it later.
WIL0001914	Okay, but don't forget.
WIL0001915	You have something important to talk about?
WIL0001916	Yes. Why don't you stay.  It's working out well for me too.
WIL0001917	Great! We'll be best friends forever!
WIL0001918	I very much want you to stay with me.
WIL0001919	Sure, you can stay.
WIL0001920	I didn't like them very much.  Sorry.
WIL0001921	Alright.  Go do it now.
WIL0001922	Wait.  Now's not a good time.  Do it later.
WIL0001923	I know he wears a checkered coat and that I should look for him in Novac. That's about it.
WIL0001924	I see a trip to Novac in our future.
WIL0001925	I know he wears a checkered coat and I've heard he's in New Vegas.
WIL0001926	New Vegas!  We could kick his ass and then go see the sights!
WIL0001927	I know he wears a checkered coat.  That's about it.
WIL0001928	Look!  I've been doing some scavenging myself and I've got 50 pencils for you. You'll never run out!
WIL0001929	Oh! Thank you so much! I love them.  It's one of the best presents I have ever gotten.
WIL0001930	It reminds me of my twelfth birthday, when my best friend, Bethie, went all over town and found me 12 bottles of Wonderglue.
WIL0001931	It must have taken you so long to find all of these. I appreciate it so much.  You'll just never know how much.  I love them.
WIL0001932	I have a new outfit for you to try on if you want. I think it will look great on you.
WIL0001933	That sounds fun.  Let's do it.
WIL0001934	Sure, but I might need a hand getting into it. You up for that?
