MOD0000001	Welcome..
F3NGA01489	[Commando]
F3NGA01490	[Comprehension]
F3NGA01491	[Computer Whiz]
F3NGA01492	[Concentrated Fire]
F3NGA01493	[Confirmed Bachelor]
F3NGA01494	[Cowboy]
F3NGA01495	[Day Tripper]
F3NGA01496	[Dead Man's Burden]
F3NGA01497	[Demolition Expert]
F3NGA01498	[Dine and Dash]
F3NGA01499	[Divide Survivor]
F3NGA01500	[DNAgent]
F3NGA01501	[DNAvenger]
F3NGA01502	[Early Bird]
F3NGA01503	[Educated]
F3NGA01504	[Elijah's Last Words]
F3NGA01505	[Elijah's Rambling]
F3NGA01506	[Endurance Implant]
F3NGA01507	[Enhanced Sensors]
F3NGA01508	[Entomologist]
F3NGA01509	[Explorer]
F3NGA01510	[Eye for Eye]
F3NGA01511	[Faithful Protector]
F3NGA01512	[Fast Metabolism]
F3NGA01513	[Fast Shot]
F3NGA01514	[Fast Times]
F3NGA01515	[Ferocious Loyalty]
F3NGA01516	[Fight the Power!]
F3NGA01517	[Finesse]
F3NGA01518	[Fortune Finder]
F3NGA01519	[Four Eyes]
F3NGA01520	[Free Radical]
F3NGA01521	[Friend of the Night]
F3NGA01522	[Friendly Help]
F3NGA01523	[Full Maintenance]
F3NGA01524	[Ghastly Scavenger]
F3NGA01525	[Ghost Hunter]
F3NGA01526	[Good Natured]
F3NGA01527	[Grim Reaper's Sprint]
F3NGA01528	[Grunt]
F3NGA01529	[Gunslinger]
F3NGA01530	[Hand Loader]
F3NGA01531	[Hand of Vengeance]
F3NGA01532	[Heartless]
F3NGA01533	[Heave, Ho!]
F3NGA01534	[Heavy Handed]
F3NGA01535	[Heavyweight]
F3NGA01536	[Here and Now]
F3NGA01537	[Hit the Deck]
F3NGA01538	[Hoarder]
F3NGA01539	[Hobbler]
F3NGA01540	[Home on the Range]
F3NGA01541	[Hot Blooded]
F3NGA01542	[Hunter]
F3NGA01543	[Implant C-13]
F3NGA01544	[Implant M-5]
F3NGA01545	[Implant Y-3]
F3NGA01546	[Implant Y-7]
F3NGA01547	[In My Footsteps]
F3NGA01548	[In Shining Armor]
F3NGA01549	[Infiltrator]
F3NGA01550	[Intelligence Implant]
F3NGA01551	[Intense Training]
F3NGA01552	[Irradiated Beauty]
F3NGA01553	[Junk Rounds]
F3NGA01554	[Jury Rigging]
F3NGA01555	[Just Lucky I'm Alive]
F3NGA01556	[Kamikaze]
F3NGA01557	[Khan Trick]
F3NGA01558	[Lady Killer]
F3NGA01559	[Laser Commander]
F3NGA01560	[Lead Belly]
F3NGA01561	[Legion Assault]
F3NGA01562	[Lessons Learned]
F3NGA01563	[Life Giver]
F3NGA01564	[Light Step]
F3NGA01565	[Light Touch]
F3NGA01566	[Living Anatomy]
F3NGA01567	[Logan's Loophole]
F3NGA01568	[Lonesome Road]
F3NGA01569	[Long Haul]
F3NGA01570	[Loose Cannon]
F3NGA01571	[Lord Death]
F3NGA01572	[Luck Implant]
F3NGA01573	[Machine Head]
F3NGA01574	[Mad Bomber]
F3NGA01575	[Marked]
F3NGA01576	[Math Wrath]
F3NGA01577	[Meat of Champions]
F3NGA01578	[Melee Hacker]
F3NGA01579	[Meltdown]
F3NGA01580	[Mile In Their Shoes]
F3NGA01581	[Miss Fortune]
F3NGA01582	[Mister Sandman]
F3NGA01583	[Monocyte Breeder]
F3NGA01584	[Mutant Massacrer]
F3NGA01585	[Mysterious Stranger]
F3NGA01586	[Nerd Rage!]
F3NGA01587	[Nerves of Steel]
F3NGA01588	[Night Person]
F3NGA01589	[Ninja]
F3NGA01590	[Nuka Chemist]
F3NGA01591	[Old Vaquero]
F3NGA01592	[Old World Gourmet]
F3NGA01593	[Pack Rat]
F3NGA01594	[Paralyzing Palm]
F3NGA01595	[Perception Implant]
F3NGA01596	[Piercing Strike]
F3NGA01597	[Plasma Spaz]
F3NGA01598	[Power Armor Training]
F3NGA01599	[Purifier]
F3NGA01600	[Pyromaniac]
F3NGA01601	[Quick Draw]
F3NGA01602	[Quiet As The Waters]
F3NGA01603	[Rad Absorption]
F3NGA01604	[Rad Child]
F3NGA01605	[Rad Resistance]
F3NGA01606	[Ranger Takedown]
F3NGA01607	[Rapid Reload]
F3NGA01608	[Ravenous Hunger]
F3NGA01609	[Regular Maintenance]
F3NGA01610	[Reinforced Spine]
F3NGA01611	[Retention]
F3NGA01612	[Robotics Expert]
F3NGA01613	[Roughin' It]
F3NGA01614	[Run 'n Gun]
F3NGA01615	[Scourge of the East]
F3NGA01616	[Scribe Assistant]
F3NGA01617	[Scribe Counter]
F3NGA01618	[Scrounger]
F3NGA01619	[Search and Mark]
F3NGA01620	[Set Lasers for Fun]
F3NGA01621	[Shotgun Surgeon]
F3NGA01622	[Signal Interference]
F3NGA01623	[Silent Running]
F3NGA01624	[Skilled]
F3NGA01625	[Slayer]
F3NGA01626	[Small Frame]
F3NGA01627	[Sneering Imperialist]
F3NGA01628	[Sniper]
F3NGA01629	[Solar Powered]
F3NGA01630	[Spineless]
F3NGA01631	[Splash Damage]
F3NGA01632	[Spotter]
F3NGA01633	[Spray ‘n Pray]
F3NGA01634	[Stealth Girl]
F3NGA01635	[Stonewall]
F3NGA01636	[Strength Implant]
F3NGA01637	[Strong Back]
F3NGA01638	[Sub-Dermal Armor]
F3NGA01639	[Super Slam!]
F3NGA01640	[Swift Learner]
F3NGA01641	[Tag!]
F3NGA01642	[Terrifying Presence]
F3NGA01643	[The Bear-Slayer]
F3NGA01644	[The Professional]
F3NGA01645	[The Way of the Canaanite]
F3NGA01646	[Them's Good Eatin]
F3NGA01647	[Thought You Died]
F3NGA01648	[Tough Guy]
F3NGA01649	[Toughness]
F3NGA01650	[Travel Light]
F3NGA01651	[Tribal Wisdom]
F3NGA01652	[Trigger Discipline]
F3NGA01653	[Tunnel Runner]
F3NGA01654	[Unclean Living]
F3NGA01655	[Unshakeable Tracker]
F3NGA01656	[Unstoppable Force]
F3NGA01657	[Vigilant Recycler]
F3NGA01658	[Voracious Reader]
F3NGA01659	[Walker Instinct]
F3NGA01660	[Weapon Handling]
F3NGA01661	[Well-Stacked Cairns]
F3NGA01662	[Whiskey Rose]
F3NGA01663	[Wild Wasteland]
F3NGA01664	Stealth Field +[%], Sneak +[%]
F3NGA01665	Sneak +[%]
F3NGA01667	Deactivate
F3NGA01668	Congratulations on completing Fallout: New Vegas! Would you like to load a save prior to the Hoover Dam battle? (If you select no, you will be returned to the main menu).
F3NGA01669	<Lie>
F3NGA01670	<Attack>
F3NGA01671	Space
F3NGA01672	[Strength] [%]
F3NGA01673	[Perception] [%]
F3NGA01674	[Endurance] [%]
F3NGA01675	[Charisma] [%]
F3NGA01676	[Intelligence] [%]
F3NGA01677	[Agility] [%]
F3NGA01678	[Luck] [%]
F3NGA01679	[Barter] [%]
F3NGA01680	[Energy Weapons] [%]
F3NGA01681	[Explosives] [%]
F3NGA01682	[Guns] [%]
F3NGA01683	[Lockpick] [%]
F3NGA01684	[Medicine] [%]
F3NGA01685	[Melee Weapons] [%]
F3NGA01686	[Repair] [%]
F3NGA01687	[Science] [%]
F3NGA01688	[Sneak] [%]
F3NGA01689	[Speech] [%]
F3NGA01690	[Survival] [%]
F3NGA01691	[Unarmed] [%]
F3NGA01692	[Strength]
F3NGA01693	[Perception]
F3NGA01694	[Endurance]
F3NGA01695	[Charisma]
F3NGA01696	[Intelligence]
F3NGA01697	[Agility]
F3NGA01698	[Luck]
F3NGA01699	[Barter]
F3NGA01700	[Energy Weapons]
F3NGA01701	[Explosives]
F3NGA01702	[Guns]
F3NGA01703	[Lockpick]
F3NGA01704	[Medicine]
F3NGA01705	[Melee Weapons]
F3NGA01706	[Repair]
F3NGA01707	[Science]
F3NGA01708	[Sneak]
F3NGA01709	[Speech]
F3NGA01710	[Survival]
F3NGA01711	[Unarmed]
F3NGA01712	Wg  [%]
F3NGA01713	DAM x[%]
F3NGA01714	Sneak +[%], Stealth Field +[%]
F3NGA01715	In order to heal a crippled limb, you have three choices: sleep in a bed, find a doctor, or use aStimpak to heal yourself. In Hardcore Mode, you may only heal crippled limbs by using Doctor'sBags or by visiting a doctor for medical care.Stimpaks can be used for general healing (which will also slightly heal crippling damage), or they can be applied directly to a limb to heal crippling damage.To heal a crippled limb directly using a Stimpak, navigate to the Stats screen in your Pip-Boy,then left-click on a limb to use a Stimpak on that limb.
F3NGA01716	[%] remaining
F3NGA01717	Downloads
F3NGA01718	Crew
F3NPA00002	How long would you like to wait?
F3NPA00003	How long would you like to sleep?
F3NPA00004	0 hour
F3NPA00005	1 hour
F3NPA00006	[%] hours
F3NPA00007	Monday, [%], [%]
F3NPA00008	Tuesday, [%], [%]
F3NPA00009	Wednesday, [%], [%]
F3NPA00010	Thursday, [%], [%]
F3NPA00011	Friday, [%], [%]
F3NPA00012	Saturday, [%], [%]
F3NPA00013	Sunday, [%], [%]
F3NPA00014	Version Info: [%]
F3NPA00015	Play Time: [%]
F3NPA00016	Level [%]: [%]
F3NPA00017	ENGLISH
F3NPA00022	Door to [%]
F3NPA00023	Metal Door to [%]
F3NPA00024	Gate Door to [%]
F3NPA00025	Vault Door to [%]
F3NPA00026	Shack Door to [%]
F3NPA00027	Cell Door to [%]
F3NPA00028	Utility Door to [%]
F3NPA00029	Garage Door to [%]
F3NPA00030	Glass Doors to [%]
F3NPA00031	Silo Door to [%]
F3NPA00032	Security Door to [%]
F3NPA00033	Automatic Door to [%]
F3NPA00034	Cellar Door to [%]
F3NPA00035	Maintenance Door to [%]
F3NPA00036	Elevator Door to [%]
F3NPA00037	Hidden Door to [%]
F3NPA00038	Automated Door to [%]
F3NPA00039	Gate to [%]
F3NPA00040	Chain Gate to [%]
F3NPA00041	Metal Gate to [%]
F3NPA00042	Wooden Gate to [%]
F3NPA00043	Utility Gate to [%]
F3NPA00044	Manhole to [%]
F3NPA00045	Sewer Grate to [%]
F3NPA00046	Hatch to [%]
F3NPA00047	Silo Hatch to [%]
F3NPA00048	Ladder to [%]
F3NPA00049	Sewer Entrance to [%]
F3NPA00050	Drainage Grate to [%]
F3NPA00051	Express Elevator to [%]
F3NPA00052	Greenhouse Door to [%]
F3NPA00053	Ant Tunnel to [%]
F3NPA00054	Elevator to [%]
F3NPA00055	Grate to [%]
F3NPA00090	Stealth Field Increased Sneak
F3NPA00093	Ignores Crippled Limbs
F3NPA00127	+10 DT, +25 Rad. Resist
F3NPA00128	Sealed
F3NPA00129	Fresh
F3NPA00130	Cooked
F3NPA00131	Uncooked
F3NPA00132	Raw
F3NPA00133	Old
F3NPA00134	Stale
F3NPA00135	Rancid
F3NPA00136	Tainted
F3NPA00149	[%] (Neutral)
F3NPA00150	[%] (Accepted)
F3NPA00151	[%] (Liked)
F3NPA00152	[%] (Idolized)
F3NPA00153	[%] (Shunned)
F3NPA00154	[%] (Mixed)
F3NPA00155	[%] (Smiling Troublemaker)
F3NPA00156	[%] (Good Natured Rascal)
F3NPA00157	[%] (Hated)
F3NPA00158	[%] (Sneering Punk)
F3NPA00159	[%] (Unpredictable)
F3NPA00160	[%] (Dark Hero)
F3NPA00161	[%] (Vilified)
F3NPA00162	[%] (Merciful Thug)
F3NPA00163	[%] (Soft-Hearted Devil)
F3NPA00164	[%] (Wild Child)
F3NPA00179	Repair Skill   [%]
F3NPA00180	Caps   [%]
F3NPA00182	[%]/[%] correct.
F3NPA00183	Force Lock [[%]]
F3NPA00184	[[%] - [%]]
F3NPA00185	[Requires Key]
F3NPA00186	Spinal-Tapped! [%]\1 Recovered X-8 vertebrae-pulse-de-sen-sitizer frequency!
F3NPA00187	(GRA) The Same Could Be Said of All Religious Weapons * [%]\15 Kill Feral Ghouls with Maria, Gehenna, Holy Frag Grenades, and A Light Shining in Darkness.
F3NPA00189	Capital Wasteland
F3NPA00190	Repair All
F3NPA00191	Do you want to poison the [%]?
F3NPA00194	HP [%]/[%] Stimpak [%]
F3NPA00197	The Tops Earnings: [%]
F3NPA00198	Ultra-Luxe Earnings: [%]
F3NPA00199	Vikki & Vance Earnings: [%]
F3NPA00200	Atomic Wrangler Earnings: [%]
F3NPA00201	Gomorrah Earnings: [%]
F3NPA00202	Sierra Madre Earnings: [%]
F3NPA00203	Randomize Caravan Deck
F3NPA00204	Bet: [%][CRLF]Payout: [%]:[%]
F3NPA00205	Bet:[CRLF]Payout:
F3NPA00206	0: Bet,[%][CRLF]Payout: [%]:[%]
F3NPA00207	00: Bet,[%][CRLF]Payout: [%]:[%]
F3NPA00208	0,00: Bet,[%][CRLF]Payout: [%]:[%]
F3NPA00209	You win [%] chip(s)
F3NPA00210	You feel lucky. You win [%] chip(s)
F3NPA00211	You lose [%] chip(s)
F3NPA00220	[일반 UI 및 MTUI - 사지 회복]
F3NPA00222	[Darnified UI - 사지 회복]
F3NPA00223	In order to heal a crippled limb, you have three choices: sleep in a bed, find a doctor, oruse a Stimpak to heal yourself. In Hardcore Mode, you may only heal crippled limbs byusing Doctor's Bags or by visiting a doctor for medical care.Stimpaks can be used for general healing (which will also slightly heal crippling damage), or they can be applied directly to a limb to heal crippling damage.To heal a crippled limb directly using a Stimpak, navigate to the Stats screen in yourPip-Boy, then left-click on a limb to use a Stimpak on that limb.
F3NPA00244	[%]\25 Take more chems.
F3NPA00246	[%]\50 Kill Robot enemies.
F3NPA00248	[%]\20 Apply mods to weapons.
F3NPA00250	[%]\25 Disable mines.
F3NPA00252	[%]\25 Explode enemy pants.
F3NPA00262	[%]\10 Killed 10 Yao Guai.
F3NPA00273	CHOOSE UP TO 2 TRAITS (OR NONE)
F3NPA00274	Req:[CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00275	Req: [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00276	Req: [%]--[CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00277	Req: [%] < [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00278	Req: Level [%], Cannibal[CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00281	Req: Level [%], [%] [%], [%] [%], [%] [%] OR [%] [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00282	Req: Level [%], [%] [%], [%] [%] OR [%] [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00283	Req: Level [%], [%] [%] OR [%] [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00286	Req: Level [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00287	Req: Level [%], [%] [%], [%] [%], [%] [%], [%] [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00288	Req: Level [%], [%] [%], [%] [%], [%] [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00289	Req: Level [%], [%] [%], [%] [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00290	Req: Level [%], [%] [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00291	Req: Level [%][CRLF]Ranks: [%][CRLF][CRLF]
F3NPA00305	added
F3NPA00306	removed
F3NPA00307	TRAITS LEFT
F3NPA00308	is fleeing.
F3NPA00309	signal found.
F3NPA00310	was unequipped
F3NPA00311	REPAIR SKILL NEEDED
F3NPA00312	is calmed and cannot respond.
F3NPA00313	can't carry anymore.
F3NPA00314	has already caught you.
F3NPA00315	is being drained
F3NPA00316	Infamy Gained!
F3NPA00317	Fame Reduced
F3NPA00318	TRAIT LEFT
F3NPA00319	is unconscious.
F3NPA00320	signal lost.
F3NPA00321	has worn off.
F3NPA00322	ATTEMPT(S) LEFT:
F3NPA00323	was equipped.
F3NPA00324	has been damaged
F3NPA00325	Fame Gained!
F3NPA00337	Barter increased by [%]
F3NPA00338	Big Guns increased by [%]
F3NPA00339	Energy Weapons increased by [%]
F3NPA00340	Explosives increased by [%]
F3NPA00341	Lockpick increased by [%]
F3NPA00342	Medicine increased by [%]
F3NPA00343	Melee Weapons increased by [%]
F3NPA00344	Repair increased by [%]
F3NPA00345	Science increased by [%]
F3NPA00346	Small Guns increased by [%]
F3NPA00347	Sneak increased by [%]
F3NPA00348	Speech increased by [%]
F3NPA00349	Guns increased by [%]
F3NPA00350	Survival increased by [%]
F3NPA00351	Unarmed increased by [%]
F3NPA00352	You have discovered
F3NPA00353	ScreenShot: File [%] created.
F3NPA00395	Unlocked with Dr. Preston's Key.
F3NPA00396	Unlocked with Research Dept. Safe Key.
F3NPA00397	Unlocked with Col. Blackwell's Key.
F3NPA00398	Unlocked with Fort Ind. Storage Key.
F3NPA00399	Unlocked with Dr. Preston's Room Key.
F3NPA00411	Prickly Pear
F3NPA00412	Jalapeno
F3NPA00413	Pinto Beans
F3NPA00414	Buffalo Gourd
F3NPA00415	Datura Root
F3NPA00420	(END SALVAGED DATA RECORD)
F3NPA00421	[%] Evacuated Zion.
F3NPA00422	[%] Arrive at Zion.
F3NPA00423	Detonator was unequipped.
F3NPA00424	Dead Man's Hand
F3NPA00425	[%] Killed 10 Harvesters.
F3NPA00426	[%] Killed 10 Seekers.
F3NPA00427	[%] Killed 10 Trappers.
F3NPA00428	Demise of the Machines [%]
F3NPA00429	ON
F3NPA00430	Gommorah Earnings: [%]
F3NPA00431	([%]) Doctor's Bag
F3NPA00432	([%]) Stimpak
F3NPA00433	([%]) RadAway
F3NPA00434	([%]) Rad-X
F3AC000001	Aggr.
F3AC000002	Conf.
F3AC000003	Energy
F3AC000004	Respons.
F3AC000005	Mood
F3AC000006	STR
F3AC000007	PER
F3AC000008	END
F3AC000009	CHR
F3AC000010	INT
F3AC000011	AGL
F3AC000012	LCK
F3AC000013	AP
F3AC000014	Lbs.
F3AC000015	Crit. Chan.
F3AC000017	HP
F3AC000018	Melee Dam.
F3AC000019	Dam. Res.
F3AC000020	Pois. Res.
F3AC000021	Rad. Res.
F3AC000024	XP
F3AC000030	Right Leg
F3AC000031	Brain Cond.
F3AC000034	Ener. Weap.
F3AC000035	Explos.
F3AC000037	Med.
F3AC000038	Melee Weap.
F3AC000041	Sm. Guns.
F3AC000045	Wght.
F3AC000047	Invis.
F3AC000049	Night Sight
F3AC000050	Detect Range
F3AC000051	Fire Resis.
F3AC000052	Wtr. Breathe.
F3AC000055	Unarmed Dam.
F3AC000056	Assis.
F3AC000057	Ener. Resis
F3AC000058	Ignore Neg Eff
F3AM000001	E Cell
F3AM000002	E Cell, Opt.
F3AM000003	E Cell B
F3AM000004	E Cell OC
F3AM000005	E Cell MC
F3AM000006	MF Cell
F3AM000007	MF Cell, Opt.
F3AM000008	MF Cell B
F3AM000009	MF Cell OC
F3AM000010	MF Cell MC
F3AM000011	EC Pack
F3AM000012	EC Pack, Opt.
F3AM000013	EC Pack B
F3AM000014	EC Pack OC
F3AM000015	EC Pack MC
F3AM000016	Fuel
F3AM000017	Fuel, Opt.
F3AM000018	Fuel, HM
F3AM000019	Power Module
F3AM000020	Missile HV
F3AM000021	Film
F3AM000022	Artillery Shell
F3AM000023	ARCHII Charge
F3AM000024	Shell
F3AM000025	Sonic
F3AM000026	0.308
F3AM000027	556mm
F3AM000028	Mez. Power Cell
F3AM000029	Spikes
F3AM000030	0.44
F3AM000031	0.32
F3AM000032	10mm
F3AM000033	10mm HP
F3AM000034	12.7mm HP
F3AM000035	12ga
F3AM000036	12ga CS
F3AM000037	12ga Mag.
F3AM000038	20ga
F3AM000039	20ga Mag.
F3AM000040	20ga S
F3AM000041	0.223
F3AM000042	.22LR HP
F3AM000043	.22LR P
F3AM000044	25mmG
F3AM000045	25mmG HE
F3AM000046	.308 AP
F3AM000047	.308 HP
F3AM000048	.357 Mag.
F3AM000049	.357M HP
F3AM000050	.357M JFP
F3AM000051	.38 Spc.
F3AM000052	40mmG Inc.
F3AM000053	.44 Mag.
F3AM000054	.44M HP
F3AM000055	.44M SWC
F3AM000056	.44 Spc.
F3AM000057	.45-70G
F3AM000058	.45-70G HP
F3AM000059	.45-70G SWC
F3AM000060	.50MG AP
F3AM000061	.50MG M
F3AM000062	5.56mm AP
F3AM000063	5.56mm HP
F3AM000064	5.56mm S
F3AM000065	5mm AP
F3AM000066	5mm HP
F3AM000067	5mm S
F3AM000068	9mm HP
F3AM000069	Bag
F3AM000070	CS
F3AM000071	Slg
F3AM000072	Spc.
F3AM000073	Inc.
F3AM000074	Sur
F3AM000075	HM
F3AM000076	HV
F3AM000077	Opt.
F3AM000078	Bulk
F3NBO00004	Torso
F3NBO00008	Right Track
F3NBO00009	Left Track
F3NBO00010	Right Legs
F3NBO00011	Left Legs
F3NBO00012	Right Claw
F3NBO00013	Left Claw
F3NBO00014	Stinger
F3NBO00015	Body
F3NBO00016	Branches
F3NBO00017	Antenna
F3NBO00018	Enclave Mind Control
F3NBO00019	Right Wing
F3NBO00020	Left Wing
F3NBO00021	Brain
F3NBO00022	Right Wings
F3NBO00023	Left Wings
F3NBO00024	Hull
F3NBO00025	Targeting Chip
F3NBO00026	Wheel
F3NBO00027	Tail
F3NBO00028	Right Hindleg
F3NBO00029	Right Foreleg
F3NBO00030	Left Hindleg
F3NBO00031	Left Foreleg
F3NBO00032	Combat Inhibitor
F3NBO00033	Zapper
F3NBO00034	Armor
F3NBO00035	Tracking Sensor
F3NBO00036	Body Armor
F3NBO00037	Arms
F3NBO00038	Thruster
F3NBO00039	Legs
F3NBO00040	Face
F3NBO00041	Heads
F3NBO00042	Chassis
F3NBO00043	Lens
F3NBO00044	Tongue
F3NBO00045	Mouth Monitor
F3NBO00046	Eye Monitors
F3NBO00047	Weapon
F3NBO00048	Mortar
F3NBO00049	Cannon
F3NBO00050	Power Generator
F3NBO00051	Radar
F3NBO00052	Mine
F3NBO00053	Hover Module
F3NBO00054	Arm
F3NBO00056	[%]: Left Leg
F3NBO00057	[%]: Right Leg
F3NBO00058	[%]: Torso
F3NBO00059	[%]: Right Arm
F3NBO00060	[%]: Left Arm
F3NBO00061	[%]: Head
F3NBO00062	[%]: Right Track
F3NBO00063	[%]: Left Track
F3NBO00064	[%]: Right Legs
F3NBO00065	[%]: Left Legs
F3NBO00066	[%]: Right Claw
F3NBO00067	[%]: Left Claw
F3NBO00068	[%]: Stinger
F3NBO00069	[%]: Body
F3NBO00070	[%]: Branches
F3NBO00071	[%]: Antenna
F3NBO00072	[%]: Enclave Mind Control
F3NBO00073	[%]: Right Wing
F3NBO00074	[%]: Left Wing
F3NBO00075	[%]: Brain
F3NBO00076	[%]: Right Wings
F3NBO00077	[%]: Left Wings
F3NBO00078	[%]: Hull
F3NBO00079	[%]: Targeting Chip
F3NBO00080	[%]: Wheel
F3NBO00081	[%]: Tail
F3NBO00082	[%]: Right Hindleg
F3NBO00083	[%]: Right Foreleg
F3NBO00084	[%]: Left Hindleg
F3NBO00085	[%]: Left Foreleg
F3NBO00086	[%]: Combat Inhibitor
F3NBO00087	[%]: Zapper
F3NBO00088	[%]: Armor
F3NBO00089	[%]: Tracking Sensor
F3NBO00090	[%]: Body Armor
F3NBO00091	[%]: Arms
F3NBO00092	[%]: Thruster
F3NBO00093	[%]: Legs
F3NBO00094	[%]: Face
F3NBO00095	[%]: Heads
F3NBO00096	[%]: Chassis
F3NBO00097	[%]: Lens
F3NBO00098	[%]: Tongue
F3NBO00099	[%]: Mouth Monitor
F3NBO00100	[%]: Eye Monitors
F3NBO00101	[%]: Weapon
F3NBO00102	[%]: Mortar
F3NBO00103	[%]: Cannon
F3NBO00104	[%]: Power Generator
F3NBO00105	[%]: Radar
F3NBO00106	[%]: Mine
F3NBO00107	[%]: Hover Module
F3NBO00108	[%]: Arm
F3NBO00130	[%] Left Leg Crippled
F3NBO00131	[%] Right Leg Crippled
F3NBO00132	[%] Torso Crippled
F3NBO00133	[%] Right Arm Crippled
F3NBO00134	[%] Left Arm Crippled
F3NBO00135	[%] Head Crippled
F3NBO00136	[%] Right Track Crippled
F3NBO00137	[%] Left Track Crippled
F3NBO00138	[%] Right Legs Crippled
F3NBO00139	[%] Left Legs Crippled
F3NBO00140	[%] Right Claw Crippled
F3NBO00141	[%] Left Claw Crippled
F3NBO00142	[%] Stinger Crippled
F3NBO00143	[%] Body Crippled
F3NBO00144	[%] Branches Crippled
F3NBO00145	[%] Antenna Crippled
F3NBO00146	[%] Enclave Mind Control Crippled
F3NBO00147	[%] Right Wing Crippled
F3NBO00148	[%] Left Wing Crippled
F3NBO00149	[%] Brain Crippled
F3NBO00150	[%] Right Wings Crippled
F3NBO00151	[%] Left Wings Crippled
F3NBO00152	[%] Hull Crippled
F3NBO00153	[%] Targeting Chip Crippled
F3NBO00154	[%] Wheel Crippled
F3NBO00155	[%] Tail Crippled
F3NBO00156	[%] Right Hindleg Crippled
F3NBO00157	[%] Right Foreleg Crippled
F3NBO00158	[%] Left Hindleg Crippled
F3NBO00159	[%] Left Foreleg Crippled
F3NBO00160	[%] Combat Inhibitor Crippled
F3NBO00161	[%] Zapper Crippled
F3NBO00162	[%] Armor Crippled
F3NBO00163	[%] Tracking Sensor Crippled
F3NBO00164	[%] Body Armor Crippled
F3NBO00165	[%] Arms Crippled
F3NBO00166	[%] Thruster Crippled
F3NBO00167	[%] Legs Crippled
F3NBO00168	[%] Face Crippled
F3NBO00169	[%] Heads Crippled
F3NBO00170	[%] Chassis Crippled
F3NBO00171	[%] Lens Crippled
F3NBO00172	[%] Tongue Crippled
F3NBO00173	[%] Mouth Monitor Crippled
F3NBO00174	[%] Eye Monitors Crippled
F3NBO00175	[%] Weapon Crippled
F3NBO00176	[%] Mortar Crippled
F3NBO00177	[%] Cannon Crippled
F3NBO00178	[%] Power Generator Crippled
F3NBO00179	[%] Radar Crippled
F3NBO00180	[%] Mine Crippled
F3NBO00181	[%] Hover Module Crippled
F3NBO00182	[%] Arm Crippled
F3NBO00183	[%] Frenzied
F3NIT00009	FOD [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00010	FOD [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00011	FOD [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00012	FOD [%], [%] [%], [%] [%], [%] [%]
F3NIT00013	FOD [%], [%] [%], [%] [%]
F3NIT00014	FOD [%], [%] [%]
F3NIT00015	FOD [%]
F3NIT00016	H20 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00017	H20 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00018	H20 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00019	H20 [%], [%] [%], [%] [%], [%] [%]
F3NIT00020	H20 [%], [%] [%], [%] [%]
F3NIT00021	H20 [%], [%] [%]
F3NIT00022	H20 [%]
F3NIT00023	SLP [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00024	SLP [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00025	SLP [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00026	SLP [%], [%] [%], [%] [%], [%] [%]
F3NIT00027	SLP [%], [%] [%], [%] [%]
F3NIT00028	SLP [%], [%] [%]
F3NIT00029	SLP [%]
F3NIT00030	Rads [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00031	Rads [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00032	Rads [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00033	Rads [%], [%] [%], [%] [%], [%] [%]
F3NIT00034	Rads [%], [%] [%], [%] [%]
F3NIT00035	Rads [%], [%] [%]
F3NIT00036	Rads [%]
F3NIT00037	HP [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00038	HP [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00039	HP [%], [%] [%], [%] [%], [%] [%], [%] [%]
